"CT","mx_mean","mx_ub","mx_lb","mx_se"
1.01,34.49,48.84,23.28,6.55
1.02,33.86,50.14,21.8,7.34
2.01,34.37,51.79,21.64,7.78
2.04,34.79,49.78,22.91,6.91
3.01,29.53,46.21,17.77,7.26
3.02,37.4,57.4,23.04,8.8
4.01,33.4,48.75,21.76,7
5,34.27,51.8,21.76,7.73
6.01,27.67,42.94,16.69,6.8
6.02,36.58,55.47,22.9,8.52
7.01,40.87,60.08,25.85,8.87
7.02,40,59.9,25.7,8.83
8.01,40.67,65.34,23.37,10.85
8.02,34.71,52.08,21.92,7.75
9,32.35,46.71,21.49,6.45
10.02,31.48,46.77,20.42,6.81
11,33.44,48.97,21.16,7.13
13.01,33.34,49.38,21.98,7
13.03,37.18,56.22,23.35,8.46
13.04,32.6,51.36,19.51,8.28
14.02,33.49,50.41,21.09,7.56
15.01,33.43,50.92,20.4,7.84
15.02,25.71,37.28,16.74,5.42
16.01,31.61,47.82,20.06,7.18
16.05,31.02,46.89,19.4,7.1
17.01,29.35,43.54,19.12,6.3
17.02,28.42,43.21,17.93,6.5
18.02,30.41,44.11,20.35,6.13
19,31.55,46.16,20.31,6.58
20,28.37,39.93,19.51,5.17
21,35.07,52.53,22.58,7.58
23,39.61,58.52,25.79,8.39
24,36.31,54.86,22.98,8.25
25,39.35,57.23,26.05,8.05
26,32.08,46.62,20.84,6.66
27.01,33.5,49.65,21.32,7.23
27.02,26.88,38.81,17.34,5.49
28,38.8,59.03,24.02,9.05
29,36.19,53.99,23.59,7.75
30,38.52,56.27,25.03,8.06
31.01,41.35,62.66,26.31,9.3
31.02,34.86,53.07,21.9,8.05
32,34.26,49.72,22.2,7.17
33.01,32.33,48.96,20.27,7.37
33.02,26.59,39.91,16.84,5.89
34.02,29.4,44.26,18.8,6.48
35.01,29.3,45.62,17.99,6.99
35.02,28.8,42.84,18.5,6.22
36.01,28.56,42.17,18.41,6.15
36.02,31.46,49.54,18.55,7.95
37.01,30.54,46.53,18.96,7.08
37.02,29.44,45.5,18.07,7.13
38,35.06,52.01,22.41,7.57
39.01,39.17,58.23,24.7,8.81
39.02,53.41,76.17,35.81,10.59
40.01,36.48,55.57,22.35,8.57
40.02,36.64,54.03,23.37,7.93
41.01,49.17,72.61,31.79,10.32
41.02,36.39,52.96,23.56,7.56
42,34.51,51.63,22.01,7.62
43.02,31.77,48.29,19.43,7.44
44,32.98,49.32,21.14,7.33
45.01,37.51,58.65,22.91,9.15
45.02,35.82,55.17,22.49,8.49
46,44.67,66.97,28.01,9.91
47.01,37.34,55.55,23.27,8.29
48,41.55,61.88,26.97,8.9
49.01,39.81,58.22,25.87,8.36
49.02,37.8,58,23.58,8.89
50.02,27.6,41.44,17.64,6.15
50.03,35.71,53.13,22.6,7.96
50.04,28.71,46.18,17.07,7.54
51.01,28.41,42.98,17.48,6.59
51.02,29.1,43.44,18.5,6.46
52.01,26.02,38.49,16.66,5.58
52.02,27.67,41.33,17.9,6.07
53.01,42.07,63.03,26.7,9.38
53.02,30.1,48.63,18,7.94
54.01,31.58,44.35,21.81,5.96
54.02,31.22,47.18,19.49,7.06
55.01,35.76,55.11,22.12,8.58
55.02,36.67,57.7,21.77,9.23
56.02,29.36,45.57,17.81,7.18
57.02,26.8,39.74,17.21,5.77
59.06,29.13,45.94,17.18,7.41
59.07,33.28,52.28,19.62,8.41
59.09,36.99,59.54,21.13,10.02
59.1,35.23,56.67,20.47,9.33
59.11,33.92,50.31,22.21,7.22
60.02,37.43,60.49,22.17,9.68
61,30.21,49.16,17.13,8.37
62,28.7,44.24,17.67,6.78
64,33.79,49.23,22.02,6.95
65,39.24,57.44,25.55,8.31
67.01,40.2,63.31,24.65,9.95
