"CT","mx_mean","mx_ub","mx_lb","mx_se"
1.01,13.01,18.89,8.39,2.7
1.02,13.09,19.7,8.38,2.91
2.01,13.67,20.89,8.48,3.21
2.04,13.77,20.19,8.93,2.91
3.01,12.63,19.91,7.62,3.12
3.02,11.87,18.51,7.2,2.91
4.01,12.44,18.81,7.81,2.84
5,12.47,19.18,7.86,2.91
6.01,11.72,18.38,6.95,2.91
6.02,14.2,21.74,8.69,3.39
7.01,11.43,17.29,7.02,2.64
7.02,11.39,17.49,7.11,2.67
8.01,11.01,17.7,6.33,2.91
8.02,11.3,16.94,7.08,2.56
9,10.48,15.45,6.67,2.23
10.02,12.16,18.21,7.75,2.7
11,12.25,18.16,7.66,2.7
13.01,11.76,17.49,7.57,2.54
13.03,12.03,18.39,7.45,2.82
13.04,14.67,23.15,8.86,3.71
14.02,12.6,19.32,7.79,2.99
15.01,13.98,21.7,8.41,3.39
15.02,13.32,19.54,8.59,2.84
16.01,13.93,21.08,8.82,3.15
16.05,13.06,20.07,8.15,3.06
17.01,13.71,20.39,8.88,2.99
17.02,13.17,19.92,8.28,3.01
18.02,12.25,18.18,7.93,2.63
19,12.47,18.52,7.97,2.7
20,12.16,17.74,8.11,2.46
21,12.22,18.5,7.73,2.76
23,12.54,18.64,8.02,2.76
24,11.57,17.73,7.11,2.76
25,12.29,18.68,7.76,2.82
26,10.82,15.93,6.95,2.34
27.01,12.52,18.79,7.76,2.83
27.02,9.94,14.75,6.22,2.18
28,11.66,17.78,7.15,2.75
29,12.73,19.21,8.14,2.82
30,12.76,19.02,8.05,2.82
31.01,11.59,17.82,7.23,2.75
31.02,11.48,17.5,7.12,2.68
32,12.5,18.52,7.94,2.72
33.01,12.22,18.75,7.52,2.88
33.02,12.54,19.03,7.81,2.87
34.02,13.71,20.51,8.68,3.04
35.01,12.45,19.23,7.55,2.98
35.02,12.49,18.68,8.02,2.76
36.01,13.09,19.56,8.35,2.9
36.02,12.83,20.31,7.46,3.3
37.01,12.25,18.65,7.53,2.85
37.02,13.07,20.1,8.15,3.08
38,11.9,17.74,7.52,2.61
39.01,12.54,18.82,7.86,2.9
39.02,14.52,22.13,9.24,3.28
40.01,12.19,18.54,7.46,2.95
40.02,12.71,19.15,7.94,2.91
41.01,12.85,18.98,8.01,2.84
41.02,11.33,16.89,7.12,2.49
42,11.45,17.52,7.17,2.64
43.02,12.41,19.22,7.51,3.03
44,10.88,16.98,6.69,2.64
45.01,12.37,20.02,7.31,3.25
45.02,11.77,18.33,7.17,2.87
46,11.64,17.81,7.05,2.75
47.01,13.46,20.77,8.17,3.25
48,12.59,19.09,7.92,2.87
49.01,12.36,18.31,7.93,2.66
49.02,11.12,18.06,6.45,3.02
50.02,12.9,19.22,8.15,2.85
50.03,13.83,20.72,8.74,3.14
50.04,13.94,21.99,8.33,3.53
51.01,12.53,18.92,7.83,2.87
51.02,12.62,18.9,7.95,2.84
52.01,13.92,20.51,8.89,3.01
52.02,11.88,17.99,7.62,2.66
53.01,14.05,22.08,8.47,3.51
53.02,12.02,19.46,7.08,3.18
54.01,12.77,18.6,8.35,2.66
54.02,12.84,19.61,7.95,2.97
55.01,12.65,20.28,7.52,3.33
55.02,12.98,21.13,7.47,3.49
56.02,13.99,21.74,8.48,3.4
57.02,12.46,18.54,7.89,2.77
59.06,12.27,19.42,7.28,3.14
59.07,13.19,21.45,7.61,3.51
59.09,12.72,20.9,7.14,3.53
59.1,12.88,21.06,7.41,3.45
59.11,13.34,20.18,8.63,2.96
60.02,12.54,20.89,7.19,3.49
61,12.09,20.8,6.45,3.7
62,13.17,21.01,7.82,3.39
64,12.14,18.65,7.55,2.81
65,12.17,18.68,7.42,2.95
67.01,13.7,22.32,8.05,3.73
68,12.92,20.35,7.73,3.27
69.02,10.55,15.74,6.76,2.29
100.01,13.45,20.84,8.16,3.28
100.02,14.1,21.73,8.36,3.53
101.03,13.1,21.14,7.59,3.5
101.04,12.05,19.02,7.17,3.05
101.06,12.95,20.72,7.81,3.31
103,13.32,19.95,8.4,2.96
104,11.48,17.75,7.14,2.72
110.02,14.83,25.68,7.54,4.77
110.03,13.81,23.06,7.49,4.04
110.04,14.74,24.88,8.22,4.34
111.02,13.77,21.71,8.22,3.48
111.05,15.24,24.8,8.95,4.03
111.07,13.71,21,8.5,3.23
112,14.18,22.28,8.49,3.58
113,12.85,19.63,7.96,3.02
114.01,12.86,22.18,7.16,3.89
114.02,11.99,19.28,6.98,3.21
115,11.81,18.3,7.31,2.8
116,12.51,18.97,7.71,2.9
117,13.75,21.19,8.55,3.22
118,10.59,16.23,6.53,2.49
120,13.21,21.26,7.88,3.48
121,13.8,21.74,8.13,3.54
122,13.47,20.21,8.21,3.14
130.03,11.65,17.94,7.07,2.81
131,13.54,19.64,8.97,2.72
132,13.64,22.52,7.83,3.72
133.01,12.03,20.27,6.48,3.58
133.02,11.17,17.79,6.54,2.88
134,12.57,19.35,7.71,3.01
135,14.19,21.83,8.7,3.4
140.02,13.2,19.47,8.57,2.8
140.03,12.94,18.85,8.46,2.66
140.04,14.49,23.05,8.44,3.69
141.01,13.71,21.06,8.54,3.23
142.01,12.8,19.89,7.57,3.18
142.02,12.83,20.12,7.56,3.24
142.03,11.94,18.39,7.22,2.91
143.01,13.35,20.51,8.22,3.19
143.02,12.89,19.26,8.38,2.8
143.03,13.03,20.07,8.1,3.04
144.04,13.2,21.17,7.75,3.49
144.06,12.51,18.94,7.78,2.9
145.01,12.97,19.27,8.27,2.87
145.02,13.76,21.72,8.11,3.5
146,13.47,20.42,8.57,3.06
147.01,14.94,22.94,9.38,3.48
147.09,12.64,19.31,7.83,2.96
148,12.22,18.28,7.92,2.64
149.02,12.3,20.07,7.09,3.31
149.05,12.5,19.24,7.71,2.97
149.08,12.67,19.33,7.75,3
149.09,12.31,19.38,7.29,3.14
150,11.96,18.2,7.4,2.76
151.03,12.51,19.38,7.63,3.03
151.05,12.51,19.34,7.65,3.01
151.07,12.53,18.51,8.09,2.67
151.08,14.09,21.64,8.66,3.33
160.01,15.02,25.45,7.98,4.54
160.02,12.77,20.31,7.56,3.27
160.03,15.74,24.76,9.32,3.93
160.04,14.5,22.84,8.63,3.71
161.02,13.57,21,8.24,3.28
161.03,13.26,20.78,7.94,3.32
161.05,10.65,17.25,6.26,2.82
161.06,12.9,19.63,8.01,3.04
161.08,12.95,21.29,7.27,3.65
161.09,12.28,17.78,8.25,2.44
162.01,12.44,18.91,7.71,2.9
162.02,12.59,19.93,7.62,3.17
162.03,10.79,16.61,6.59,2.61
162.04,12.68,19.28,7.84,2.95
163.01,12.31,19.18,7.49,3.01
163.04,12.99,19.52,8.1,2.95
163.05,12.15,18.57,7.51,2.84
163.06,11.53,18.13,7.07,2.81
163.07,12.83,19.7,7.79,3.1
163.08,12.98,20.68,7.57,3.38
170.03,14.76,22.44,9.28,3.37
170.04,13.09,19.51,8.3,2.93
170.05,13.2,20.3,8.15,3.1
170.07,12.58,18.69,7.92,2.8
180.01,12.79,20.3,7.66,3.25
180.04,13.12,19.6,8.41,2.88
181.03,12.7,19.66,7.6,3.11
181.05,13.3,19.88,8.65,2.86
181.07,13.45,21.92,7.66,3.69
181.08,14.63,23.68,8.28,3.96
181.09,12.58,19.3,7.89,2.94
181.11,12.7,19.51,7.68,3.09
181.12,11.93,18.8,6.95,3.07
181.13,13.14,19.42,8.54,2.81
181.14,15.04,23.53,8.98,3.77
181.16,9.15,14.29,5.38,2.28
182.01,13.11,18.88,8.51,2.67
182.04,13.33,19.55,8.6,2.87
182.05,13.68,20.48,8.72,3.03
183.01,12.81,20.06,7.75,3.16
183.03,13.03,19.74,8.18,2.98
183.05,12.49,18.86,7.9,2.84
183.06,12.35,18.5,7.87,2.73
183.07,12.64,19.68,7.6,3.08
184.02,13.03,19.16,8.31,2.85
184.06,11.99,18.52,7.26,2.84
184.07,12.56,19.08,7.9,2.88
184.08,11.59,17.9,6.95,2.84
