"CT","mx_mean","mx_ub","mx_lb","mx_se"
1.01,20.14,32.24,11.82,5.27
1.02,19.43,31.24,11.05,5.28
2.01,22.25,37.11,12.32,6.42
2.04,18.57,29.36,10.99,4.72
3.01,17.49,28.79,9.61,4.96
3.02,16.48,27.47,8.95,4.87
4.01,18.51,29.67,10.76,4.9
5,17.79,28.81,10.13,4.85
6.01,15.51,25.96,8.56,4.48
6.02,19.54,32.16,10.89,5.46
7.01,17.28,28.44,9.97,4.8
7.02,17.53,29.14,10.02,4.95
8.01,15.99,27.58,8.4,4.98
8.02,15.5,25.42,8.91,4.26
9,16.18,26.29,9.34,4.37
10.02,17.14,27.93,9.74,4.75
11,18.5,29.82,10.74,4.91
13.01,18.26,30.14,10.5,4.98
13.03,17.53,29.09,9.85,4.98
13.04,17.02,28.12,9.23,4.88
14.02,17.44,28.61,9.77,4.9
15.01,22.45,37.52,12.34,6.57
15.02,19.86,31.45,11.36,5.2
16.01,19.01,31.23,10.97,5.18
16.05,15.64,25.96,8.77,4.41
17.01,16.02,26.2,9.03,4.39
17.02,15.7,25.8,8.86,4.32
18.02,16.76,26.61,9.98,4.22
19,17.83,29.51,10.09,4.96
20,17.13,26.68,10.57,4.11
21,15.77,25.7,8.99,4.3
23,16.16,27.04,8.97,4.63
24,16.7,27.81,9.35,4.72
25,15.28,25.27,8.54,4.36
26,18.17,30.14,10.25,5.16
27.01,19.55,32.46,10.84,5.43
27.02,14.59,24.2,8.22,4.12
28,17.17,28.82,9.56,4.94
29,17.67,28.45,10.1,4.77
30,18.67,30.18,10.72,5.05
31.01,18.88,31.3,10.69,5.29
31.02,18.71,30.97,10.44,5.31
32,18.33,29.82,10.33,5.08
33.01,19.13,32.34,10.8,5.58
33.02,14.79,24.16,8.29,4.12
34.02,16.82,27.22,9.78,4.55
35.01,18.15,29.92,10.08,5.12
35.02,17.32,27.92,10.08,4.64
36.01,17.16,27.86,9.77,4.68
36.02,21.58,37.23,11.64,6.62
37.01,17.19,28.13,9.6,4.8
37.02,16.34,26.87,9.16,4.61
38,17.56,28.75,9.81,4.86
39.01,19.05,30.86,10.99,5.16
39.02,20.26,33.66,11.55,5.65
40.01,19.1,32.28,10.13,5.75
40.02,18.09,30.09,10.08,5.18
41.01,18.72,31.06,10.47,5.26
41.02,18.34,29.57,10.41,4.99
42,16.78,27.71,9.25,4.76
43.02,15.15,26.18,8.09,4.64
44,14.68,24.71,7.89,4.39
45.01,17.28,29.53,9.14,5.4
45.02,17.4,28.64,9.62,4.97
46,20.22,34.05,10.98,5.94
47.01,17.63,30.94,9.49,5.5
48,18.39,30.34,10.3,5.18
49.01,19.18,31.05,11.22,5.11
49.02,14.38,25.94,7.31,4.74
50.02,18.73,30.4,10.65,5.03
50.03,17.28,27.8,9.91,4.58
50.04,17.21,28.85,9.34,5.12
51.01,18.09,29.68,10.26,5.04
51.02,20.6,33.66,11.62,5.67
52.01,19.23,30.93,11.13,5.1
52.02,19.33,31.73,11.05,5.33
53.01,21.15,35,11.8,6.03
53.02,19.05,32.57,10.13,5.83
54.01,22.68,35.01,14.17,5.36
54.02,18.09,29.75,10.27,5.06
55.01,20.81,35.54,11.34,6.28
55.02,22.5,39.36,11.84,7.19
56.02,17.97,30.11,9.83,5.32
57.02,19.28,30.98,11.29,5.1
59.06,21.28,35.6,11.81,6.18
59.07,18.11,31.19,9.6,5.63
59.09,21.03,36.39,10.89,6.54
59.1,22.86,38.56,12.37,6.89
59.11,20.39,32.88,11.78,5.48
60.02,19.94,34.27,10.61,6.14
61,20.1,36.24,10.01,6.87
62,18.42,31.43,9.88,5.66
64,23.1,37.69,13.28,6.2
65,23.26,38.03,13.31,6.35
67.01,19.58,33.68,10.32,5.99
68,21.18,35.51,11.58,6.2
69.02,14.75,23.74,8.5,3.92
100.01,18.59,31.36,10.03,5.54
100.02,21.43,35.57,11.58,6.27
101.03,19.66,33.89,10.37,6.21
101.04,18.28,31.7,9.7,5.57
101.06,18.37,31.5,9.99,5.54
103,19.27,31.52,10.91,5.26
104,22.85,38.09,13.02,6.39
110.02,24.02,43.69,11.35,8.63
110.03,21.04,37.66,10.45,7.12
110.04,20.19,35.99,10.29,6.83
111.02,20.4,34.3,11.2,6.01
111.05,19.45,33.58,10.26,6.11
111.07,22.7,37.85,12.87,6.52
112,19.82,33.49,10.75,5.87
113,20.65,34.56,11.73,5.88
114.01,22.13,40.38,10.84,7.67
114.02,20.29,35.16,10.63,6.41
115,22.7,37.18,12.94,6.28
116,18.82,30.68,10.64,5.16
117,18.1,29.28,10.2,4.99
118,16.08,26.65,9.03,4.54
120,18.2,31.16,9.61,5.62
121,17.51,29.96,9.54,5.26
122,18.78,31.26,10.46,5.38
130.03,19.61,32.91,10.71,5.65
131,20.31,31.25,12.42,4.88
132,19.5,33.79,10.29,6.01
133.01,22.73,40.27,11.56,7.51
133.02,20.09,33.94,10.96,5.87
134,18.32,30.2,10.42,5.06
135,16.57,27.72,9.41,4.69
140.02,20.97,33.51,12.32,5.45
140.03,18.51,29.61,10.88,4.89
140.04,19.02,32.47,10.17,5.64
141.01,25.08,40.45,14.09,6.84
142.01,23.01,38.77,12.66,6.69
142.02,21.52,36.65,11.55,6.41
142.03,18.2,30.55,10.03,5.3
143.01,21.98,36.51,12.45,6.26
143.02,19.8,31.43,11.46,5.14
143.03,21.38,35.05,12.08,5.96
144.04,17.88,30.56,9.53,5.39
144.06,18.01,29.06,10.24,4.86
145.01,18.28,29.89,10.53,4.99
145.02,21.46,36.78,11.37,6.63
146,19.44,31.69,10.99,5.37
147.01,21.31,35.46,11.91,5.94
147.09,19.49,32.06,10.88,5.53
148,18.9,30.25,10.99,4.96
149.02,16.64,29.47,8.48,5.44
149.05,19.22,32.02,10.54,5.56
149.08,18.34,30.81,10.41,5.25
149.09,17.46,29.09,9.37,5.03
150,17.57,28.83,10.21,4.8
151.03,18.95,31.06,10.77,5.32
151.05,21.74,35.98,12.15,6.18
151.07,19.13,30.39,11.43,4.89
151.08,17.86,29.48,9.99,5.11
160.01,20.22,37.18,9.89,7.02
160.02,17.85,29.98,9.77,5.23
160.03,17.43,29.2,9.44,5.22
160.04,17.67,29.98,9.41,5.34
161.02,20.8,34.61,11.4,6.08
161.03,18.56,31.54,10.18,5.53
161.05,15.61,27.09,8.07,4.88
161.06,20.56,33.74,11.5,5.7
161.08,16.3,30.01,8.02,5.78
161.09,16.97,26.96,10.24,4.26
162.01,16.94,27.8,9.71,4.66
162.02,16.78,27.81,9.32,4.77
162.03,16.49,27.31,9.19,4.73
162.04,16.29,26.5,9.13,4.5
163.01,18.13,30.3,10.05,5.28
163.04,19.96,32.45,11.36,5.51
163.05,19.17,32.53,10.75,5.59
163.06,16.72,28.39,9.3,4.84
163.07,18.03,30.1,9.89,5.19
163.08,18.47,31.59,9.86,5.65
170.03,20.35,33.07,11.53,5.58
170.04,19.31,31.11,11.3,5.06
170.05,18.79,31.26,10.3,5.44
170.07,19.13,30.57,11.21,5.08
180.01,18.63,32.49,9.7,5.78
180.04,17.44,28.02,10.16,4.61
181.03,20.02,34.03,11.09,5.83
181.05,20.67,32.58,12.39,5.19
181.07,16.62,28.8,8.45,5.28
181.08,18.65,32.54,9.59,5.96
181.09,20.19,33.28,11.35,5.68
181.11,19.52,32.38,10.95,5.57
181.12,19.08,32.5,10.27,5.73
181.13,18.42,28.96,10.72,4.76
181.14,17.95,30.1,9.82,5.32
181.16,11.84,20.07,6.4,3.58
182.01,18.2,28.52,10.84,4.55
182.04,17.75,28.35,10.28,4.73
182.05,17.87,28.63,10.5,4.72
183.01,17.74,29.57,9.85,5.06
183.03,19.99,32.98,11.12,5.6
183.05,16.95,27.4,9.77,4.46
183.06,21.17,34.35,12.27,5.82
183.07,18.82,31.39,10.46,5.37
184.02,16.73,26.66,9.62,4.43
184.06,16.54,28.26,9.02,4.92
184.07,18.8,30.74,10.77,5.11
