"CT","mx_mean","mx_lb","mx_ub","mx_se"
1.01,357.05,295.97,420.69,32.59
1.02,379.26,298.64,474.12,44.77
2.01,322.46,227.58,444.09,54
2.04,388.68,309.91,484.21,44.05
3.01,346.7,245.08,461.65,56.93
3.02,638.74,484.41,822.4,86.66
4.01,521.33,413.01,640.26,59.34
5,319.19,232.11,430.26,48.6
6.01,229.29,163.5,310.12,36.17
6.02,472.89,363.62,608.99,63.37
7.01,285.98,209.62,382.69,44.29
7.02,441.73,332.86,575.6,62.91
8.01,267.64,174.13,394.66,56.49
8.02,414.24,302.76,547.96,61.83
9,235.61,185.36,294.4,28.32
10.02,311.06,238.11,400.38,40.11
11,281.56,211.55,374.62,41.17
13.01,374.59,283.46,483.83,52.77
13.03,325.13,236.58,435.93,51.82
13.04,358.79,257.24,491.85,59.89
14.02,341.95,249.18,458.24,52.7
15.01,331.47,239.94,446.78,53.68
15.02,362.82,282.26,460.29,45.81
16.01,369.48,288.44,470.61,44.43
16.05,373.3,269.56,504.25,59.54
17.01,363.25,273.57,476.12,52.7
17.02,355.87,261.34,469.95,52.15
18.02,376.29,294.37,472.25,46.3
19,401.33,301.78,510.91,54.7
20,341.84,275.84,417.48,36.31
21,328.95,240.85,441.19,51.63
23,365.18,281.45,468.92,48.79
24,286.34,204.88,386.39,45.05
25,320.54,243.97,417.23,43.74
26,275.59,209.33,351.88,39.12
27.01,289.64,223.72,365.51,38.73
27.02,347.3,276.75,437.18,41.53
28,339.47,253.35,439.15,50.51
29,594.22,499.02,702.92,51.04
30,356.2,265.02,469.02,51.04
31.01,357.28,267.31,469.11,51.63
31.02,356.75,261.8,477.91,54.32
32,336.24,253.55,438.91,48.03
33.01,315.37,231.15,420.78,47.92
33.02,320.94,243.71,417.9,45.04
34.02,394.05,301.15,522.02,53.77
35.01,359.7,270.12,475.18,53.97
35.02,361.1,272.68,466.1,50.04
36.01,390.84,297.84,507.56,52.98
36.02,355.09,252,482.1,59.41
37.01,351.1,256.85,468.38,54.49
37.02,451.87,321.32,616.16,77.62
38,453.35,342.75,587.53,60.58
39.01,408.67,304.17,532.61,59.23
39.02,490.19,388.13,616.6,60.6
40.01,278.17,199.07,375.34,44.32
40.02,345.08,263.56,452.2,47.96
41.01,449.01,359.39,557.12,50.35
41.02,277,207.49,365.25,41.01
42,315.31,231.64,412.28,45.1
43.02,294.05,213.38,401.38,46.85
44,275.78,203.93,352.64,39.24
45.01,338.56,244.38,455.27,55.69
45.02,345.17,251.22,464.04,54.84
46,308.3,220.38,421.69,50.78
47.01,460.59,347.98,582.9,60.86
48,361.79,278.7,468.42,46.95
49.01,576.15,441.59,750.42,78.53
49.02,364.3,293.83,446.19,39.78
50.02,379.97,311.98,462.85,38.35
50.03,549.47,442.35,681.9,62.11
50.04,341.52,264.59,432.19,43.34
51.01,334.48,263.94,414.91,37.6
51.02,429.34,344.52,526.08,45.94
52.01,401.53,306.03,512.93,52.64
52.02,352.16,260.98,460.99,51.04
53.01,388.1,289.68,511.9,57.18
53.02,366.25,266.38,505.3,60.41
54.01,403.75,347.16,471.81,31.01
54.02,368.2,295.19,450.24,39.14
55.01,361.6,288.31,450.95,42.05
55.02,377.58,295.92,463.51,43.63
56.02,612,505.36,732.05,61.62
57.02,375.68,316.38,446.18,33.76
59.06,723.18,594.15,867.45,69.57
59.07,559.18,431.22,700.54,69.13
59.09,414.37,322.16,526.19,51.21
59.1,497.72,392.74,629.05,61.52
59.11,634.57,508.41,785.73,70.52
60.02,379.07,303.56,475.12,42.49
61,272.83,214.1,339.88,31.98
62,269.79,220.94,330.67,28.35
64,355.15,297.16,421.88,32.02
65,486,412.2,570.89,40.98
67.01,447.7,368.45,543.94,45.13
68,329.33,270.71,401.83,33.47
69.02,403.03,312.49,506.54,50.1
100.01,726.08,606.86,864.31,64.04
100.02,427.28,347.14,525.5,45.08
101.03,306.8,245.77,376.44,33.03
101.04,433.03,351.7,529.14,47.07
101.06,333.14,272.54,405.11,33.17
103,305.97,253.15,369.62,29.42
104,357.43,288.05,437.65,37.27
110.02,333.64,232.7,465.81,59.92
110.03,441.11,329.51,582.69,66.6
110.04,299.49,222,401.17,45.28
111.02,394.51,308.89,499.76,47.26
111.05,508.18,394.3,633.97,61.58
111.07,522.27,395.95,680.53,72.96
112,418.65,321.94,527.8,52.48
113,369.42,306.38,440.36,35.06
114.01,381.1,280.67,511.1,59.75
114.02,746.35,593.96,942.45,87.96
115,441.76,369.82,532.47,41.5
116,304.88,221.58,398.19,46.51
117,358.96,288.04,441.7,38.89
118,344.06,286.14,411.16,31.21
120,308.17,235.06,391.97,40.51
121,357.04,281.14,448.01,42.33
122,331.91,255.94,415.39,42.62
130.03,390.85,330.5,451.1,30.38
131,366.99,317.16,417.48,26.31
132,312.55,245.31,394.56,38.71
133.01,361.22,279.44,462.94,46.2
133.02,290.05,229.74,360.47,34.72
134,464.34,382.18,562.2,46.05
135,298.07,238.3,363.62,32.04
140.02,337.13,248.84,449.03,51.07
140.03,359.55,276.98,464.09,47.71
140.04,357.41,242.67,502.48,69.6
141.01,454.27,347.72,587.24,60.48
142.01,323.15,225.11,447.67,57.82
142.02,312.68,217.41,431.76,53.01
142.03,327.77,263.5,400.75,36.11
143.01,291.21,223.11,381.2,41.67
143.02,357.95,287.05,445.14,42.29
143.03,318.42,253.32,397.91,36.89
144.04,512.76,413.57,621.16,55.13
144.06,323.01,258.49,394.91,34.19
145.01,288.48,231.21,362.58,32.36
145.02,243.67,181.65,323.93,35.82
146,402.71,322.37,496.29,45.18
147.01,274.67,218.49,346.55,32.17
147.09,399.05,327.18,483.46,40.26
148,408.58,343.02,479.15,35.04
149.02,343.98,263.28,440.88,46.29
149.05,370.2,281.75,479.86,50.65
149.08,298.09,238.93,372.48,34.68
149.09,322.86,239.48,423.08,44.97
150,331.37,238.61,450.08,54.59
151.03,349.93,265.53,446.22,48.28
151.05,430.34,341.98,535.48,48.55
151.07,311.99,259.63,375.35,29.95
151.08,291.4,214.26,382.12,42.67
160.01,401.37,309.82,507.16,50.92
160.02,320.71,263.81,383.43,31.35
160.03,377.88,310.72,455.17,37.67
160.04,366.31,292.17,449.34,41.01
161.02,372.07,275.48,509.32,57.79
161.03,487.41,364.98,634.77,69.98
161.05,394.49,288.23,525.72,60.88
161.06,533.05,389.08,713.51,84.82
161.08,463.34,344.15,612.41,69.65
161.09,511.56,400.04,646.53,61.96
162.01,477.04,394.07,587.61,50.4
162.02,403.61,316.3,507.09,49.86
162.03,344.77,278.12,423.51,37.56
162.04,370.72,293.37,461.29,43.31
163.01,436.45,321.84,585.87,67.93
163.04,463.72,355.21,598.71,61.11
163.05,447.73,362.13,554.92,49
163.06,343.52,267.98,436.6,43.56
163.07,350.53,274.54,435.24,42.04
163.08,378.08,289.34,483.4,48.57
170.03,360.68,300.71,430.81,32.59
170.04,302.17,255.24,356.4,25.43
170.05,351.1,289.84,428.54,35.08
170.07,422.95,359.45,495.17,34.62
180.01,404.95,302.09,527.14,57.18
180.04,278.61,224.56,341.5,30.42
181.03,373.06,302.64,454.42,38.76
181.05,338.74,287.42,401.41,28.64
181.07,316.4,242.1,409.63,42.41
181.08,298.58,232.82,386.43,39.25
181.09,353.1,287.68,430.48,36.17
181.11,383.39,308.69,473.14,40.73
181.12,266.33,199.91,347.15,37.78
181.13,268.15,223.35,322.21,25.31
181.14,363.41,274.1,468.82,49.42
181.16,350.18,287.88,420,33.7
182.01,321.89,258.12,403.25,37.74
182.04,440.03,354.2,544.76,49.3
182.05,333.88,263.13,422.72,41.25
183.01,369.42,295.65,464,43.13
