"CT","mx_mean","mx_ub","mx_lb","mx_se"
1.01,5.61,17.93,0.88,4.77
1.02,5.74,21.59,0.7,6.34
2.01,5.27,20.35,0.6,5.84
2.04,2.96,10.47,0.42,2.98
3.01,5.02,22.3,0.43,6.65
3.02,8.66,30.15,1.21,8.02
4.01,2.75,10.46,0.33,2.98
5,2.4,10.36,0.21,3.36
6.01,5.2,20.83,0.55,5.99
6.02,3.33,12.96,0.34,4.22
7.01,3.41,13.38,0.37,3.74
7.02,2.54,11.03,0.22,3.23
8.01,7.69,37.37,0.5,10.61
8.02,5.19,19.92,0.59,5.7
9,2.74,9.74,0.35,2.66
10.02,1.99,7.93,0.2,2.21
11,3.37,12.94,0.4,3.65
13.01,4.46,16.09,0.6,4.53
13.03,5.34,20.66,0.58,6.07
13.04,4.76,20.51,0.39,6.58
14.02,3.98,16.32,0.4,4.77
15.01,2.68,11.83,0.2,3.34
15.02,2.41,9.09,0.29,2.47
16.01,3.14,12.86,0.33,3.64
16.05,3.25,13.86,0.31,4.02
17.01,4.76,17.69,0.62,5.05
17.02,2.77,11.27,0.28,3.46
18.02,5.53,18.93,0.87,5.37
19,2,8.03,0.21,2.28
20,2.7,9.49,0.44,2.54
21,2.53,10.46,0.24,3.16
23,7.2,25.3,1.15,6.89
24,4.82,19.18,0.53,5.79
25,3.54,13.76,0.46,4.03
26,2.71,10.47,0.31,2.85
27.01,1.83,7.13,0.17,2.19
27.02,2.2,7.85,0.29,2.18
28,6.29,25.39,0.67,7.14
29,3.06,12.16,0.36,3.51
30,2.51,9.85,0.25,2.77
31.01,3.8,16,0.39,5.27
31.02,4.5,18.36,0.44,5.49
32,4.76,17.9,0.57,5.15
33.01,6.21,24.43,0.7,6.82
33.02,2.43,9.77,0.24,2.94
34.02,3.71,13.71,0.44,4.26
35.01,3.3,14.62,0.29,4.38
35.02,2.96,11.06,0.34,3.88
36.01,3.34,13.05,0.41,3.66
36.02,6.19,24.76,0.65,6.71
37.01,6.07,24.37,0.65,6.87
37.02,9.07,36.65,0.98,10.33
38,7.69,27.43,1.11,7.68
