"CT","mx_mean","mx_lb","mx_ub","mx_se"
1.01,5.07,2.87,8.45,1.47
1.02,4.96,2.7,8.26,1.51
2.01,4.19,1.99,7.56,1.45
2.04,4.83,2.74,8.34,1.41
3.01,4.49,2.16,8.27,1.58
3.02,5.78,2.84,10.64,1.97
4.01,5.43,3.01,8.8,1.51
5,4.72,2.51,8.38,1.48
6.01,4.29,2.01,7.84,1.49
6.02,7.1,3.66,12.61,2.21
7.01,4.44,2.28,8.24,1.47
7.02,5.24,2.66,9.33,1.77
8.01,4.59,1.96,8.96,1.78
8.02,3.9,2.1,6.74,1.22
9,3.53,1.91,6,1.05
10.02,4.37,2.35,7.59,1.34
11,4.64,2.5,7.81,1.4
13.01,4.3,2.18,7.58,1.42
13.03,4.67,2.31,7.99,1.52
13.04,4.56,2.16,8.79,1.67
14.02,4.63,2.36,8.28,1.56
15.01,4.57,2.26,8.12,1.53
15.02,4.46,2.44,7.78,1.39
16.01,4.77,2.56,8.5,1.55
16.05,5.87,3.02,9.93,1.83
17.01,5.02,2.65,8.49,1.51
17.02,5.43,2.97,9.36,1.7
18.02,4.77,2.68,7.85,1.36
19,5.4,2.91,9.18,1.62
20,4.91,2.96,7.72,1.26
21,3.79,2,6.39,1.15
23,3.98,2.11,6.84,1.22
24,3.76,1.91,6.56,1.23
25,4.21,2.21,7.32,1.28
26,3.38,1.75,5.72,1.04
27.01,3.5,1.81,6.12,1.13
27.02,3.96,2,7.06,1.31
28,4.52,2.27,7.86,1.5
29,5.39,2.86,9.29,1.63
30,4.48,2.36,7.61,1.34
31.01,5.34,2.64,9.81,1.79
31.02,5.43,2.96,9.55,1.73
32,5.2,2.82,8.81,1.53
33.01,5.74,2.94,10.2,1.93
33.02,4.31,2.37,7.38,1.29
34.02,5.32,2.94,9.12,1.61
35.01,4.84,2.51,8.96,1.63
35.02,5.57,2.98,9.25,1.62
36.01,5.55,2.85,9.91,1.79
36.02,4.37,2.01,8.05,1.54
37.01,6.62,3.49,11.53,2.14
37.02,6.06,3.14,10.49,1.95
38,6.87,3.72,11.67,2.08
39.01,7.2,3.91,12.44,2.3
39.02,6.65,3.66,10.93,1.92
40.01,4.88,2.39,8.95,1.73
40.02,4.99,2.56,8.4,1.53
41.01,4.22,2.21,7.36,1.34
41.02,3.85,2.11,6.48,1.15
42,3.58,1.87,6.21,1.17
43.02,3.18,1.56,5.77,1.1
44,3.29,1.54,6.16,1.19
45.01,4.06,1.83,7.67,1.54
45.02,3.53,1.81,6.29,1.16
46,4.13,2.02,7.8,1.44
47.01,3.98,1.96,7.22,1.4
48,4.15,2.22,7.52,1.38
49.01,5.8,3.22,9.75,1.68
49.02,5.26,2.36,10.17,2.04
50.02,6.23,3.36,10.34,1.82
50.03,6.54,3.49,11.16,1.95
50.04,7.49,3.93,13.49,2.51
51.01,5.18,2.69,8.98,1.56
51.02,5.71,2.9,9.66,1.74
52.01,4.54,2.4,7.57,1.31
52.02,6.04,3.29,10.31,1.81
53.01,7.31,3.84,12.69,2.4
53.02,4.12,1.91,7.69,1.48
54.01,9.16,5.59,14.26,2.27
54.02,5.42,2.79,9.47,1.82
55.01,8.49,4.3,14.9,2.73
55.02,7.23,3.51,14.05,2.68
56.02,6.05,3.11,11.42,2.13
57.02,7.42,4.13,12.31,2.13
59.06,17.23,9.27,30.03,5.37
59.07,6.79,3.25,12.19,2.35
59.09,7.48,3.5,13.86,2.86
59.1,8.76,4.39,16.14,2.97
59.11,7.5,3.92,13.38,2.39
60.02,6.46,3.28,11.71,2.22
61,5.95,2.81,11.69,2.3
62,5.04,2.5,8.79,1.61
64,6.94,3.91,11.69,2.01
65,7.61,4.3,13.04,2.19
67.01,8.65,4.49,15.34,2.79
68,5.41,2.74,9.77,1.83
69.02,3.84,2.12,6.43,1.08
100.01,7.97,4.21,14.25,2.61
100.02,4.77,2.22,9.4,1.87
101.03,4.21,1.89,8.64,1.7
101.04,4.11,1.89,7.87,1.6
101.06,4.35,2.04,8.31,1.59
103,4.21,2.1,7.66,1.46
104,4.76,2.36,8.67,1.65
110.02,5.39,1.81,12.81,2.88
110.03,4.4,1.78,9.51,2.06
110.04,4.09,1.69,8.49,1.71
111.02,3.81,1.61,7.29,1.54
111.05,5.14,2.44,10.2,1.97
111.07,4.66,2.35,8.73,1.62
112,5.71,2.72,10.8,2.08
113,4.41,2.46,7.48,1.31
114.01,3.83,1.58,8.58,1.78
114.02,3.58,1.6,6.91,1.39
115,4.88,2.53,8.47,1.57
116,5.05,2.49,9.27,1.83
117,3.21,1.61,5.72,1.08
118,4.24,2.25,7.46,1.35
120,4.17,1.93,8.03,1.74
121,3.08,1.45,5.74,1.13
122,3.9,1.95,7.4,1.36
130.03,4.22,2.13,7.47,1.41
131,4.78,2.92,7.54,1.18
132,3.11,1.36,6,1.25
133.01,3.19,1.2,6.96,1.52
133.02,3.05,1.42,5.75,1.1
134,4.76,2.39,8.52,1.6
135,4.05,2.03,7.62,1.41
140.02,3.84,2.08,6.42,1.12
140.03,3.58,1.97,5.74,1
140.04,3.97,1.92,7.68,1.52
141.01,3.61,1.89,6.47,1.19
142.01,3.86,1.86,7.09,1.35
142.02,3.52,1.68,6.59,1.29
142.03,5.8,2.84,10.19,2.01
143.01,4.35,2.18,7.73,1.46
143.02,4.64,2.59,7.91,1.36
143.03,3.49,1.74,6.34,1.21
144.04,5.47,2.51,10.06,2.05
144.06,3.37,1.73,5.78,1.07
145.01,3.78,2.11,6.17,1.11
145.02,3.9,1.83,7.43,1.41
146,3.97,2.03,7.02,1.28
147.01,3.47,1.74,6.42,1.18
147.09,5.63,2.89,9.59,1.75
148,4.96,2.69,8.32,1.55
149.02,4.39,1.92,8.62,1.75
149.05,4.42,2.17,8.05,1.45
149.08,3.69,1.88,7.17,1.31
149.09,4.48,2.16,8.02,1.55
150,4.06,2.12,7.26,1.31
151.03,4.68,2.38,8.35,1.52
151.05,4.31,2.17,7.74,1.44
151.07,3.91,2.28,6.56,1.1
151.08,3.76,1.91,7.01,1.31
160.01,3.57,1.54,7.25,1.56
160.02,3.3,1.63,6.17,1.19
160.03,4.36,2.16,7.83,1.51
160.04,3.97,1.81,7.55,1.49
161.02,3.73,1.85,6.8,1.3
161.03,4.78,2.43,8.87,1.72
161.05,4.18,1.85,7.76,1.59
161.06,4.4,2.23,8.18,1.52
161.08,4.44,1.89,9.55,1.95
161.09,4.42,2.61,6.87,1.14
162.01,4.28,2.25,7.66,1.36
162.02,4.3,2.15,8.12,1.49
162.03,4.42,2.16,8.05,1.51
162.04,3.72,1.91,6.71,1.19
163.01,4.76,2.23,9.22,1.89
163.04,4.33,2.25,7.97,1.47
163.05,3.89,1.95,7.09,1.36
163.06,3.87,1.9,7.43,1.38
163.07,4.11,2.1,7.09,1.33
163.08,4.26,2.14,7.82,1.47
170.03,4.53,2.38,7.86,1.46
170.04,4.41,2.42,7.44,1.31
