"CT","mx_mean","mx_ub","mx_lb","mx_se"
1.01,351.59,492.73,243.87,64.21
1.02,243.54,370.63,155.11,55.66
2.01,245.06,371.16,151.89,57.46
2.04,266.25,373.75,181.89,49.57
3.01,252.55,385.1,155.63,60.09
3.02,333.77,497.46,210.79,74.86
4.01,304.88,434.74,210.41,57.46
5,280.5,424.13,178.22,62.84
6.01,192.05,299.77,117.1,47.12
6.02,295.43,431.88,188.19,63.58
7.01,241.92,368.04,151.78,54.9
7.02,298.14,446.14,187.7,67.28
8.01,250.17,408.95,142.09,69.12
8.02,259.65,381.07,165.7,55.79
9,236.23,337.72,158.02,46.5
10.02,237.49,339.65,158.76,47.18
11,232.6,342.7,148.86,50.39
13.01,259.5,376.57,168.46,53.33
13.03,243.67,366.84,151.31,55.27
13.04,227.31,357.88,137.35,56.87
14.02,245.69,361.66,159.12,53.01
15.01,220.27,333.53,136.17,51.17
15.02,281.29,403.85,189.2,56.17
16.01,251.28,380.22,158.79,56.42
16.05,246.46,374.56,152.68,56.92
17.01,270.67,404.78,174.01,59.98
17.02,235.23,351.89,149.4,52.42
18.02,254.61,357.47,173.15,47.44
19,329.55,477.32,220.3,66.07
20,241.37,326.01,175.34,39.05
21,221.72,337.07,138.64,50.85
23,235.85,349.11,152.64,50.88
24,227.2,342.44,144.53,52
25,249.78,366.11,165.05,51.5
26,240.01,357.94,152.03,53.4
27.01,239.94,351.44,158.5,50.2
27.02,200.98,289.75,134.59,39.84
28,219.43,333.1,136.45,50.86
29,440.13,613.8,305.8,79.01
30,291.63,427,191.43,61.54
31.01,249.62,379.06,157.8,56.53
31.02,280.89,426.02,177.52,64.64
32,226.51,337.01,146.47,48.89
33.01,232.2,356.79,143.25,55.43
33.02,230.98,338.05,149.4,48.51
34.02,270.54,395.18,177.6,56.54
35.01,252.8,379,159.54,57.02
35.02,223.46,333.27,145.84,48
36.01,229.46,339.57,148.38,49.08
36.02,253.56,388.21,157.23,59.35
37.01,297.8,452.39,184.23,69.54
37.02,317.53,490.61,193.43,77.11
38,335.79,495.77,219.66,70.68
