"CT","mx_mean","mx_ub","mx_lb","mx_se"
1.01,39.83,54.53,28.11,6.79
1.02,44.74,64.86,29.89,9.02
2.01,45.78,67.45,29.55,9.69
2.04,37.67,52.19,25.78,6.86
3.01,37.21,56.71,22.89,8.67
3.02,38.58,59.15,23.72,8.92
4.01,45.25,63.79,30.95,8.5
5,44.19,64.85,29.07,9.2
6.01,36.5,56.06,22.56,8.66
6.02,48.55,71.79,31.74,10.45
7.01,34.8,51.24,21.98,7.54
7.02,37.13,54.85,24.14,8.02
8.01,40.4,66.06,22.81,11.14
8.02,42.08,61.81,27.5,8.87
9,37.55,52.93,25.69,6.94
10.02,32.38,47.45,21.44,6.66
11,36.89,52.58,24.27,7.28
13.01,40.2,57.86,27.16,7.78
13.03,38.3,56.97,24.84,8.32
13.04,38.78,59.41,23.69,9.38
14.02,43.46,63.31,28.76,8.87
15.01,43.87,64.49,27.8,9.6
15.02,38.87,54.4,26.48,7.3
16.01,48.4,71.03,31.76,10.08
16.05,36.17,53.9,23.25,7.89
17.01,33.26,48.59,22.45,6.65
17.02,51.81,75.6,34.77,10.45
18.02,40.74,57.14,28.64,7.35
19,45.15,63.66,30.2,8.63
20,39.77,53.59,28.81,6.31
21,38.45,56.33,25.58,7.78
23,40.17,58.79,26.46,8.3
24,32.85,49.84,20.9,7.44
25,38,54.78,25.63,7.45
26,32.06,46.26,20.95,6.48
27.01,30.71,45.2,19.85,6.48
27.02,30.08,42.75,19.78,5.89
28,40.25,60.87,25.22,9.22
29,40.28,58.27,26.94,8.03
30,36.03,52.45,23.8,7.29
31.01,40.79,61.16,26.26,8.92
31.02,42.76,64.42,27.55,9.34
32,38.56,55.01,25.58,7.61
33.01,37.31,55.49,24.11,8.09
33.02,38.62,55.68,25.54,7.74
34.02,46.25,66.82,31.14,9.13
35.01,38.37,58.72,24.01,8.64
35.02,38.05,55.19,25.47,7.51
36.01,41.5,59.7,28.01,8.19
36.02,59.17,89.3,37.16,13.33
37.01,49.46,72.91,31.66,10.54
37.02,48.97,74.07,30.76,11.09
38,57.5,82.75,38.5,11.21
39.01,53.67,78.05,35,11.19
39.02,56.28,78.81,38.7,10.45
40.01,39.78,59.95,24.6,9.12
40.02,44.27,63.82,28.67,9.06
41.01,47.42,69.44,31.33,9.63
41.02,38.11,54.16,25.26,7.45
42,30.22,44.54,19.32,6.54
43.02,33.66,50.75,20.82,7.68
44,40.42,59.32,26.58,8.46
45.01,43.77,66.64,26.82,10.33
45.02,41.84,63.84,26.79,9.59
46,44.86,66.22,28.4,9.69
47.01,49.01,70.72,31.81,10.09
48,47.78,68.62,32,9.58
49.01,54.58,78.01,36.53,10.71
49.02,44.57,67.88,27.82,10.19
50.02,44.44,64.13,29.78,8.95
50.03,68.74,98.36,45.41,13.75
50.04,52.24,82.01,32.11,12.82
51.01,36.58,54.4,22.67,8.08
51.02,42.22,61.04,27.69,8.54
52.01,45.57,63.88,31.29,8.44
52.02,48.65,69.81,33.36,9.39
53.01,57.65,82.79,38.34,11.53
53.02,45.28,71.3,27.59,11.23
54.01,54.5,73.44,39.74,8.71
54.02,37.35,55.34,24.23,7.86
55.01,48.97,73.02,31.42,10.74
55.02,62.73,94.83,39.12,14.12
56.02,63.7,94.25,40.41,13.83
57.02,53.84,75.65,37.17,9.88
59.06,50.71,77.96,30.92,11.94
59.07,35.6,55.63,21.21,9.01
59.09,50.2,81.05,28.83,13.58
59.1,45.77,73.14,27.08,11.93
59.11,42.77,61.51,28.88,8.44
60.02,78.1,118.96,49.7,17.72
61,32.38,52.39,18.32,8.85
62,37.52,56.17,23.93,8.31
64,47.85,66.75,32.45,8.8
65,50,71.06,33.6,9.78
