"CT","mx_mean","mx_ub","mx_lb","mx_se"
1.01,88.92,132.78,56.6,19.69
1.02,90.13,143.66,52.79,23.33
2.01,86.1,136.31,49.84,22.33
2.04,91.04,135.17,58.72,19.98
3.01,76.08,126.47,43.11,21.46
3.02,75.71,125.37,43.01,21.49
4.01,77.47,117.06,48.17,17.58
5,79.55,126.04,46.8,20.75
6.01,90.41,144.3,53.53,23.19
6.02,70.83,113.99,41.67,18.77
7.01,73.65,114.4,44.36,18.11
7.02,69.61,112.46,40.03,18.76
8.01,46.14,82.46,22.16,15.53
8.02,47.53,76.7,27.12,12.75
9,57.61,91.25,33.72,14.62
10.02,66.54,102.21,40.55,15.95
11,75.4,117.35,45.52,18.7
13.01,83.41,128.23,51.41,19.72
13.03,73.85,119.01,42.29,19.9
13.04,83.72,133.69,48.97,22.02
14.02,95.15,147.77,58,23.17
15.01,77.64,122.09,46.3,19.49
15.02,85.38,129.6,52.69,19.57
16.01,111.74,175.87,67.91,27.93
16.05,101.23,159.9,60.88,25.56
17.01,84.9,130.48,52.94,20.01
17.02,100.92,155.62,60.6,24.94
18.02,78.56,117.85,50.2,17.42
19,88.49,137.38,53,21.87
20,69.68,103,45.36,14.71
21,50.29,79.97,29.42,13.25
23,50,81.77,27.68,13.95
24,47.52,78.4,27.51,13.06
25,68.18,109.07,40.19,18.08
26,61.96,97.81,36.64,16.02
27.01,55.89,88.42,33.22,14.25
27.02,39.17,62.88,22.28,10.33
28,78.3,125.08,45.59,20.58
29,95.11,145.99,58.72,22.33
30,79.96,125.32,48.68,19.54
31.01,96.86,151.56,58.07,23.93
31.02,102.3,159.58,60.76,25.44
32,98.71,151.07,60.4,23.82
33.01,90.09,141.31,54.19,22.78
33.02,90.27,138.91,55.73,21.4
34.02,113.91,173.93,70.53,26.54
35.01,92.91,146.86,54.57,23.73
35.02,105.87,159.93,66.42,24.12
36.01,96.54,149.02,58.96,23.32
36.02,88.22,141.19,51.88,23.18
37.01,100.87,161.88,58.92,26.53
37.02,135.92,212.06,82.91,34
38,149.95,230.41,91.75,35.92
39.01,133.83,212.09,78.87,34.62
39.02,104.28,162.65,63.13,25.8
40.01,86.74,146.85,46.39,25.9
40.02,92.67,149.93,54.36,24.49
41.01,78.04,125.73,45.13,20.72
41.02,91.44,141.03,56.02,21.78
42,88.02,140.11,51.42,22.94
43.02,56.98,94.29,31.46,16.39
44,55.64,90.63,30.86,15.45
45.01,82.29,136.66,47.52,23.3
45.02,80.28,130.31,45.69,21.95
46,88.61,144.92,50.61,24.58
47.01,77.23,126.2,45.04,20.67
48,92.52,146.3,56.17,22.96
49.01,116.27,182.37,69.91,28.61
49.02,77.29,126.51,43.34,21.53
50.02,104.51,158.9,65.48,24.05
50.03,168.9,260.47,105.44,39.71
50.04,172.87,272.7,104.23,44.01
51.01,105.82,167.12,62.86,26.82
51.02,127.9,194.31,80.83,29.21
52.01,119.43,181.99,75.24,27.6
52.02,124.4,192.01,77.46,29.12
53.01,149,228.82,91.72,35.08
53.02,106.28,169.67,61.22,28.59
54.01,193.07,269.55,135.6,33.88
54.02,96.84,153.24,57.91,24.41
55.01,120.69,189.58,71.59,30.5
55.02,116.27,189.44,68.18,30.68
56.02,157.99,246.53,94.76,39.63
57.02,128.7,191.63,82.11,28.26
59.06,203.3,298.11,133.37,43.06
59.07,88.43,145.44,49.92,24.98
