"CT","mx_mean","mx_lb","mx_ub","mx_se"
1.01,229.78,189.28,275.16,21.96
1.02,240.41,184.71,308.01,31.5
2.01,244.65,186.18,315.88,33.04
2.04,248.11,204.02,296.33,23.43
3.01,167.19,121.05,223,26.5
3.02,202.8,153.04,267.47,29.2
4.01,217.68,177.24,263.46,22.18
5,233.95,181.57,295.21,29.05
6.01,189.76,147.95,241.53,23.94
6.02,228.6,179.16,286.62,28.12
7.01,216.4,168.39,277.22,28.09
7.02,220.15,170.81,277.88,28.68
8.01,169.54,109.11,256.11,37.07
8.02,280.35,213.35,354.21,35.21
9,190.47,154.82,231.03,19.72
10.02,210.22,165.73,270.36,24.36
11,215.53,172.15,272.95,25.42
13.01,240.02,185.6,313.64,32.33
13.03,239.01,183.74,306.95,31.48
13.04,218.07,163.71,291.8,32.94
14.02,264.56,196.71,356.33,40.19
15.01,250.16,197.44,319.48,30.82
15.02,211.4,171.54,261.36,23
16.01,274.04,217.73,341.23,32.44
16.05,202.02,149.95,265.28,29.09
17.01,205.84,160.47,259.54,25.44
17.02,259.03,201,322.85,31.57
18.02,220.93,182.06,267.12,21.86
19,210.41,168.33,262.86,24.46
20,207.26,170.85,249.25,20.03
21,180.88,134.29,243.04,26.79
23,220.88,172.83,274.67,26.09
24,218.75,169.97,279.39,27.87
25,231.84,183.57,287.39,26.83
26,216.02,168.79,269.02,25.68
27.01,212.59,164.05,265.2,25.66
27.02,215.32,177.02,261.36,21.89
28,230.49,176.7,290.78,29.15
29,325.66,259.53,400.96,36.12
30,265.8,207.28,329.17,30.66
31.01,261.7,206.15,331.66,32.47
31.02,237.05,181.24,312.5,32.87
32,215.96,168.01,270.12,26.14
33.01,223.85,172.46,287.46,28.91
33.02,233.71,183.77,287.44,27
34.02,218,172.77,267.75,25.17
35.01,204.78,157.07,264.38,27.46
35.02,242.63,193.26,297.1,26.96
36.01,255.63,202.31,315.89,29.14
36.02,298.87,235.25,374.14,36.62
37.01,214.73,165.43,274.53,27.76
37.02,285.2,210.76,371.72,41.19
38,326.15,259.06,404.11,37.3
39.01,287.4,226.59,357.83,34.45
39.02,319.52,255.21,396.04,36.66
40.01,198.55,139.96,271.8,34.03
40.02,223.62,171.82,288.46,28.88
41.01,281.04,214.43,361.16,37.99
41.02,253.56,198.61,320.26,31.45
42,239.5,189.74,298.2,28.54
43.02,194.59,148.56,254.1,26.53
44,176.06,137.97,222.29,21.6
45.01,260.87,196.87,337.79,36.61
45.02,257.29,198.87,333.28,34.72
46,260.06,200.72,332.72,34.36
47.01,210.43,167.35,262.7,25.19
48,243.94,185.16,317.61,33.64
49.01,371.12,276.23,485.22,53.19
49.02,203.87,159.59,256.11,25.41
50.02,253.47,201.83,311.37,28.5
50.03,421.24,324.03,534.61,53.36
50.04,292.03,217.24,380.98,42.88
51.01,227.03,172.32,292.18,31.4
51.02,302.21,237.47,377.49,36.26
52.01,245.29,194.44,304.34,28.03
52.02,247.74,196.89,307.21,29.33
53.01,369.76,301.89,452.18,38.97
53.02,286.83,216.76,373.89,40.26
54.01,361.93,313.17,422.26,28.23
54.02,212.17,162.57,274.79,28.26
55.01,267.26,210.63,333.5,31.62
55.02,286.72,219.62,370.45,37.91
56.02,327.52,252.08,415.6,41.83
57.02,237.58,194.62,288.23,23.75
59.06,398.35,316.82,486.62,44.32
59.07,268.97,197.76,351.53,41.14
59.09,325.31,240.02,423.7,47.69
59.1,345.7,255.78,467.7,55.06
59.11,366.41,275.42,478.1,51.5
60.02,272.02,210.6,343.67,35.32
61,210.69,161.37,269.45,27.98
62,199.14,157.43,245.49,23.3
64,251.08,206.38,304.7,25.49
65,353.4,295.5,420.67,32.26
67.01,341.61,269.56,417.58,38.46
68,216.99,172,270.3,24.84
69.02,213.35,171.13,262.16,22.94
100.01,311.33,247.17,392.35,36.25
100.02,289.31,228.89,362.37,33.59
101.03,278.19,220.7,349.54,32.82
101.04,315.81,241.97,402.04,42.23
101.06,294.66,236.43,359.81,31.82
103,231.25,188.18,283.32,24.34
104,276.75,221.33,342.98,31.48
110.02,312.41,221.74,428.69,51.75
110.03,265.5,188.5,362.21,45.48
110.04,163.54,113.91,227.45,29.35
111.02,252.84,194.16,323.51,32.97
111.05,218.84,164.83,291.82,32.83
111.07,334.15,250.54,438.81,48.25
112,293.54,215.03,383.37,42.41
113,246.1,203.23,298.49,25.32
114.01,222.65,152.96,312.37,41.79
114.02,326.07,244.59,426.2,46.56
115,255.4,196.92,325.87,33.01
116,240.33,181.39,312.99,34.14
117,271.46,216.41,339.29,31.96
118,258.12,212.92,309.93,24.37
120,276.51,210.63,347.98,35.13
121,235.56,184.04,299.43,30.15
122,229.16,168.65,296.51,34.24
130.03,221.53,183.46,264.5,20.5
131,236.61,204.28,273.81,18.25
132,249.48,193.11,321.9,33.17
133.01,268.5,199.82,350.84,38.96
133.02,221.24,172.78,284.05,28.6
134,218.99,175.78,274.37,24.87
135,221.71,171.16,277.58,26.76
140.02,312.62,246.09,390.33,37.62
140.03,222.52,166.17,295.81,32.12
140.04,182.55,122.56,262.2,36.21
141.01,249.11,199.09,305.26,26.98
142.01,274.29,214.14,344.7,35.61
142.02,245.91,185.83,317.38,33.67
142.03,230.97,182.06,288.43,26.89
143.01,208.74,152.64,275.91,30.98
143.02,218.87,179.67,264.43,22.16
143.03,249.2,192.32,319.26,32.04
144.04,310.91,245.01,385.23,36.07
144.06,231.09,186.09,281.21,24.63
145.01,179.27,139.27,224.24,22.16
145.02,208.42,148.4,285.43,34.69
146,230.56,175.52,299.28,32.03
147.01,197.56,154.58,248.59,24.23
147.09,292.69,233.66,363.61,32.96
148,273.71,221.87,332.49,28.01
149.02,259.24,191.96,340.06,39.08
149.05,256.74,182.26,361.89,46.08
149.08,221.04,172.99,281.89,27.54
149.09,308.56,231.83,412.07,46.25
150,274.4,177.28,410.11,61.24
151.03,205.16,144.41,288.18,36.4
151.05,229.64,175.13,291.9,29.99
151.07,232.77,189.3,282.51,24.38
151.08,214.71,156.07,282.92,32.66
160.01,213.36,157.84,278.5,31.32
160.02,257.41,208.79,312.98,27.31
160.03,265.56,218.18,328.74,28
160.04,210.48,158.74,266.94,27.98
161.02,293.77,232.13,371.48,35.75
161.03,237.9,186.42,299.27,28.92
161.05,265.11,201.09,339.9,34.73
161.06,347.14,270.11,447.35,44.64
161.08,248.1,163.01,369.7,52.26
161.09,248.15,185.99,327.54,35.24
162.01,230.76,174.16,299.11,32.59
162.02,271.27,205.36,352.23,37.98
162.03,262.86,204.87,336.42,34.05
162.04,273.15,209.59,359.19,37.8
163.01,224.37,157.56,313.5,40.6
163.04,264.93,202.15,338.36,35.17
163.05,282.51,215.47,363.33,38.2
163.06,180.79,131.5,244.85,29.25
163.07,254.72,194.98,334.8,35.47
163.08,228.38,168.12,308.64,37.61
170.03,294.38,236.89,353.41,29.93
170.04,179.3,146.85,217.82,18.04
170.05,357.56,282.8,438.31,39.87
170.07,247.6,206.69,292.15,22.46
180.01,207.78,136.18,306.8,43.32
180.04,186.16,144.74,233.13,22.62
181.03,251.47,199.16,318.33,30.99
181.05,263,219.76,310.09,23.19
181.07,224.86,168.46,292.85,32.74
181.08,293.47,219.6,389.82,43.12
181.09,230.5,186.28,286.65,26.05
181.11,293.66,231.39,367.24,34.99
181.12,129.45,89.95,181.13,23.45
181.13,224.37,182.14,272.29,23.46
181.14,269.97,190.8,364.53,43.09
181.16,222.46,180.33,275.89,23.83
182.01,206.13,152.54,272.41,29.67
182.04,180.73,133.02,244.49,28.46
182.05,268.41,190.84,361.81,44.24
183.01,157.49,112.86,211,25.76
183.03,147.62,112.53,186.17,18.74
183.05,709.94,555.95,885.94,87.28
183.06,106.85,81.79,138.16,14.31
183.07,407.89,319.9,519.73,51.18
184.02,147.97,113.95,188.27,19.07
184.06,1824.1,1458.48,2272.9,206.22
184.07,90.25,65.12,123.11,14.92
184.08,774.29,616.47,970.7,89.21
184.09,176.85,124.43,250.76,32.24
184.1,250.01,176.48,351.72,45.21
184.11,217.57,141.85,324.17,47.62
184.12,452.16,316.64,634.6,80.35
184.13,148.85,98.77,214.9,29.78
184.14,585,396.57,847.32,116.3
184.15,175.12,117.99,252.08,34.57
184.16,137.4,93.97,193.27,25.76
185.05,199.92,145.82,271.81,31.8
185.07,210.66,154.97,283.67,33.17
185.08,534.57,379.41,718.54,85.28
185.09,105.04,70.12,148.04,20.38
185.1,282.57,202.15,378.14,45.72
185.11,100.43,69.64,139.26,17.76
185.12,171.01,127.44,223.48,25.08
185.15,224.3,164.59,297.07,34.06
185.16,439.99,333.7,571.41,61.09
185.17,156.29,105.8,218.33,29.62
185.18,339.51,242.97,454.97,53.16
185.19,282.91,192,392.7,52.3
185.2,218.28,142.68,319.42,46.26
185.21,53.4,35.74,76.31,10.45
186.01,146.9,106.42,198.25,23.31
186.02,46.99,31.71,69.55,9.56
186.05,220.3,165.76,282.54,29.3
186.06,722.23,563.3,907.82,90.31
186.07,417.64,322.49,535.38,55.44
186.08,127.58,90.29,179.61,22.76
187.03,130.52,92.98,176.38,21.8
187.04,109.15,80.09,143.01,16.1
187.06,262.67,203.04,336.3,35.21
187.11,1689.37,1341.83,2120.81,199.86
187.12,294.18,223.16,379.78,39.89
187.13,193.52,139.39,265.83,31.4
187.14,841.95,612.72,1129.58,135.94
187.15,168.17,119.84,227.57,27.83
188.01,503.67,368.03,669.21,75.16
188.04,169.67,122.62,225.47,25.68
188.05,452.39,304.84,638.96,84.44
188.07,326.09,223.5,468.33,61.89
188.08,853.23,638.9,1135.31,126.64
189.03,120.91,84.44,165.52,21.16
189.05,23.01,14.95,34.28,4.95
189.06,121.61,84.3,168.27,21.7
189.08,114.83,82.75,158.96,20.14
189.09,333.13,243.64,440.48,49.71
189.1,954.11,773.37,1158.44,100.75
190.03,35.93,26.87,47,5.2
190.04,186.09,138.85,244.41,26.36
190.05,367.4,261.7,503.98,61.63
191.03,132.23,97.72,171.75,19.4
191.04,512.14,420.51,616.44,51.54
191.05,284.26,215.99,367.14,38.27
192,141.76,100.58,192.82,23.29
200,392.06,283.14,522.86,60
201,1382.82,1118.55,1716.74,150.2
202,197.61,150.9,252.8,26.35
203,239.2,183.52,309.94,32.45
204.01,251.1,189.38,320.14,34.67
204.02,125.18,94.87,163.4,17.66
205.02,75.62,53.36,102.32,12.22
207,769.73,592.9,969.96,99.51
208,144.11,111.12,183.5,18.62
209,98.35,75.19,124.76,12.95
210,129.19,101.43,159.91,14.61
220,4289.33,3446.88,5325.07,472.01
221.01,390.94,291.97,513.92,57.21
221.03,593.05,475.29,724.63,62.98
221.04,165.78,135.01,198.15,16.19
222.01,736.91,611.35,890.87,70.48
222.02,122.16,77.81,180.15,26.53
223.01,234.31,171.38,321.22,38.12
223.02,394.14,299.67,507.96,54.72
224.02,458.73,382.06,544.45,41.36
225.01,227.1,171.66,287.78,30.13
225.02,190.35,136.22,253.35,30.47
226.02,170.9,124.61,223.85,25.95
226.04,214.53,160.1,279.02,31.07
228.02,834.58,665.37,1033.84,94.85
228.04,112.06,88.91,140.6,12.98
229,57.06,43.95,72.3,7.22
230.01,245.65,183.19,323.49,35.65
230.02,167.56,127.96,212.89,22.68
231,96.16,74.41,122.38,12.25
232,1415.36,1126.26,1744.55,156.93
233,666.72,560.77,782.12,57.91
234,221.75,172.88,281.35,27.94
235.02,130.34,101.24,162.43,16.36
235.03,685.08,565.58,827.93,69.67
236,244.05,179.5,325.04,36.38
237,201.44,158.7,254.21,24.41
238.01,1296.12,1031.51,1606.13,150.89
238.02,134.49,107.38,167.36,15.05
239.02,712.27,561.86,893.82,87.28
240.01,199.51,149.41,258.01,28.37
240.02,273.14,216.24,339.64,30.6
241,64.47,46.97,85.61,9.71
242,379.9,312.7,455.41,37.74
243.01,195.63,148.68,248.76,26.28
243.02,616.67,477.68,797.98,83.82
250.02,571.2,457.46,716.03,68.51
251.01,3701.57,2955.91,4542.55,409.32
260.04,1022.33,807.52,1296.42,122.51
260.05,668.68,511.43,846.25,85.93
260.06,227.9,164.4,308.28,36.06
260.07,234.42,167.16,322.91,41.69
260.08,44.22,23.75,75.07,13.67
281.01,180.54,128.13,247.25,31.08
281.02,184.68,137.27,238.52,26.05
282.01,297.91,227.88,376.02,37.56
282.02,214.24,163.68,283.09,30.41
283,54.27,38.63,73.73,9.06
284.01,150.92,115.04,197.35,20.61
284.02,321.43,255.15,408.15,39.25
285.01,413.63,315.32,538.8,56.82
285.02,122.59,95.69,155.59,15.3
286.02,114.97,92.43,142.4,12.58
287.01,543.08,414.91,706.35,74.36
287.06,207.98,163.13,262.31,25.66
287.09,584.91,429.85,770.09,89.41
287.11,862.08,682.2,1074.2,99.13
290.02,819.54,689.14,968.68,73.7
290.04,194.15,145.38,255.59,27.3
290.05,1438.56,1130.24,1822.35,177.39
291.01,142.75,102.62,196.13,23.36
291.02,202.26,149.44,262.74,29.06
292.01,623.9,486.81,771.64,72.18
292.03,770.43,591.94,974.47,97.96
292.04,338.08,232.69,477.88,62.74
400.04,299.47,234.25,378.85,38.25
400.05,821.7,646.5,1029.79,98.86
400.06,1422.11,1067.79,1860.34,201.83
401.01,159.34,120.09,208.18,23.5
401.02,57.32,42.62,77.33,9.05
402.02,196.77,150.69,254.53,26.64
402.03,110.12,78.63,148.19,17.96
403.01,50,36.73,66.42,7.72
403.04,318.66,240.16,408.62,43.34
403.05,1387.61,1136.57,1701.77,143.93
404.01,433.08,333.78,552.68,56.46
404.02,265.62,208.05,333.15,31.48
410.02,620.39,515.24,745.01,62.14
410.04,1470.64,1113.38,1931.4,210.16
410.05,333.17,247.96,438.78,49.05
410.06,525.95,399.06,697.61,75.82
501.01,179.19,142.3,225.41,21.09
501.02,239.61,188.3,305.23,30.61
501.03,125.14,85.06,179.83,25.27
502.01,385.05,287.26,508.53,56.07
502.02,105.85,78.33,136.95,15.32
502.03,665.98,536.47,814.96,73.13
502.06,222.33,167.22,287.45,30.65
502.07,64.41,49.08,83.56,9.13
503.01,441.58,315.01,599.94,71.14
503.03,138.02,107.7,170.83,16.34
503.07,160.58,122.16,205.52,21.49
503.09,520.38,399.42,669.82,67.02
504.03,1375.86,1103.98,1679.95,148.85
504.05,81.57,57.74,116.14,14.75
504.08,995.04,798.36,1220.76,112.45
504.09,2956.37,2464.81,3521.09,276.71
504.1,401.78,303.04,526.78,57.03
505.01,126.86,94.2,165.02,17.59
506.01,765.77,616.04,970.29,92.7
506.02,145.73,109.04,190.97,20.61
