"CT","mx_mean","mx_lb","mx_ub","mx_se"
1.01,5.54,2.7,10.09,1.87
1.02,6.13,3.02,11.09,2.16
2.01,6.54,2.99,12.24,2.44
2.04,5.94,2.98,10.09,1.96
3.01,6.69,3,13.53,2.59
3.02,6.01,2.72,11.59,2.4
4.01,5.68,2.79,10.48,2.01
5,5.4,2.56,9.9,1.93
6.01,5.35,2.44,10.25,1.97
6.02,5.8,2.7,10.81,2.15
7.01,5.14,2.47,9.29,1.82
7.02,5.44,2.53,9.89,1.99
8.01,5.46,2.23,10.68,2.26
8.02,5.41,2.66,10.01,1.88
9,4.5,2.27,8.15,1.49
10.02,6.16,2.99,11.06,2.07
11,5.69,2.79,10.17,1.97
13.01,5.56,2.37,11.04,2.24
13.03,5.39,2.62,9.99,1.99
13.04,6.1,2.84,11.81,2.32
14.02,6.26,2.59,12.97,2.86
15.01,6.2,2.78,11.43,2.43
15.02,5.42,2.72,9.34,1.75
16.01,5.66,2.69,10.29,2
16.05,6.34,2.98,12.13,2.34
17.01,6.89,3.41,12.56,2.47
17.02,6.32,2.91,11.71,2.29
18.02,6.1,3.13,11.23,2.06
19,6,2.93,10.8,1.99
20,5.27,2.8,8.91,1.61
21,5.28,2.66,9.83,1.82
23,4.9,2.35,9.17,1.77
24,5.15,2.41,9.61,1.87
25,5.08,2.38,9.87,1.89
26,5.16,2.59,9.48,1.79
27.01,5.35,2.52,10.12,1.94
27.02,4.58,2.2,8.28,1.65
28,5.39,2.49,10.2,1.98
29,6.01,2.84,11.26,2.11
30,6.35,3.08,11.3,2.16
31.01,6.07,2.88,11.6,2.16
31.02,5.94,2.71,11.46,2.29
32,7.05,3.27,13.17,2.59
33.01,6.14,3.01,11.78,2.32
33.02,7.61,3.56,14.05,2.77
34.02,6.04,2.91,11.51,2.18
35.01,5.66,2.55,10.39,2.11
35.02,5.49,2.69,10.29,1.97
36.01,5.61,2.71,10.34,1.95
36.02,6.46,2.74,12.52,2.67
37.01,5.94,2.78,11.15,2.13
37.02,5.84,2.77,11.44,2.12
38,6.51,3.1,12.3,2.3
39.01,6.12,2.87,11.3,2.25
39.02,6.67,3.21,12.63,2.45
40.01,5.04,2.3,9.6,1.94
40.02,4.92,2.19,9.1,1.8
41.01,4.95,2.34,9.66,1.82
41.02,4.95,2.3,9.3,1.72
42,4.86,2.26,8.92,1.73
43.02,4.83,2.15,8.96,1.86
44,5.2,2.36,10.15,2.02
45.01,6.26,2.68,12.92,2.74
45.02,5.17,2.39,9.44,1.89
46,4.96,2.39,9.35,1.81
47.01,5.79,2.71,11.08,2.27
48,4.85,2.37,9.25,1.74
49.01,6.13,3.06,10.81,1.99
49.02,6.08,2.51,12.7,2.79
50.02,6.6,3.32,11.6,2.25
50.03,6.63,3.31,11.64,2.3
50.04,6.2,2.79,12.17,2.46
51.01,5.87,2.92,10.81,2.13
51.02,5.71,2.69,10.84,2.13
52.01,5.39,2.76,9.74,1.81
52.02,6.1,2.99,11.28,2.14
53.01,6.04,2.61,11.64,2.37
53.02,6.33,2.73,12.26,2.61
54.01,7.05,3.69,12.79,2.28
54.02,7.25,3.56,13.7,2.63
55.01,6.65,2.85,12.77,2.65
55.02,7.48,3.12,15.53,3.35
56.02,7.35,3.35,14.44,2.82
57.02,7.43,3.75,13.3,2.48
59.06,9.35,4.27,18.7,3.73
59.07,7.01,3.01,14.46,2.88
59.09,6.65,2.93,12.85,2.63
59.1,7.2,3.2,13.89,2.83
59.11,8.08,3.89,15.56,3.01
60.02,5.63,2.43,11.41,2.33
61,5.55,2.25,11.34,2.47
62,5.13,2.33,9.63,2.01
64,6.11,3.19,11.2,2
65,7.51,3.64,14.6,2.85
67.01,11.01,5.23,21.05,4.17
68,6.12,2.85,10.97,2.16
69.02,5.4,2.67,9.68,1.79
100.01,6.65,2.43,14.75,3.23
100.02,7.58,2.64,16.5,3.59
101.03,6.16,2.11,14.94,3.29
101.04,5.9,2.09,13.22,3.05
101.06,6.74,2.51,14.74,3.45
103,6.48,2.71,13.16,2.73
104,5.95,2.37,12.72,2.7
110.02,5.88,1.75,14.33,3.48
110.03,6.95,2.29,16.22,3.81
110.04,6.05,2.04,15,3.6
