"CT","mx_mean","mx_lb","mx_ub","mx_se"
1.01,49.49,35.51,66.84,8.14
1.02,59.04,42.08,81.8,10.36
2.01,54.7,36.17,79.53,11.07
2.04,57.76,42.68,78.42,8.8
3.01,60.07,39.66,86.12,12.01
3.02,67.59,46.39,95.51,13.06
4.01,77.53,55.3,103.42,12.32
5,55.14,38.43,78.41,10.3
6.01,43.42,30.33,61.61,8.22
6.02,78.62,56.04,111.94,14.53
7.01,39.66,27.19,57.22,7.77
7.02,52.39,36.3,76.17,10.37
8.01,47.82,30.64,71.01,10.68
8.02,63.76,42.36,90.68,11.86
9,35.73,26.2,48.47,5.8
10.02,45.15,32.01,62.43,7.94
11,42.25,29.89,58.95,7.56
13.01,53.35,36.55,76.12,10.03
13.03,49.64,33.48,72.09,9.96
13.04,52.67,35.29,79.04,11.05
14.02,48.36,31.21,71.97,10.37
15.01,46.74,31.95,66.74,9.09
15.02,45.14,31.85,62.99,7.92
16.01,54.9,38.25,77.19,10.14
16.05,53.36,35.77,76.75,10.51
17.01,57.26,39.42,81.69,11.01
17.02,56.06,38.37,77.33,10.44
18.02,52.2,37.64,70.7,8.36
19,54.67,39.01,75.88,9.89
20,58.44,43.94,78.72,8.77
21,43.3,28.62,63.03,8.66
23,46.43,33.14,64.68,8.09
24,40.13,27.37,57.53,7.73
25,38.03,25.84,53.27,7.27
26,33.93,23.76,47.39,6.09
27.01,37.23,25.98,51.41,6.64
27.02,48.09,35.18,65.62,7.81
28,50,34.56,70.71,9.5
29,84.21,60.54,115.94,13.63
30,52.68,35.75,74.72,9.63
31.01,49.14,34.31,69.57,9.18
31.02,55.97,39.41,79.96,10.56
32,57.72,40.93,79.21,10.16
33.01,56.19,38.79,80.87,10.48
33.02,58.24,40.39,80.09,10.44
34.02,66.16,46.7,92.16,11.59
35.01,56.09,38.61,80.37,10.39
35.02,56.81,41.34,77.53,9.41
36.01,56.61,39.18,80.25,10.37
36.02,60.81,40.86,88.23,12.63
37.01,55.36,38.75,79.18,10.37
37.02,68.86,45.26,101.07,14.27
38,75.97,53.85,105.21,12.92
39.01,60.66,42.13,85.92,11.22
39.02,70.81,50.02,97.13,12.16
40.01,40.77,25.68,59.75,9.15
