"CT","mx_mean","mx_ub","mx_lb","mx_se"
1.01,9.98,17.98,4.91,3.4
1.02,12.05,24.19,5.09,5.06
2.01,14.43,28.46,6.18,5.85
2.04,9.33,17.72,4.15,3.53
3.01,6.91,16.27,2.26,3.75
3.02,8.08,17.95,2.88,3.91
4.01,10.23,19.5,4.64,3.9
5,10.88,22.45,4.5,4.8
6.01,11.62,24.43,4.6,5.24
6.02,7.92,17.28,2.94,3.86
7.01,13.29,25.85,5.47,5.35
7.02,7.92,17.23,3,3.75
8.01,15.46,36.25,5.01,8.25
8.02,16.89,33.65,7.24,6.93
9,9.3,17.43,4.27,3.46
10.02,11.12,22.44,4.8,4.59
11,14.16,26.42,6.32,5.3
13.01,8.73,17.91,3.67,3.67
13.03,6.08,13.51,2.17,3.09
13.04,9,21.14,3.11,4.81
14.02,6.5,13.8,2.47,3
15.01,11.26,23.49,4.3,5.01
15.02,5.11,10.32,2.03,2.27
16.01,10.69,23.17,4.2,4.9
16.05,8.34,17.81,3.16,3.84
17.01,6.8,14.81,2.7,3.1
17.02,11.89,24.3,5.02,5.04
18.02,9.69,18.51,4.61,3.63
19,8.42,16.56,3.46,3.39
20,8.38,14.83,4.22,2.71
21,9.73,20.55,3.88,4.29
23,12.25,25.11,5.16,5.15
24,11.71,24.62,4.79,5.11
25,9,17.78,4.05,3.62
26,11,21.35,4.74,4.33
27.01,9.42,18.92,3.88,3.9
27.02,5.61,11.08,2.29,2.26
28,9.61,21.47,3.45,4.78
29,9.33,19.58,3.86,4
30,11.07,21.85,4.83,4.43
31.01,11,23.65,4.37,4.92
31.02,7.73,17.64,2.78,3.84
32,9.89,19.35,4.16,4.15
33.01,11.54,24.07,4.64,5
33.02,8.55,17.43,3.53,3.6
34.02,13.36,26.85,5.77,5.45
35.01,7.03,16.5,2.53,3.6
35.02,6.84,14.77,2.74,3.06
36.01,11.74,22.97,5.22,4.58
36.02,6.23,14.72,2.07,3.27
37.01,11.53,24.81,4.31,5.27
37.02,9.03,21.01,3.06,4.78
38,9.06,19.47,3.5,4.12
39.01,7.58,16.5,2.77,3.72
39.02,10.76,20.74,4.71,4.33
40.01,9.17,20.26,3.26,4.46
40.02,13.1,25.75,5.58,5.24
41.01,13.8,27.88,5.93,5.69
41.02,10.65,20.96,4.52,4.28
