"CT","mx_mean","mx_ub","mx_lb","mx_se"
1.01,12.74,23.83,5.95,4.63
1.02,9.96,21.78,3.68,4.84
2.01,11.66,25.42,4.28,5.52
2.04,6.64,13.88,2.58,2.95
3.01,7.7,19.65,2.13,4.76
3.02,6.91,16.49,2.14,3.75
4.01,9.23,18.93,3.8,3.94
5,12.13,26.73,4.54,5.92
6.01,9.59,22.45,3.16,5.17
6.02,7.64,17.8,2.56,4.16
7.01,10.4,22.52,3.69,4.97
7.02,10.47,24.29,3.58,5.46
8.01,6.67,19.73,1.42,5
8.02,15.15,33.05,5.57,7.35
9,12.21,23.83,5.34,4.77
10.02,8.47,19.11,3.15,4.16
11,11.92,24.24,4.73,5.16
13.01,11.32,24.15,4.44,5.07
13.03,15.45,32.82,5.79,7.31
13.04,6.36,17.48,1.7,4.26
14.02,15.62,32.47,6.26,6.9
15.01,14.95,32.31,5.39,7.1
15.02,11.2,22.01,4.82,4.56
16.01,12.06,28.08,4.22,6.2
16.05,8.54,20.01,2.77,4.6
17.01,13.38,28.36,5.5,5.95
17.02,15.54,33.02,6.05,7.16
18.02,6.99,14.87,2.83,3.16
19,8.39,17.5,3.15,3.74
20,12.02,21.92,5.85,4.15
21,9.1,21.11,3.18,4.73
23,11.81,25.54,4.54,5.54
24,10.7,24.48,3.83,5.45
25,8.58,18.04,3.51,3.84
26,9.51,20.06,3.64,4.29
27.01,10.96,22.36,4.3,4.77
27.02,7.03,14.23,2.83,2.94
28,7.64,19.26,2.21,4.56
29,15.75,32.67,6.47,6.77
30,14,29.13,5.59,6.15
31.01,8.74,21,2.9,4.74
31.02,14.05,32.52,4.85,7.33
32,8.08,17.91,2.85,4.08
33.01,12.43,28.11,4.46,6.11
33.02,8.1,17.73,2.93,3.91
34.02,9.33,20.94,3.38,4.58
35.01,14.83,32.59,5.46,7.23
35.02,9.69,21.55,3.73,4.55
36.01,15.73,31.93,6.54,6.67
36.02,15.48,34.47,5.47,7.52
37.01,10.57,25.36,3.38,5.64
37.02,7.31,19.71,1.92,4.79
38,8.26,19.03,2.85,4.27
39.01,13.23,29.24,4.71,6.63
39.02,11.94,23.78,5.02,5.1
40.01,6.51,16.53,1.84,3.9
40.02,7.17,16.16,2.45,3.59
41.01,9.76,21.83,3.63,4.75
41.02,9.88,21.16,3.69,4.55
42,9.86,22.32,3.51,4.96
43.02,5.24,13.42,1.45,3.1
44,9.69,20.9,3.77,4.52
45.01,6.99,17.6,1.98,4.15
45.02,10.76,25.9,3.47,5.97
46,9.9,22.7,3.32,5.1
47.01,7.65,16.51,2.72,3.59
48,9.86,21.51,3.73,4.75
49.01,21.43,45.45,8.25,9.83
49.02,8.75,19.35,3.27,4.19
50.02,12.74,27.97,4.85,6.08
50.03,19.66,43.45,6.99,9.61
50.04,7.79,22.17,1.99,5.52
51.01,8.57,20.28,2.55,4.88
51.02,8.26,18.73,2.79,4.16
52.01,9.98,21.13,3.83,4.66
52.02,13.66,28.28,5.67,6.03
53.01,13.63,28.58,5.27,6.11
53.02,8.4,22.56,2.39,5.31
54.01,6.92,13.8,3.06,2.86
54.02,12.69,28.35,4.59,6.16
55.01,9.28,22.1,3.02,5.27
55.02,9.62,23.56,2.89,5.45
56.02,9.49,23.75,2.83,5.45
57.02,4.53,10.47,1.56,2.33
59.06,17.8,39.32,6.57,8.49
59.07,8.56,20.34,2.69,4.68
59.09,12.56,32.11,3.43,7.85
59.1,9.41,26.82,2.28,6.59
59.11,10.34,23.28,3.84,5.12
60.02,12.15,29.34,4.02,6.67
61,11.1,25.63,3.56,5.96
62,7.93,17.82,2.85,3.91
64,12.62,25.72,5.26,5.3
65,15.27,30.5,6.64,6.23
67.01,9,22.89,2.75,5.34
68,10.69,23.21,3.91,5.09
69.02,5.56,12.43,2.01,2.72
100.01,8.68,19.31,3.15,4.15
100.02,14.21,31.11,5.15,6.73
101.03,14.28,31.73,5.47,7.06
101.04,15.6,34.22,6.08,7.24
101.06,7.81,17.79,2.76,4.03
103,9.62,19.71,3.95,4.16
104,11.85,25.77,4.56,5.65
110.02,5.04,16.12,0.93,4.37
110.03,14.24,35.34,4.04,8.57
110.04,9.87,25.75,2.59,6.16
111.02,15.18,32.45,6.05,6.94
111.05,11.56,27.21,4.07,6.04
111.07,10.3,26,3.03,6.36
112,13.56,31.21,4.58,7.27
113,11.93,24.54,4.89,5.05
114.01,6.86,21.58,1.5,5.3
114.02,19.32,43.16,6.71,9.61
115,13.62,29,5.35,6.18
116,7.81,18.81,2.46,4.33
117,13.26,29.09,5.3,6.27
118,8.21,17.53,3.31,3.7
120,6.9,17.99,2.07,4.4
121,18.25,40.5,6.6,8.93
122,5.32,13.72,1.49,3.29
130.03,11.71,22.45,5.25,4.43
131,13.77,24.46,7.16,4.48
132,12.29,27.77,4.1,6.38
133.01,5.6,15.75,1.27,3.81
133.02,8.08,19.38,2.69,4.32
134,10.34,21.63,4.06,4.76
135,16.59,34.32,6.52,7.27
140.02,15.73,32.39,6.43,6.89
140.03,7.15,16.79,2.24,3.94
140.04,10,26.24,2.72,6.37
141.01,12.85,26.07,5.46,5.36
142.01,16.15,35.72,6.02,7.79
142.02,7.99,19.49,2.46,4.42
142.03,14.66,29.47,6.11,6.16
143.01,13.32,29.47,4.84,6.54
143.02,13.21,25.69,5.96,5.23
143.03,19.48,41.02,7.87,8.62
144.04,11.65,25.64,4.17,5.71
144.06,7.59,16.49,2.84,3.57
145.01,9.74,21.32,3.72,4.54
145.02,19.17,43.72,6.69,9.64
146,14.52,31.58,5.74,6.77
147.01,14.94,30.6,6.38,6.28
147.09,9.66,20.2,3.88,4.21
148,13.41,26.53,6.01,5.21
149.02,11.76,28.18,3.85,6.44
149.05,16.85,42.16,5.2,10.07
149.08,9.19,20.14,3.56,4.39
149.09,10.03,25.38,2.81,6.24
150,15.19,41.56,3.62,10.5
151.03,25.28,58.45,8.71,13.2
151.05,19.36,39.73,7.89,8.43
151.07,5.59,11.94,2.16,2.59
151.08,9.57,21.9,3.24,5.01
160.01,23.19,51.6,8.28,11.32
160.02,9.56,20.48,3.64,4.38
160.03,7.91,16.98,2.95,3.7
160.04,9.92,23.19,3.42,5.24
161.02,13.48,29.4,5.19,6.35
161.03,9.02,20.25,3.24,4.44
161.05,16.45,35.71,6.03,7.86
161.06,4.44,11.44,1.21,2.7
161.08,10.39,29.11,2.3,9.27
161.09,8.42,19.17,2.95,4.29
162.01,12.59,28.29,4.5,6.46
162.02,10.26,25,3.28,5.74
162.03,12.74,27.77,4.63,6.02
162.04,7.18,17.8,2.11,4.18
163.01,16.63,41.83,5.13,9.3
163.04,14.84,33,5.3,7.28
163.05,7.67,18.52,2.38,4.23
163.06,12.33,31.29,3.88,7.13
163.07,8.09,19.58,2.42,4.59
163.08,72.48,147.38,30.17,30.44
170.03,10.81,21.35,4.59,4.48
170.04,5.26,11.26,2.04,2.43
170.05,18.83,37.73,8.32,7.67
170.07,4.27,9.15,1.6,1.95
180.01,18.14,41.26,6.23,9.27
180.04,14.05,28.63,5.75,6.13
181.03,24.17,47.4,10.34,9.8
181.05,3.67,7.99,1.4,1.73
181.07,9.53,23.66,2.98,5.34
181.08,25.86,55.78,9.89,11.88
181.09,10.17,21.61,4.15,4.49
181.11,4.84,12.23,1.38,2.9
181.12,41.31,82.75,16.69,17.67
181.13,4.37,9.34,1.66,2.08
181.14,4.05,11.15,1,2.76
181.16,2.74,6.92,0.8,1.61
182.01,16.89,36.26,6.32,8.07
182.04,12.79,27.51,4.79,6.09
182.05,14.59,33.84,4.87,7.67
183.01,17.44,39.68,6.17,8.71
183.03,5.77,13.33,1.89,2.97
183.05,13.21,29.43,4.91,6.55
183.06,11.67,24.26,4.58,5.19
183.07,12.15,27.6,4.21,6.17
184.02,6.25,14.18,2.18,3.18
184.06,25.35,55.38,9.31,12.19
184.07,7.97,17.86,2.79,3.99
184.08,8.07,20.64,2.24,5.03
184.09,14.38,35.41,4.22,8.34
184.1,23.88,53.15,8.2,11.88
184.11,8.96,22.62,2.56,5.42
184.12,14.74,39.75,4.25,9.27
184.13,10.87,27.45,3.2,6.53
184.14,16.02,41.15,4.87,10.13
184.15,16.19,40.4,4.93,9.35
184.16,9.51,23.5,2.74,5.53
185.05,12.24,29.43,4.08,6.74
185.07,7.63,17.78,2.35,4.2
185.08,22.89,57.91,6.56,13.83
185.09,10.91,26.13,3.65,5.93
185.1,6.94,18,1.81,4.22
185.11,11.31,26.05,3.89,5.97
185.12,15.67,33.9,5.55,7.54
185.15,6.49,17.51,1.76,4.07
185.16,18.21,41,6.19,9.36
185.17,10.34,25.9,3.18,6.1
185.18,9.19,23.75,2.56,5.57
185.19,9.95,27.34,2.69,6.37
185.2,49.27,104.58,18.95,22.96
185.21,10.07,22.35,3.55,4.86
186.01,23.62,51.33,9.07,10.9
186.02,9.21,21.17,3.15,4.75
186.05,7.92,18.22,2.64,4.17
186.06,8.31,21.27,2.3,5.12
186.07,9.95,24.36,3.16,5.79
186.08,10.75,27.59,3.28,6.42
187.03,23.76,48.7,9.39,10.19
187.04,8.53,18.3,3.35,3.92
187.06,8.32,19.16,2.8,4.35
187.11,19.92,48.89,6.02,11.24
187.12,8.91,21.66,2.76,5.01
187.13,12.37,30.08,4.06,6.86
187.14,11.31,27.5,3.21,6.62
187.15,7.24,17.6,2.3,4.1
188.01,11.13,27.86,3.41,6.36
188.04,8.44,19.72,2.71,4.53
188.05,10.7,28.02,2.7,7.37
188.07,13.03,35.52,3.53,8.51
188.08,10.5,29.71,2.43,7.58
189.03,39.12,83.23,15.73,17.52
189.05,5.16,11.45,1.81,2.55
189.06,13.44,31.56,4.41,7.04
189.08,12.54,28.84,4.06,6.49
189.09,18.35,43.13,6.16,9.74
189.1,71.76,142.16,31.78,28.35
190.03,4.25,8.82,1.7,1.91
190.04,7.03,17.2,2.16,4.07
190.05,21.16,55.2,5.61,12.94
191.03,24.66,52.62,10.19,10.94
191.04,10.52,23.57,3.78,5.3
191.05,11.85,28.95,3.72,6.72
192,7.18,18.55,2.03,4.38
200,7.36,19.72,1.94,4.82
201,15.06,38.31,4.44,9.1
202,5.53,12.72,1.88,2.91
203,8.29,20.69,2.49,4.99
204.01,19.06,43.64,6.85,9.43
204.02,45.34,85.35,21.67,16.58
205.02,4.77,10.86,1.61,2.52
207,32.46,75.68,11.15,17.22
208,19.67,38.3,8.71,7.72
209,13.79,26.75,5.88,5.51
210,3.12,7.17,0.98,1.59
220,13.99,40.12,3.57,9.72
221.01,25.36,56.65,8.83,12.48
221.03,42.15,82.92,18.66,16.65
221.04,4.61,9.87,1.79,2.14
222.01,6.17,15.67,1.87,3.7
222.02,18.52,42.71,6.53,9.62
