"CT","mx_mean","mx_ub","mx_lb","mx_se"
1.01,14.11,26.51,6.45,5.25
1.02,11.91,26.3,4.16,5.91
2.01,16.07,34.99,6.06,7.69
2.04,15.84,30.1,7.35,5.9
3.01,8.59,21.42,2.5,5.09
3.02,14.34,31.23,5.28,6.87
4.01,15.79,30.68,7.38,6.01
5,15.98,34.23,6.3,7.22
6.01,10.48,23.73,3.57,5.28
6.02,10.78,23.41,3.96,5.12
7.01,16.26,34.27,6.61,7.19
7.02,12.11,27.7,4.33,6.28
8.01,15.64,39.65,4.54,9.46
8.02,12.28,25.49,4.9,5.47
9,18.14,35.59,8.06,7.26
10.02,9.3,20.06,3.48,4.37
11,13.16,27.05,5.46,5.64
13.01,14.99,31.06,6.14,6.6
13.03,12.15,27.21,4.29,5.96
13.04,11.61,27.61,3.72,6.41
14.02,9.97,22.08,3.84,4.88
15.01,16.02,33.42,6.33,7.13
15.02,7.82,16.68,2.84,3.59
16.01,12.26,27.12,4.59,5.86
16.05,13.04,28.17,4.92,6.11
17.01,13.72,28.16,5.62,5.93
17.02,15.04,31.48,6.07,6.65
18.02,8.32,16.47,3.61,3.32
19,9.85,21.75,3.81,4.74
20,11.07,20.13,5.38,3.89
21,19.99,41.13,8.06,8.73
23,8.76,20.75,2.99,4.62
24,10.56,23.1,3.9,4.98
25,10.15,21.54,3.97,4.66
26,13.69,29.37,5.27,6.36
27.01,11.4,24.64,4.3,5.22
27.02,6.55,14.35,2.46,3.11
28,14.13,31.43,5.24,6.92
29,11.78,25.24,4.75,5.41
30,11.01,23.5,4.19,5.14
31.01,13.39,29.6,4.96,6.42
31.02,11.96,26.83,4.28,5.99
32,11.56,25.03,4.43,5.38
33.01,18.27,39.69,7.26,8.67
33.02,18.62,37.17,8.07,7.51
34.02,6.24,13.96,2.21,3.09
35.01,16.57,34.8,6.47,7.44
35.02,13.65,28.03,5.68,5.73
36.01,11.17,24.21,4.39,5.16
36.02,16.18,35.39,6.12,7.72
37.01,17.76,37.91,6.65,8.14
37.02,12.58,29.51,4.03,6.85
38,10.09,22.71,3.44,5.1
39.01,10,23.3,3.25,5.22
39.02,21.29,43.4,9.07,8.93
40.01,8.31,22.01,1.99,5.48
40.02,25.61,52.7,10.63,11.1
41.01,10.85,25.17,3.61,5.64
41.02,22.65,46.16,9.63,9.61
42,9.18,21.09,3.11,4.83
43.02,15.23,33.37,5.55,7.45
44,11.54,24.78,4.37,5.34
45.01,19.45,41.62,7.36,9.14
45.02,10.68,25.14,3.48,5.69
46,9.68,24.09,2.97,5.64
47.01,11.9,26.63,4.57,5.73
48,13.01,28.16,4.79,6.15
49.01,11.55,27.11,4.11,5.99
49.02,17.54,37.26,6.99,7.94
50.02,11.96,25.49,4.58,5.45
50.03,12.32,28.23,4.43,6.15
50.04,13.17,30.99,4.2,7.25
51.01,15.13,33.6,5.39,7.6
51.02,19.7,40.72,8.01,8.48
52.01,12.54,25.91,5.08,5.47
52.02,11.8,25.11,4.65,5.32
53.01,16.28,33.07,6.69,6.94
53.02,14.98,33.76,5.06,7.98
54.01,18.02,31.57,9.39,5.81
54.02,20.18,41.34,8.5,8.65
55.01,10.13,23.31,3.54,5.32
55.02,10.85,26.44,3.54,6.05
56.02,17.44,39.73,6.02,9.08
57.02,22.06,41.95,10.18,8.37
59.06,15.3,30.86,6.48,6.36
59.07,9.19,20.84,3.26,4.53
59.09,18.13,41.11,6.33,9.13
59.1,11.53,27.61,3.57,6.4
59.11,9.69,20.6,3.76,4.42
60.02,12.2,27.13,4.25,6.06
61,11.98,28.97,3.64,6.69
62,15.51,31.73,6.26,6.67
64,15.42,30.18,6.75,6.06
65,13.86,27.47,6.08,5.53
67.01,15.49,33.97,5.83,7.42
68,11.28,24.72,4.03,5.41
69.02,5.5,11.9,2.05,2.61
100.01,9.07,20.91,3.06,4.69
100.02,12.96,27.65,4.85,5.99
101.03,6.42,16.57,1.86,4.1
101.04,19.87,42.58,7.66,9.19
101.06,11.07,24.54,4.23,5.34
103,11.89,24.71,4.72,5.23
104,12.65,26.48,5.13,5.68
110.02,16.65,40.32,5.15,9.55
110.03,10.54,27.19,2.86,6.68
110.04,11.36,27.86,3.37,6.53
111.02,9.54,21.07,3.57,4.65
111.05,13.06,29.9,4.62,6.56
111.07,14.59,34.61,4.85,7.95
