"CT","mx_mean","mx_ub","mx_lb","mx_se"
1.01,49.59,95.82,21.88,19.28
1.02,39.68,86.37,14.56,18.69
2.01,23.13,58.89,6.94,14.01
2.04,39.47,76.68,17.55,15.36
3.01,25.71,65.62,7.2,15.65
3.02,41.32,91.54,14.77,20.47
4.01,40.84,83.17,18.2,16.88
5,46.62,101.94,17.53,22.29
6.01,25.39,61.15,7.91,13.93
6.02,32.29,70.05,12.15,15.25
7.01,34.83,76.36,12.82,17.28
7.02,47.44,107.15,17.48,23.8
8.01,273.35,546.26,114.23,116.94
8.02,75.95,153.56,32.56,31.8
9,49.98,99.73,22.12,20.03
10.02,24.13,52.12,9.18,11.39
11,27.41,60.85,10.64,12.94
13.01,25.68,57.35,9.35,13.07
13.03,18.1,48.38,4.89,11.13
13.04,35.28,85.55,10.72,19.64
14.02,30.17,68.13,11.01,15.08
15.01,48.84,101.9,18.47,22.38
15.02,13.91,30.69,4.66,6.87
16.01,37.53,85.24,14.04,18.42
16.05,31.01,72.24,10.57,16.18
17.01,24.92,56.76,8.85,12.67
17.02,82.05,162.84,35.32,33.23
18.02,19.68,41.78,7.67,8.78
19,140.87,251.8,70.22,46.85
20,8.25,17.71,3.18,3.87
21,83.4,169.89,35.08,35.32
23,21.83,53.68,7.08,12
24,51.69,105.02,21.12,21.8
25,18.85,44.02,6.56,9.85
26,34.52,76.38,12.34,17.34
27.01,32.04,67.5,12.35,14.2
27.02,18.62,39.82,7.08,8.64
28,167.26,314.3,79.02,60.53
29,25.63,56.81,9.87,12.35
30,23.68,54.78,8.27,12.2
31.01,36.62,82.45,13.31,18.35
31.02,41.82,96.6,14.32,21.48
32,22.28,52.87,7.6,11.89
33.01,68.96,149.14,27.52,32.81
33.02,23.41,53.85,7.85,12.11
34.02,26.22,57.21,9.64,12.62
35.01,40.13,87.26,15.27,18.89
35.02,43.07,90.28,17.29,18.9
36.01,33.94,73.4,12.86,15.77
36.02,17.37,47.19,4.65,11.44
37.01,43.25,101.59,14.18,22.36
37.02,68.19,160.99,23.55,35.02
38,30.42,68.65,10.19,15.6
39.01,167.88,319.9,76.87,63.12
39.02,15.63,38.07,4.81,8.97
40.01,62.97,142.94,21.61,32.13
40.02,62.81,132.67,25.09,28.76
41.01,57.64,123.09,22.36,26.56
41.02,48.28,106.48,18.03,23.34
42,25.52,58.79,8.26,13.9
43.02,62.13,137.86,23.08,29.87
44,14.07,35.25,4.17,8.25
45.01,29.18,71.13,9,16.47
45.02,45.54,100.69,16.12,22.38
46,99.22,206.01,38.59,46.39
47.01,34.06,77.12,12.88,16.67
48,33.57,77.27,10.92,17.34
49.01,130.52,275.89,51.7,58.91
49.02,40.22,93.1,13.74,20.65
50.02,20.64,47.53,6.88,10.9
50.03,28.68,71.25,8.74,16.4
50.04,93.97,205.64,35.41,44.78
51.01,37.6,88.26,12.91,20
51.02,32.53,73.57,11.41,16.49
52.01,48.24,97.9,19.77,21.02
52.02,71.52,145.29,30.11,29.91
53.01,16.74,41.16,4.97,9.86
53.02,209.71,392.52,96.5,78.76
54.01,9.4,20.53,3.53,4.51
54.02,23.87,55.95,8.14,13.18
55.01,16.7,42.71,4.78,10.47
55.02,40.59,97.31,13.73,22.39
56.02,68.14,149,25.32,32.45
57.02,38.71,77.96,16.36,16.26
59.06,20.5,46.13,7.01,10.56
59.07,26.23,64.18,7.93,14.9
59.09,39.21,94.45,12.13,21.83
59.1,80.77,185.39,27.73,41.29
59.11,30.57,71.37,10.79,15.65
60.02,51,111.09,18.55,24.53
61,45.59,102.44,16.72,22.47
62,48.25,97.25,20.06,20.23
64,70.02,132.43,32.41,25.79
65,18.38,41.7,6.59,9.24
67.01,52.26,111.33,20.18,24.17
68,41.28,86.34,15.84,18.41
69.02,40.58,82.16,16.58,16.66
100.01,43.54,94.04,16.67,20.3
100.02,27.65,63.27,9.07,14.34
101.03,50.71,112.21,18.75,25.13
101.04,106.22,222.21,43.13,45.78
101.06,34.67,78.86,12.94,17.12
103,44.62,90.39,18.31,19.06
104,27.42,63.82,9.5,14.53
