"CT","mx_mean","mx_lb","mx_ub","mx_se"
1.01,42.98,32.19,56.31,6.13
1.02,45.54,32.81,62.46,7.43
2.01,42.75,29.5,60.88,7.97
2.04,48.26,36.22,62.64,6.61
3.01,39,26.53,55.35,7.33
3.02,56.62,39.94,78.42,9.98
4.01,58.94,44.38,75.72,8.07
5,48.69,34.96,66.32,8.16
6.01,39.16,27.55,54.65,6.79
6.02,57.34,42.53,78.49,9.27
7.01,37.68,26.32,53.45,6.86
7.02,40.58,28.67,56.31,7.41
8.01,38.91,24.85,59.36,8.65
8.02,58.7,39.26,81.71,10.29
9,31.5,23.7,41.58,4.64
10.02,37.36,26.57,51.71,6.32
11,34.95,25.21,47.65,5.73
13.01,38.61,26.45,53.65,7.13
13.03,41.36,28.5,58.26,7.78
13.04,41.06,27.15,58.56,8.23
14.02,37.76,25.53,53.81,7.42
15.01,37.01,25.61,51.62,6.85
15.02,44.06,32.86,58.57,6.54
16.01,45.82,32.15,62.85,8.03
16.05,37.03,25.3,51.63,6.71
17.01,38.61,27.53,52.82,6.54
17.02,41.67,29.14,57.59,7.38
18.02,47.67,35.2,63.08,7.12
19,49.33,36.81,66.32,7.7
20,41.15,31.99,53.66,5.55
21,37.58,25.78,52.77,6.82
23,45.85,33.82,61.58,7.21
24,41.57,29.94,56.33,7.13
25,41.72,29.9,56.65,6.8
26,40.14,29.17,53.44,6.44
27.01,34.65,24.58,46.75,5.67
27.02,40.63,30.9,52.81,5.66
28,49.65,34.08,68.05,8.63
29,114.92,85.21,152.24,16.95
30,50.29,35.08,67.43,8.15
31.01,52.43,37.63,73.62,9.27
31.02,48.71,34.21,68.31,8.42
32,50.69,36.07,69.78,8.58
33.01,53.62,36.98,76.09,9.89
33.02,44.98,31.73,61.47,7.53
34.02,49.92,37.16,67.4,8.16
35.01,50.4,35.74,69.3,8.57
35.02,43.43,32.67,57.24,6.42
36.01,54.65,39.92,73.55,8.69
36.02,43.49,29.94,61.28,8.29
37.01,73.17,53.17,100.23,11.99
37.02,60.95,42.24,84.53,11.02
38,82.61,60.79,111.16,12.52
39.01,48.08,34.22,66.69,8.12
39.02,81.91,59.81,106.18,12.23
40.01,39.63,25.48,58.07,8.5
40.02,42.37,30.22,58.53,7.1
41.01,43.76,30.44,60.21,7.75
41.02,44.66,32.03,60.31,7.24
42,46.43,33.52,64.26,7.77
43.02,40.6,27.78,55.97,7.26
44,38.23,27.13,52.61,6.44
45.01,40.76,27.27,59.33,8.21
45.02,40.88,29.16,56.74,7.11
46,43,30.39,58.68,7.37
47.01,53.49,38.87,73.78,8.81
48,46.42,31.77,66.35,8.53
49.01,45.77,31.97,63.85,8.06
49.02,47.27,32.5,65.51,8.9
50.02,61.84,46.44,82.25,9.19
50.03,83,58.07,114.97,14.52
50.04,58.59,38.97,86.05,11.84
51.01,37.97,26.53,53.96,6.96
51.02,41.75,29.54,56.88,7.19
52.01,41.98,30.83,55.68,6.5
52.02,46.44,33.09,63.59,8.05
53.01,40.05,27.44,56.22,7.5
53.02,45.8,29.9,67.66,9.92
54.01,75.48,58.38,95.35,9.63
54.02,42.1,29.62,60.3,7.6
55.01,57.01,40.04,79.98,10.18
55.02,55.29,37.29,80.86,11.09
56.02,78.19,55,108.21,13.61
57.02,56.17,42.4,74.43,7.99
59.06,194.18,139.59,253.88,29.59
59.07,59.69,40.49,84.77,11.3
59.09,62.97,41.38,92.91,13.2
59.1,116.22,78.78,167.61,22.71
59.11,117.37,80.25,165.01,21.89
60.02,49.8,33.8,70.13,9.47
61,35.4,23.59,51.28,7.52
62,33.85,23.77,46.3,5.74
64,50.51,36.74,67.22,7.71
65,64.87,48.92,83.9,9.14
67.01,68.19,47.54,92.9,11.65
68,37.98,27,52.37,6.42
69.02,45.51,34.03,59.94,6.64
100.01,80.6,59.95,107.82,12.19
100.02,63.21,45.02,86.81,10.93
101.03,45.86,32.04,62.34,7.82
101.04,48.64,33.8,67.77,8.53
101.06,60.39,43.74,81.23,9.76
103,43.4,31.85,58.06,6.51
104,46.24,32.92,63.18,7.7
110.02,49.2,30.22,76.06,12.28
110.03,46.51,28.83,69.83,10.52
110.04,46.75,28.53,70.1,10.37
111.02,47.97,33.26,67.19,8.51
111.05,64.08,43.34,90.85,12.4
111.07,52.87,36.55,74.07,9.69
112,63,42.22,90.3,13.01
113,49.7,37.15,65.42,7.32
114.01,48.09,29.49,74.64,11.26
114.02,70.87,49.26,99.85,13.2
115,52.47,37.69,71.87,8.65
116,39.04,27.04,54.9,7.33
117,35.35,24.7,49.96,6.19
118,39.96,29.85,53.24,5.99
120,36.23,24.92,51.7,6.86
121,36.77,24.63,53.68,7.48
122,37.98,25.28,54.66,7.44
130.03,37.71,27.71,49.9,5.57
131,37.93,29.18,47.61,4.7
132,32.23,21.27,48.46,6.98
133.01,46.31,28.79,68.93,10.43
133.02,30.92,19.75,44.79,6.27
134,34.61,24.51,48.38,6.31
135,31.44,21.2,43.6,5.81
140.02,54.05,38.52,72.43,8.61
140.03,52.46,36.19,74.18,9.82
140.04,49.43,31.01,78.21,12.03
141.01,62.36,45.8,82.74,9.71
142.01,49.15,34.69,68.17,9.06
142.02,45.69,31.48,68.41,9.44
142.03,51.36,35.76,72.05,9.05
143.01,38.55,26.12,55.78,7.56
143.02,51.35,38.37,66.37,7.45
143.03,42.35,29.01,60.44,8.02
144.04,56.88,40.05,77.85,10
144.06,40.12,28.61,54.48,6.59
145.01,41.73,30,56.19,6.77
145.02,34.75,22.13,51.51,7.74
146,45.01,31.73,62.89,8.12
147.01,45.1,31.95,61.78,7.94
147.09,54.58,39.45,73.27,8.64
148,52.45,39.35,67.79,7.48
149.02,40.25,25.1,60.2,9.11
149.05,50.55,33.5,76.73,10.66
149.08,39.63,28.05,54.29,6.96
149.09,53.13,35.1,77.75,10.7
150,50.44,33.11,76.11,10.86
151.03,43.35,29.42,62.33,8.28
151.05,54.94,39.11,74.62,9.29
151.07,41.96,31.43,55.07,6.25
151.08,35.5,23.52,51.63,7.19
160.01,34.13,21.72,51.56,7.78
160.02,38.11,26.72,52.84,6.46
160.03,47.21,34.17,63.63,7.53
160.04,47.96,32.98,68.13,8.73
161.02,64.25,45.91,87.36,10.84
161.03,56.56,40.94,76.77,9.38
161.05,46.56,31.92,65.83,8.72
161.06,54.45,38.67,75.16,9.73
161.08,48.37,30.82,72.83,11.12
161.09,54.59,40.25,71.48,7.89
162.01,38.82,27.3,54.01,6.85
162.02,45.5,31.4,66.24,8.89
162.03,42.66,29.82,58.86,7.38
162.04,44.84,31.02,63.78,8.53
163.01,43.04,28.88,62.54,8.88
163.04,40.62,28.28,55.88,7.02
163.05,42.81,29.35,60,7.93
163.06,43.6,29.28,62.48,8.42
163.07,45.16,30.7,63.81,8.42
163.08,37.88,25.47,56.28,7.92
170.03,38.43,28.67,50.22,5.62
170.04,36.46,27.09,48.25,5.46
170.05,52,37.14,69.48,8.4
170.07,57.97,45.67,75.26,7.63
180.01,31.98,20.8,48.15,6.95
180.04,38.18,27.17,52.63,6.43
181.03,51.72,36.36,70.94,9.02
181.05,45.97,35.35,59.73,6.23
181.07,36.62,24.24,54.74,7.66
181.08,37.66,24.13,55.58,8.17
181.09,41.88,30.12,57.02,7.09
181.11,46.28,32.95,63.13,7.8
181.12,36.89,23.62,54.08,8
181.13,34.82,26.37,46.26,5.01
181.14,43.1,29.42,62.66,8.58
181.16,41.97,29.99,57,7.07
182.01,40.26,28.93,55.75,6.69
182.04,52.98,36.85,73.03,9.23
182.05,48.21,33.97,67.51,8.4
183.01,64.57,44.48,92.96,12.71
183.03,54.12,39.01,73.34,8.68
183.05,44.09,30.84,61.35,7.8
183.06,46.92,33.69,61.73,7.25
183.07,43.15,28.91,61.07,8.29
184.02,65.09,47.95,87.3,9.94
184.06,56.12,37.29,79.25,10.8
184.07,57.09,40.96,79.29,9.54
184.08,49.64,33,72.33,10.16
184.09,60.2,39.5,88.81,12.63
184.1,51.97,35.29,74.47,10.49
184.11,47.52,30.99,69.89,10.18
184.12,51.37,33.62,77.01,10.82
184.13,36.04,23.64,52.59,7.45
184.14,40.09,25.94,59.01,8.67
184.15,58.95,38.32,85.51,12.21
184.16,49.84,33.58,71.09,9.83
185.05,48.18,33.27,67.77,8.62
185.07,43.05,30.1,60.1,8.03
185.08,43.86,28.09,68.06,10.05
185.09,50.34,34.84,71.02,9.18
185.1,43.18,28.74,61.59,8.56
185.11,34.61,23.27,49.31,6.62
185.12,39.04,26.76,55.2,7.35
185.15,58.68,40.67,82.6,10.86
185.16,54.42,36.14,77.95,11.16
185.17,36.13,23.41,53.63,7.91
185.18,38.17,24.77,56.69,8.13
185.19,44.03,29.57,63.95,8.96
185.2,44.1,29.38,67.7,9.91
185.21,43.32,30.36,59.89,7.26
186.01,49.22,33.83,69.47,9.41
186.02,52.15,36.31,72.14,8.94
186.05,48.96,35.05,65.77,8.17
186.06,43.47,29.07,62.13,8.42
186.07,60.92,41.27,86.26,11.18
186.08,59.43,41.18,83.89,10.93
187.03,45.13,31.33,62.15,7.88
187.04,74.28,54.99,98.75,11.04
187.06,45.71,32.39,62.07,7.76
187.11,50.96,32.8,76.49,11.31
187.12,46.98,32.72,66.56,8.69
187.13,46.13,31.64,64.73,8.46
187.14,78.68,51.45,115.14,17.21
187.15,49.33,34.95,68.18,8.45
188.01,52.92,35.71,75.65,10.55
188.04,48.86,35.23,67.54,8.24
188.05,52.74,32.04,79.42,12.3
188.07,39.59,25.56,59.57,8.79
188.08,50.86,30.94,79.66,12.8
189.03,53.51,36.19,75.36,10.2
189.05,49.34,35.87,66.27,7.8
189.06,51.31,34.76,73.38,9.88
189.08,57.6,40.41,79.11,10.12
189.09,36.37,23.47,54.32,7.99
189.1,40.87,27.22,58.87,8.02
190.03,68.26,52.99,89.19,8.83
190.04,54.06,37.56,76.86,9.88
190.05,54.78,33.76,85.5,13.13
191.03,46.75,33.57,64.54,7.86
191.04,94.27,69.78,124.04,14.07
191.05,54.98,38.76,76.51,10.15
192,67.17,48.72,91.54,11.4
200,51.01,33.6,73.58,10.53
201,54.94,35.57,81.89,11.81
202,55.11,39.8,75.32,9.36
203,46.43,31.73,64.99,8.49
204.01,41.9,28.34,59.43,8.44
204.02,46.91,34.04,64.22,7.67
205.02,42,31.12,57.15,6.68
207,81.13,50.39,125.98,19.48
208,48.85,35.54,63.34,7.29
209,71.74,54.36,92.05,9.73
210,48.73,36.71,62.84,6.57
220,48.99,31.82,71.3,9.98
221.01,44.54,29.75,62.37,8.81
221.03,47.18,32.37,67.13,8.55
221.04,44.69,33.4,57.64,6.09
222.01,38.33,26.47,52.82,6.89
222.02,42.86,28.44,62.87,8.87
223.01,49.54,35.16,67.72,8.72
223.02,47.69,32.6,68.16,8.91
224.02,71.27,54.67,92,9.54
225.01,35.82,24.22,50.5,6.81
225.02,59.7,41.14,83.26,11.24
226.02,38.09,25.63,54.19,7.53
226.04,36.5,25.27,51.94,6.68
228.02,43.28,27.77,63.59,9.41
228.04,47.28,36.31,61.21,6.47
229,55.06,43.25,69.57,7.01
230.01,42.4,29.91,59.16,7.58
230.02,51.18,37.34,68.96,8.21
231,42.72,32.26,55.97,6.15
232,46.45,31.26,65.23,8.51
233,48.81,36.43,64.67,7.45
234,167.23,123.51,222.26,25.06
235.02,45.51,33.74,60.35,6.83
235.03,65.65,45.67,92.04,11.99
236,42.08,28.54,59.66,7.94
237,43.61,30.72,60.17,7.47
238.01,46.32,31.06,68.05,9.35
238.02,43.83,32.38,57.56,6.37
239.02,52.03,34.31,74.24,10.77
240.01,49.18,34.99,68.43,8.2
240.02,41.52,28.06,56.31,7.24
241,47.18,34.88,61.59,7.06
242,46.47,32.57,63.47,7.95
243.01,39.34,27.57,54.72,7.17
243.02,43.11,29.08,61.12,8.25
250.02,46.11,32.81,65.76,8.21
251.01,62.01,40.53,92.77,14.06
260.04,52.91,32.89,80.88,13.29
260.05,55.34,35.23,82.75,11.95
260.06,44.42,28.58,65.67,9.53
260.07,64.08,42.91,91.55,12.71
260.08,48.13,31.86,72.8,10.45
281.01,40.22,25.07,62.5,9.81
281.02,67.45,46.8,93.65,12.2
282.01,65.47,46.37,88.89,11.15
282.02,64.42,45.21,89.92,11.69
283,63.19,46.97,82.93,9.11
284.01,44.7,31.83,60.77,7.37
284.02,42.37,29.14,59.1,7.81
285.01,79.7,55.74,110.78,14.69
285.02,59.35,44.72,77.48,8.47
286.02,60.25,46.05,79.32,8.14
287.01,71.55,45.97,109.87,17.1
287.06,60.9,44.81,81.07,9.54
287.09,59.2,36.04,91.42,14.57
287.11,39.86,27.28,57.25,7.56
290.02,76.13,56.64,97.94,10.7
290.04,54.49,39.01,76.57,9.34
290.05,68.13,43.03,107.01,16.74
291.01,66.6,46.36,92.29,12.01
291.02,53.43,36.57,75.91,9.89
292.01,47.15,32.44,65.28,8.32
292.03,59.08,39.47,89.28,12.81
292.04,46.61,28.27,70.88,11.45
400.04,46.87,31.97,66.12,8.97
400.05,50.41,33.73,75.78,10.32
400.06,63.67,37.53,99.78,16.04
401.01,67.68,48.6,92.52,11.06
401.02,61.39,46.22,79.7,8.7
