"CT","mx_mean","mx_lb","mx_ub","mx_se"
1.01,41.27,29.21,56.53,7.03
1.02,50.64,34.57,71.73,9.5
2.01,42.9,27.42,64.34,9.53
2.04,49.55,35.31,67.83,8.16
3.01,48.65,31.25,72.15,10.31
3.02,54.72,35.94,81.79,11.65
4.01,48.78,34.13,67.02,8.72
5,47.09,32.59,66.99,9.05
6.01,34.23,22.4,51.19,7.21
6.02,50.86,35.18,74.73,9.76
7.01,40.54,26.73,60,8.71
7.02,37.36,24.85,54.88,8.12
8.01,32.79,19.58,53.58,8.45
8.02,54.07,34.44,78.36,11.24
9,34.49,24.09,48.63,6.23
10.02,43.13,28.36,62.71,8.78
11,40.76,27.77,58.14,7.93
13.01,45.63,29.16,68.43,10.15
13.03,52.52,33.06,80.94,12.07
13.04,37.98,23.33,59.66,9.27
14.02,36.5,21.82,56.64,8.86
15.01,34.93,22.65,52.24,7.57
15.02,48.04,33.11,67.38,8.9
16.01,53.41,34.86,77.52,10.91
16.05,45.13,29,65.95,9.58
17.01,43,28.67,62.91,8.8
17.02,48.4,31.59,70.94,10.4
18.02,45.91,31.33,65.67,8.47
19,53.97,36.62,78.52,10.67
20,48.5,34.42,67.56,8.36
21,36.82,23.73,55.01,8.01
23,41.93,29.46,58.9,7.6
24,31.83,20.57,47.88,7.06
25,39.15,26.58,54.75,7.29
26,38.09,25.45,54.66,7.62
27.01,39.65,26.7,56.24,7.86
27.02,40.54,28.65,56.5,7.11
28,46.11,28.68,69.88,10.52
29,54.99,36.75,81.22,11.24
30,43.18,28.41,61.37,8.46
31.01,48.65,32.62,71.14,10.19
31.02,51.06,34.16,75.27,10.7
32,61.76,42.31,90.36,12.17
33.01,49.24,31.45,73.15,10.93
33.02,58.99,39.68,86.54,11.85
34.02,46.03,31.51,66.77,9.11
35.01,51.2,33.36,74.21,10.59
35.02,55.51,38.79,77.12,9.84
36.01,49.9,33.72,71.23,9.71
36.02,50.39,32.4,74.51,11.18
37.01,86.75,61.5,124.55,15.86
37.02,79.94,52.61,116.08,16.75
38,95.92,65.45,136.49,17.79
39.01,48.68,32.47,69.56,9.67
39.02,55.21,36.52,78.69,10.96
40.01,44.25,26.21,70.94,11.2
40.02,41.89,27.87,61.54,8.47
41.01,44.75,29.07,66.74,9.69
41.02,79.42,53.96,114.9,15.96
42,33.83,22.52,49.92,7
43.02,34.55,21.83,50.69,7.43
44,43.67,29.25,63.23,8.68
45.01,43.83,27.66,65.89,9.87
45.02,40.23,26.21,59.66,8.71
46,42.26,28.46,61.16,8.63
47.01,45.58,30.84,65.83,9.01
48,49.61,31.97,73.75,10.68
49.01,67.81,45.01,98.21,13.9
49.02,51.18,33.19,76.42,11.02
50.02,106.22,76.31,146.54,17.79
50.03,109.53,76.37,156.15,20.97
50.04,79.75,52.75,118.64,16.53
51.01,52.47,33.95,79.14,11.24
51.02,58.12,38.6,82.37,11.28
52.01,49.89,33.71,71.63,9.51
52.02,52.25,34.45,74.21,10.53
53.01,59.37,38.73,85.37,11.89
53.02,50.36,31.37,76.84,11.9
54.01,166.6,126.45,218.08,23.76
54.02,55.2,37.23,80.37,11.34
