"CT","mx_mean","mx_lb","mx_ub","mx_se"
1.01,16.49,11.91,22.61,2.77
1.02,16.47,10.94,23.09,3.24
2.01,15.73,10.18,23.32,3.36
2.04,16.9,12.26,22.99,2.75
3.01,16.42,10.37,24.58,3.64
3.02,19.25,12.23,28.67,4.21
4.01,20.66,14.89,28.39,3.36
5,15.61,10.25,22.6,3.26
6.01,12.11,7.67,18.14,2.68
6.02,18.87,12.19,28.29,4.02
7.01,11.56,7.47,17.1,2.44
7.02,11.28,7.13,16.91,2.5
8.01,37.26,16.62,70.77,14.73
8.02,9.72,6.26,14.19,2.01
9,9.31,6.4,13.57,1.85
10.02,14.01,9.71,19.9,2.56
11,15.9,10.83,22.78,3.11
13.01,15.62,10.23,21.98,2.99
13.03,15.98,10.24,23.45,3.42
13.04,14.52,8.99,22.1,3.4
14.02,16.77,10.96,24.13,3.36
15.01,14.52,9.08,21.81,3.4
15.02,12.41,8.61,17.67,2.26
16.01,16.03,10.19,23.91,3.55
16.05,17.08,11.03,25.14,3.6
17.01,18.28,12.85,25.77,3.37
17.02,15.04,9.88,22.06,3.18
18.02,18.73,13.28,25.85,3.13
19,21.19,14.63,30.08,4.07
20,17.58,13.29,22.39,2.41
21,15.36,10.21,21.79,3.14
23,12.29,8.16,17.68,2.47
24,10.63,6.87,15.81,2.31
25,10.76,6.84,15.84,2.28
26,10.41,6.92,15.36,2.19
27.01,8.87,5.72,12.86,1.83
27.02,12.26,8.41,17.04,2.19
28,15.95,10.14,23.83,3.56
29,22.93,15.89,31.41,4.11
30,18.96,12.67,27.56,3.8
31.01,19.87,12.89,28.85,4.19
31.02,21.74,14.45,31.14,4.45
32,21.77,14.89,31.25,4.17
33.01,21.39,13.78,31.62,4.53
33.02,19.86,13.44,28.44,3.75
34.02,21.72,15.17,30,3.83
35.01,20.4,13.68,29.74,4.16
35.02,19.6,13.44,26.89,3.49
36.01,21.29,14.64,30.53,4.06
36.02,19.85,12.29,29.11,4.4
37.01,19.81,12.62,29.77,4.39
37.02,18.96,12.28,27.65,4.13
38,22.54,15.18,31.92,4.22
39.01,21.19,13.8,32,4.65
39.02,23.73,16.2,33.61,4.49
40.01,14.69,8.32,24.32,4.22
40.02,14.01,9.16,20.78,3.04
41.01,13.7,8.91,19.72,2.9
41.02,11.79,7.79,16.87,2.28
42,9.83,6.22,14.39,2.08
43.02,11.3,7.11,17.57,2.74
44,13.14,8.27,19.74,2.9
45.01,14.19,8.11,22.99,3.71
45.02,13.36,8.45,20.61,3.05
46,12.36,7.7,18.63,2.81
47.01,19.23,12.46,28.18,4.02
48,12.72,8.04,19.35,2.89
49.01,17.01,11.34,24.29,3.43
49.02,12.23,7.7,18.81,2.95
50.02,20.05,13.41,28.27,3.83
50.03,21.07,14,30.4,4.36
50.04,27.42,16.93,41.19,6.47
51.01,15.87,10.53,22.82,3.36
51.02,23.26,15.88,33.33,4.35
52.01,20.76,14.49,28.25,3.64
52.02,19.75,13.36,28.82,3.76
53.01,19.31,12.94,28.28,4.07
53.02,19.83,11.86,30.86,4.81
54.01,27.84,20.74,36.68,4.16
54.02,20.54,13.96,29.51,4.16
55.01,18.61,11.92,28.2,4.25
55.02,23.83,14.75,36.86,5.88
56.02,21.16,12.64,33.26,5.13
57.02,26.44,19.13,36.09,4.35
59.06,28.59,18.36,43,6.06
59.07,11,6.95,16.95,2.5
59.09,17.08,9.31,27.7,4.88
59.1,14.83,8.85,22.95,3.53
59.11,17.25,11.41,25.03,3.46
60.02,12.47,7.41,20.1,3.31
61,10.04,5.53,17.32,3.11
62,9.67,6.02,14.74,2.28
64,11.8,8.11,16.69,2.24
65,17.07,11.9,24.5,3.23
67.01,15.06,8.85,23.77,3.76
68,13.51,8.22,20.51,3.29
69.02,12.32,8.74,16.71,2.08
100.01,24.57,16.73,35.16,4.95
100.02,16.29,10.37,24.91,3.75
101.03,14.35,8.88,22.87,3.38
101.04,15.99,10.63,23.89,3.43
101.06,15.48,10.3,22.11,3.04
103,12.97,8.69,18.84,2.56
104,15.85,10.68,23.7,3.3
110.02,17.46,9.08,29.82,5.52
110.03,14.78,8.41,24.54,4.23
110.04,14.68,8.39,23.8,4.03
111.02,13.27,8.27,19.44,2.89
111.05,20.04,13.3,29.67,4.26
111.07,18.02,11.38,26.95,4.15
112,16.94,10.68,25.82,3.92
113,16.74,10.9,23.68,3.24
114.01,14.12,7.75,23.57,4.16
114.02,16.7,9.68,25.83,4.23
115,20.35,14.08,28.15,3.63
116,15.8,10.15,23.45,3.41
117,10.97,7.21,15.56,2.19
118,13.77,9.53,19.42,2.53
120,9.94,5.96,15.49,2.48
121,11.17,6.68,17.73,2.9
122,13.79,8.55,20.81,3.05
130.03,14.24,9.53,20.24,2.71
131,12.88,9.41,16.58,1.83
132,13.53,8.13,21.8,3.51
133.01,11.74,6.36,19.99,3.49
133.02,10.32,6.24,15.89,2.5
134,14.31,9.88,20.47,2.83
135,11.62,7.43,17.32,2.57
140.02,15.35,10.89,21.26,2.69
140.03,14.73,10.17,20.89,2.75
140.04,12.7,7.45,20.57,3.37
141.01,14.99,9.92,21.23,2.9
142.01,12.92,8.16,19.78,3.04
142.02,16.73,10.36,25.99,4.2
142.03,13.61,8.65,20.45,3
143.01,15.07,9.5,22.9,3.4
143.02,16.11,11.45,21.88,2.67
143.03,14.26,9.23,21.07,3.01
144.04,15.61,9.75,23.55,3.62
144.06,13.56,9.03,19.5,2.7
145.01,13.06,8.89,18.28,2.39
145.02,14.88,8.86,23.27,3.75
146,13.52,8.95,19.98,2.89
147.01,14.49,9.91,21.24,2.85
147.09,14.59,10.16,20.05,2.55
148,18.13,12.94,24.64,3.01
149.02,12.28,7.04,19.53,3.27
149.05,14.34,8.59,22.08,3.44
149.08,10.9,7.15,15.97,2.29
149.09,14.05,8.65,21.57,3.36
150,12.66,8.09,18.85,2.74
151.03,17.43,11.22,26.4,3.82
151.05,17.21,11.55,25.03,3.38
151.07,14.92,10.72,20.97,2.59
151.08,12.92,8.23,19.6,2.87
160.01,15.91,8.86,26.1,4.4
160.02,10.15,6.62,14.89,2.18
160.03,20.89,14.23,30.43,4.04
160.04,16.86,11.34,24.71,3.47
161.02,14.41,9.04,21.41,3.18
161.03,18.31,11.63,26.6,3.91
161.05,19.34,12.2,29.48,4.49
161.06,13.99,9.27,20.56,2.91
161.08,47.66,22.87,89.79,17.26
161.09,27.49,17.99,40.34,5.6
162.01,17.3,11.59,24.65,3.41
162.02,20.05,12.64,30.31,4.62
162.03,18.91,12.72,27.86,3.8
162.04,19.61,12.75,28.68,4.12
163.01,18.15,10.57,28.15,4.5
163.04,17.54,10.66,26.13,3.81
163.05,19.53,12.82,28.28,4.16
163.06,19.08,12.09,28.35,4.25
163.07,19.49,12.85,29.96,4.11
163.08,20.51,12.81,31.88,4.89
170.03,11.43,7.77,16.06,2.16
170.04,14.22,9.8,20.33,2.62
170.05,11.87,7.66,17.7,2.58
170.07,13.39,9.38,18.34,2.38
180.01,11.91,7.13,18.76,2.82
180.04,12.15,8.13,17.55,2.33
181.03,11.2,6.94,17.13,2.59
181.05,12.2,9.05,16.16,1.92
181.07,9.94,5.43,17.47,2.94
181.08,16.98,9.62,28.86,4.78
181.09,13.69,9.32,19.21,2.6
181.11,13.45,8.53,20.12,2.97
181.12,11.41,6.65,18.27,2.93
181.13,10.16,7.16,14.21,1.78
181.14,11,6.83,17.16,2.69
181.16,13.94,9.19,20.39,2.9
182.01,16.82,11.79,22.94,2.88
182.04,17.87,12.17,25.85,3.35
182.05,16.59,11.34,23.44,3.09
183.01,17.91,11.12,26.63,4.08
183.03,19.23,13.02,27.73,3.76
183.05,17.22,11.6,24.79,3.42
183.06,20.96,14.29,29.79,3.93
183.07,21.03,13.5,30.91,4.36
184.02,25.48,17.57,36.36,4.87
184.06,20.17,12.7,29.62,4.31
184.07,24.41,16.48,34.48,4.53
184.08,21.42,13.37,32.23,4.99
184.09,27.23,17.26,41.22,6.14
184.1,19.27,11.9,28.42,4.4
184.11,21.35,13.58,31.43,4.67
184.12,21.9,13.64,33.94,5.19
184.13,21.39,13.02,33.47,5.21
184.14,16.9,10.03,27,4.33
184.15,21.77,13.48,33.72,5.13
