"CT","mx_mean","mx_lb","mx_ub","mx_se"
1.01,22.85,17.23,29.95,3.41
1.02,21.49,14.9,29.54,3.89
2.01,20.58,13.76,29.43,4.05
2.04,20.19,14.98,26.66,3
3.01,23.84,15.64,35.58,4.97
3.02,34.67,23.41,49.58,6.61
4.01,25.76,18.82,34.06,3.89
5,25.98,17.91,36.53,4.85
6.01,18.6,12.3,26.68,3.75
6.02,25.98,17.56,37.21,5.01
7.01,20.88,14.33,29.57,3.81
7.02,21.44,14.15,30.9,4.35
8.01,93.01,54.35,148.07,24.08
8.02,18.48,12.54,26.04,3.48
9,16.55,11.69,22.71,2.86
10.02,20.03,14.32,27.91,3.49
11,20.39,14.4,28.25,3.62
13.01,20.03,13.3,28.5,3.78
13.03,19.32,12.64,28.39,4.05
13.04,21.77,14.16,32.45,4.8
14.02,18.99,12.55,26.5,3.68
15.01,16.64,10.71,24.55,3.6
15.02,21.3,15.58,29.12,3.5
16.01,20.22,13.55,29.44,4.16
16.05,21.12,14.27,30.6,4.11
17.01,19.22,13.7,26.97,3.34
17.02,23.26,15.93,32.49,4.29
18.02,19.07,13.7,25.09,2.92
19,19.66,13.66,28.39,3.66
20,20.64,15.86,26.15,2.63
21,19.14,12.82,27.22,3.69
23,19.82,13.61,27.46,3.63
24,16.13,10.83,22.77,3.17
25,16.63,11.29,23.65,3.08
26,17.37,12.13,24.83,3.29
27.01,21.46,14.53,29.83,3.79
27.02,23.98,17.11,31.64,3.76
28,25.54,17,37.22,5.13
29,45.04,32.83,59.02,6.77
30,19.87,13.41,28.4,3.74
31.01,24.59,16.77,34.46,4.71
31.02,22.27,15.15,31.56,4.31
32,27.38,19.27,37.64,4.72
33.01,23.99,15.98,34.67,4.67
33.02,20.2,14.11,28.02,3.59
34.02,24.48,17.63,32.88,3.99
35.01,21.04,14.14,29.8,4.09
35.02,27.38,19.88,36.3,4.33
36.01,27.6,19.68,38.38,4.71
36.02,22.82,14.86,32.89,4.72
37.01,27.58,18.92,39.48,5.4
37.02,28.09,18.92,39.53,5.54
38,33.89,24.39,45.27,5.64
39.01,27.29,18.59,38.85,5.1
39.02,44.45,32.02,59.54,7.31
40.01,27.19,16.38,42.92,7.14
40.02,27.34,19.19,38.47,5.09
41.01,22.23,15.03,31.09,4.32
41.02,21.56,14.97,29.12,3.7
42,17.35,11.5,24.57,3.27
43.02,15.7,10.04,23.57,3.53
44,19.72,13.16,28.13,3.81
45.01,18.5,11.36,28.49,4.44
45.02,20.01,13.37,29.41,4.14
46,26.29,17.34,37.91,5.24
47.01,34.24,23.44,47.39,6.02
48,21.69,14.39,31.13,4.42
49.01,30.01,20.88,41.34,5.22
49.02,26.37,18.14,37.05,5.01
50.02,38.08,27.61,51.47,6.06
50.03,35.36,24.51,49.82,6.53
50.04,41.44,26.9,58.33,8.35
51.01,24.21,16.69,34.34,4.74
51.02,29.17,20.57,40.73,5.05
52.01,29.18,21.2,38.46,4.48
52.02,33.58,23.98,46.61,5.48
53.01,29.09,20.27,41.08,5.37
53.02,34.23,22.35,51.27,7.34
54.01,78.31,62.75,96.88,8.98
