"CT","mx_mean","mx_lb","mx_ub","mx_se"
1.01,5.8,3.7,8.61,1.3
1.02,4.37,2.53,6.88,1.14
2.01,4.04,2.32,6.79,1.12
2.04,4.68,2.98,7.02,1.07
3.01,5.07,2.95,8.19,1.34
3.02,4.23,2.32,7.06,1.27
4.01,5.33,3.33,8.34,1.24
5,4.23,2.45,6.71,1.1
6.01,4.4,2.56,7.1,1.16
6.02,5.76,3.25,9.31,1.56
7.01,3.66,2.12,5.93,0.98
7.02,3.93,2.23,6.34,1.09
8.01,14.1,4.93,30.91,7.12
8.02,3.3,1.9,5.23,0.84
9,4.36,2.67,6.91,1.08
10.02,4.82,3.01,7.5,1.15
11,4.4,2.68,6.85,1.11
13.01,4.56,2.78,6.96,1.06
13.03,4.61,2.64,7.4,1.26
13.04,4.41,2.46,7.4,1.27
14.02,4.75,2.88,7.44,1.19
15.01,3.77,2.11,6.27,1.12
15.02,4.22,2.6,6.67,1.01
16.01,4.18,2.44,6.69,1.16
16.05,4.49,2.52,7.62,1.23
17.01,4.68,2.88,7.22,1.15
17.02,4.4,2.52,7.24,1.18
18.02,4.06,2.55,6.3,0.93
19,4.34,2.56,7.05,1.15
20,4.64,3.13,6.5,0.9
21,3.59,2.12,5.63,0.94
23,3.72,2.2,6.01,0.97
24,3.31,1.9,5.63,0.93
25,3.69,2.11,6.08,1.03
26,3.22,1.91,5.21,0.86
27.01,3.44,1.98,5.55,0.92
27.02,3.43,2.02,5.32,0.86
28,4.06,2.31,6.86,1.16
29,5.02,3.14,7.5,1.16
30,4.41,2.6,6.88,1.15
31.01,4.25,2.41,6.98,1.18
31.02,4.32,2.5,6.86,1.15
32,5.11,3.06,8.27,1.3
33.01,4.25,2.39,6.94,1.15
33.02,4.78,2.84,7.43,1.23
34.02,6.6,3.99,9.97,1.55
35.01,4.67,2.69,7.75,1.27
35.02,5.37,3.22,8.2,1.3
36.01,5.06,3,8.4,1.36
36.02,4.83,2.52,8.04,1.48
