"CT","mx_mean","mx_ub","mx_lb","mx_se"
1.01,14.48,24.44,8.12,4.24
1.02,15.1,26.91,7.75,4.99
2.01,19.82,35.15,9.8,6.65
2.04,14.1,23.54,7.78,4.11
3.01,13.94,26.26,6.52,5.07
3.02,11.62,22.6,5.24,4.57
4.01,15.21,25.81,8.15,4.58
5,13.49,24.45,6.54,4.62
6.01,11.17,21.37,5.37,4.2
6.02,14.71,26.81,7.2,5.05
7.01,12.98,24,6.24,4.61
7.02,14.97,28.15,7.16,5.84
8.01,11.9,23.4,4.97,4.88
8.02,11.54,20.27,5.81,3.8
9,12.32,22.06,6.17,4.13
10.02,13.5,23.76,6.92,4.42
11,15.8,27.79,8.23,5.11
13.01,15.14,26.24,7.88,4.74
13.03,14.57,26.55,6.92,5.01
13.04,13.48,25.51,6.25,5.07
14.02,14.48,26.28,7.17,4.91
15.01,18.19,32.84,8.93,6.24
15.02,13.78,23.51,7.23,4.19
16.01,14.88,26.61,7.5,4.94
16.05,10.97,19.95,5.39,3.78
17.01,11.89,21.43,6.08,3.91
17.02,11.97,21.46,5.97,4.07
18.02,14.34,24.65,7.67,4.33
19,14.1,25.17,7.04,4.68
20,12.9,21.33,7.24,3.65
21,11.44,20.37,5.71,3.79
23,11.91,21.93,5.97,4.18
24,11.88,22,5.84,4.26
25,11.13,19.8,5.51,3.72
26,14.03,25.02,7.04,4.76
27.01,16.52,28.93,8.36,5.36
27.02,10.28,18.59,5.06,3.51
28,13.16,24.29,6.21,4.67
29,13.19,23.16,6.71,4.32
30,14.72,26.25,7.39,4.92
31.01,15.39,27.89,7.5,5.31
31.02,15.27,28,7.29,5.29
32,16.25,28.71,8.48,5.29
33.01,16.8,30.3,8.2,5.76
33.02,10.95,19.76,5.5,3.7
34.02,14.98,26.29,7.89,4.71
35.01,16.45,30.3,7.67,5.93
35.02,15.3,25.83,7.98,4.68
36.01,14.42,25.48,7.34,4.63
36.02,24,43.43,11.41,8.37
37.01,13.82,24.99,6.78,4.77
37.02,13.29,24.11,6.59,4.58
38,14.74,26.14,7.49,4.82
39.01,16.22,29.61,7.85,5.67
39.02,18.55,34.06,9.52,6.34
40.01,17.5,34.14,7.98,6.72
40.02,14.58,27.88,6.89,5.38
41.01,16.49,29.55,8.03,5.7
41.02,15.36,27.4,7.91,5.05
42,12.25,22.08,6.06,4.16
43.02,10.19,19.73,4.63,3.9
44,10.65,20.59,4.9,4.1
45.01,13.76,26.86,5.98,5.41
45.02,13.84,25.19,6.74,4.89
46,18.46,34.25,8.77,6.58
47.01,13.9,26.44,6.33,5.32
48,15.93,28.68,7.83,5.36
49.01,17.49,30.25,9.28,5.43
49.02,10.44,20.55,4.45,4.19
50.02,17.93,30.88,9.38,5.68
50.03,14.45,25.46,7.44,4.62
50.04,14.76,28.24,6.89,5.57
51.01,16.13,28.9,7.96,5.39
51.02,21.2,37.33,10.94,6.82
52.01,18.79,31.79,10.13,5.61
52.02,18.11,32.65,9.28,5.99
53.01,21.09,37.26,10.63,6.92
53.02,17.58,33.84,7.91,6.8
54.01,26.61,41.88,15.81,6.66
54.02,15.47,28.18,7.67,5.29
55.01,18.72,35.05,8.79,6.92
55.02,21.91,42.09,10.08,8.24
56.02,15.87,30.32,7.27,6
57.02,19.19,33.22,9.99,6.02
59.06,25.67,46.85,12.54,8.71
59.07,13.68,25.63,6.61,4.86
59.09,17.61,34.82,7.81,7.13
59.1,23.46,44.04,11.36,8.48
59.11,19.97,34.06,10.79,6.01
60.02,16.87,32.92,7.64,6.37
61,16.32,35.26,6.31,7.46
62,13.69,26.63,6.26,5.24
64,21.49,36.59,11.41,6.53
65,22.66,37.59,12.62,6.5
67.01,16.15,30.64,7.4,6.04
68,19.36,36.57,9.21,7.09
69.02,9.82,16.8,5.3,2.98
100.01,14.35,27.06,6.75,5.28
100.02,20.41,36.79,10.23,6.93
101.03,14.55,28.43,6.57,5.61
101.04,13.14,25.54,6.23,4.88
101.06,14.19,25.74,7.13,4.87
103,15.66,28.05,7.97,5.21
104,20.14,35.76,10.45,6.54
110.02,21.06,43.42,8.46,9.18
110.03,19.29,38.84,7.92,8.1
110.04,17.33,34.71,7.6,7.31
111.02,18.12,32.3,9.31,5.97
111.05,16.39,30.87,7.6,6.19
111.07,21.39,38.35,11.05,6.98
112,18.34,33.62,8.65,6.54
113,18.38,32.26,9.64,5.93
114.01,22.05,47.4,8.83,9.88
114.02,19.11,36.32,8.89,7.16
115,21.83,38.85,11.23,6.97
116,16.13,29.41,8.08,5.52
117,14.21,25.47,7.19,4.75
118,11.97,20.94,6.1,3.84
120,14.24,26.67,6.52,5.22
121,14.2,27.72,6.55,5.65
122,14.85,27.06,7.09,5.17
130.03,17.91,31.38,9.1,5.78
131,18.37,29.33,11,4.7
132,15.63,30.19,6.77,6.1
133.01,22.49,43.69,10.23,8.59
133.02,15.22,27.36,7.48,5.2
134,15.72,27.56,7.91,5.06
135,11.44,21.06,5.61,4.03
140.02,19.46,32.65,10.56,5.81
140.03,14.88,25.34,8.12,4.46
140.04,19.01,36.2,8.62,7.18
141.01,28.59,48.94,14.91,8.83
142.01,20.29,36.72,9.95,6.93
142.02,19.79,37.43,9.19,7.43
142.03,16.27,30.08,7.88,5.88
143.01,20.43,36.21,9.97,6.83
143.02,17.89,29.78,9.9,5.19
143.03,20.11,36.96,10.24,6.96
144.04,14.04,26.08,6.48,5.22
144.06,13.63,24.44,7.12,4.53
145.01,14.72,25.22,7.71,4.5
145.02,19.5,36.96,8.77,7.41
146,15.25,27,8.05,4.95
147.01,19.51,34.33,10.07,6.23
147.09,17.39,30.54,8.75,5.65
148,17.05,29.5,9.05,5.17
149.02,14.13,28.17,6.04,5.91
149.05,17.31,32.8,8.05,6.62
149.08,17.47,30.71,9.04,5.6
149.09,14.49,27.1,6.98,5.2
150,14.23,25.58,7.13,4.8
151.03,15.8,28.64,7.92,5.42
151.05,17.3,30.71,8.76,5.65
151.07,15.82,26.35,8.82,4.48
151.08,12.7,23.28,6.08,4.44
160.01,17.02,34.17,7.52,6.97
160.02,16.59,29.56,8.56,5.41
160.03,14.66,27.17,7.19,5.18
160.04,14.96,28.31,7.12,5.55
161.02,22.83,41.88,11.06,8.05
161.03,19.24,35.41,9.43,6.65
161.05,11.3,22.1,4.81,4.51
161.06,18.66,33.29,9.53,6.25
161.08,12.76,27.63,5,5.84
161.09,14.06,23.25,8.07,3.9
162.01,14.13,25.51,6.97,4.72
162.02,14.12,25.91,6.78,4.96
162.03,13.7,24.61,6.55,4.72
162.04,13.78,25.27,7,4.69
163.01,17.09,32.28,7.81,6.25
163.04,20.62,36.99,10.47,6.81
163.05,19.32,35.46,9.3,6.84
163.06,14.22,27.09,6.73,5.23
163.07,16.66,30.25,7.97,5.92
163.08,17.39,33.06,8.22,6.55
170.03,20.91,35.68,11.07,6.45
170.04,18.52,32.09,9.91,5.8
170.05,17.4,32.02,8.44,6.03
170.07,18.28,31.66,9.92,5.57
180.01,15.38,28.12,7.4,5.34
180.04,14.69,25.15,7.89,4.47
181.03,21.43,39.55,10.27,7.7
181.05,18.77,30.62,10.65,5.19
181.07,15.66,30.58,6.98,6.32
181.08,16.65,33.17,7.04,6.82
181.09,20.69,35.56,11.16,6.44
181.11,17.99,32.7,9.07,6.12
181.12,19.41,38.78,8.97,7.6
181.13,16.14,26.76,8.97,4.63
181.14,14.4,26.48,6.7,5.19
181.16,7.66,15.06,3.49,3.06
182.01,16.13,26.75,8.81,4.64
182.04,15.02,25.95,8.02,4.68
182.05,14.32,24.56,7.61,4.44
183.01,15.41,28.69,7.58,5.58
183.03,16.97,30.97,8.43,5.88
183.05,13.46,23.22,7.13,4.16
183.06,19.8,35.29,10.15,6.38
183.07,15.13,27.44,7.55,5.26
184.02,14.14,24.3,7.39,4.35
184.06,13.83,25.65,6.76,4.89
184.07,17.24,30.25,8.92,5.54
