"CT","mx_mean","mx_lb","mx_ub","mx_se"
1.01,0.24,0.05,0.79,0.2
1.02,0.27,0.04,0.9,0.23
2.01,0.21,0.03,0.76,0.2
2.04,0.16,0.03,0.51,0.13
3.01,0.19,0.02,0.67,0.19
3.02,0.23,0.02,1.01,0.32
4.01,0.3,0.06,0.98,0.26
5,0.24,0.05,0.77,0.21
6.01,0.3,0.05,1.09,0.29
6.02,0.2,0.03,0.68,0.19
7.01,0.21,0.03,0.82,0.22
7.02,0.24,0.03,0.78,0.61
8.01,0.39,0.03,1.5,0.52
8.02,0.18,0.03,0.63,0.17
9,0.19,0.03,0.61,0.16
10.02,0.24,0.04,0.81,0.22
11,0.18,0.04,0.64,0.17
13.01,0.23,0.04,0.79,0.2
13.03,0.25,0.04,0.82,0.23
13.04,0.23,0.03,0.93,0.28
14.02,0.25,0.04,0.94,0.23
15.01,0.23,0.03,0.85,0.26
15.02,0.2,0.04,0.67,0.18
16.01,0.22,0.04,0.7,0.18
16.05,0.24,0.04,0.88,0.24
17.01,0.22,0.04,0.71,0.18
17.02,0.23,0.04,0.73,0.21
18.02,0.21,0.04,0.63,0.17
19,0.27,0.04,0.97,0.25
20,0.22,0.05,0.64,0.2
21,0.31,0.07,0.98,0.25
23,0.22,0.04,0.73,0.2
24,0.22,0.04,0.83,0.22
25,0.38,0.08,1.18,0.29
26,0.25,0.05,0.79,0.21
27.01,0.25,0.04,0.97,0.28
27.02,1.04,0.28,2.58,0.65
28,0.51,0.09,1.69,0.44
29,0.29,0.06,0.94,0.25
30,0.23,0.04,0.72,0.2
31.01,0.34,0.07,1.12,0.29
31.02,0.42,0.08,1.32,0.33
32,0.47,0.11,1.28,0.33
33.01,0.27,0.05,0.94,0.25
33.02,0.35,0.06,1.2,0.29
34.02,0.43,0.09,1.36,0.35
35.01,0.51,0.08,1.76,0.52
35.02,0.56,0.14,1.78,0.42
36.01,0.4,0.07,1.25,0.38
36.02,0.4,0.04,1.69,0.43
37.01,1.02,0.25,2.74,0.67
37.02,0.6,0.13,1.8,0.44
38,1.29,0.29,3.56,0.87
39.01,0.82,0.19,2.37,0.59
39.02,0.42,0.07,1.35,0.4
40.01,0.43,0.07,1.47,0.39
40.02,0.48,0.09,1.5,0.4
41.01,0.38,0.09,1.18,0.3
41.02,0.91,0.23,2.62,0.63
42,0.35,0.07,1.08,0.29
43.02,0.35,0.05,1.22,0.33
44,0.36,0.05,1.39,0.42
45.01,0.43,0.07,1.51,0.41
45.02,0.35,0.07,1.08,0.29
46,0.43,0.09,1.31,0.33
47.01,0.63,0.12,2.05,0.52
48,0.47,0.11,1.25,0.32
49.01,0.83,0.24,2.11,0.52
49.02,0.6,0.09,2.1,0.57
50.02,1.63,0.44,4.2,0.97
50.03,1.8,0.54,4.43,1.07
50.04,1.18,0.23,3.82,1
51.01,0.99,0.21,3.08,0.89
51.02,0.81,0.17,2.35,0.64
52.01,0.85,0.21,2.49,0.61
52.02,0.75,0.15,2.26,0.58
53.01,3.43,1.08,8.13,1.87
53.02,1.2,0.18,3.82,1.16
54.01,10.9,5,21.18,4.26
54.02,0.88,0.19,2.64,0.68
55.01,3.54,0.9,9.19,2.56
55.02,3.79,1.08,9.89,2.43
56.02,1.59,0.33,4.66,1.26
57.02,2.67,0.71,7.06,1.63
59.06,26.74,11.21,52.72,11.27
59.07,1.14,0.33,3.04,0.71
59.09,2.91,0.82,7.54,1.86
59.1,5.27,1.62,12.35,2.83
59.11,2.39,0.84,5.33,1.23
60.02,2.43,0.8,6.37,1.41
61,1.79,0.44,5.5,1.33
62,1.66,0.4,5.3,1.2
64,5.84,2.15,13.02,2.77
65,1.68,0.64,3.96,0.96
67.01,2.82,0.83,7.23,1.74
68,1.54,0.4,4.29,1
69.02,0.34,0.08,0.95,0.25
100.01,1.45,0.18,5.42,1.47
100.02,0.92,0.15,3.11,0.82
101.03,0.69,0.08,2.58,0.7
101.04,1.06,0.12,4.26,1.32
101.06,1.17,0.22,3.51,0.91
103,0.59,0.07,2.33,0.62
104,0.26,0.03,0.99,0.28
110.02,0.54,0.01,3.26,0.96
110.03,0.33,0.01,1.64,0.48
110.04,0.24,0.01,1.4,0.5
111.02,0.24,0.02,0.97,0.31
111.05,0.29,0.03,1.16,0.54
111.07,0.28,0.05,1.03,0.25
112,0.36,0.05,1.15,0.37
113,0.43,0.07,1.56,0.46
114.01,0.32,0.02,1.45,0.46
114.02,0.27,0.03,1.12,0.34
115,0.21,0.03,0.73,0.2
116,0.31,0.05,1.08,0.33
117,0.25,0.04,0.86,0.23
118,0.32,0.06,0.92,0.26
120,0.27,0.03,1.04,0.33
121,0.34,0.04,1.38,0.37
