"CT","mx_mean","mx_lb","mx_ub","mx_se"
1.01,1.05,0.38,2.46,0.55
1.02,1.13,0.38,2.74,0.66
2.01,1.14,0.35,3.09,0.76
2.04,1.04,0.34,2.7,0.6
3.01,1.07,0.31,2.79,0.67
3.02,1.01,0.27,2.88,0.72
4.01,0.97,0.34,2.27,0.5
5,1.06,0.32,2.72,0.62
6.01,1.03,0.32,2.87,0.65
6.02,1.11,0.35,2.97,0.65
7.01,1.17,0.36,3.2,0.86
7.02,0.98,0.29,2.55,0.69
8.01,1.1,0.28,3.01,0.75
8.02,0.9,0.3,2.25,0.49
9,0.79,0.24,1.9,0.45
10.02,0.97,0.33,2.58,0.57
11,1.02,0.35,2.57,0.58
13.01,1.2,0.39,3.02,0.7
13.03,0.98,0.33,2.44,0.54
13.04,1.06,0.33,2.85,0.65
14.02,0.98,0.28,2.6,0.62
15.01,1.24,0.37,3.14,0.83
15.02,1.11,0.41,2.51,0.59
16.01,1.1,0.34,2.83,0.65
16.05,1.13,0.36,2.91,0.66
17.01,0.92,0.32,2.33,0.55
17.02,0.97,0.33,2.27,0.55
18.02,1.08,0.35,2.98,0.72
19,1.03,0.3,2.93,0.71
20,0.94,0.32,2.3,0.51
21,1.02,0.29,2.71,0.74
23,0.69,0.23,1.73,0.42
24,0.75,0.24,1.9,0.45
25,0.65,0.2,1.58,0.37
26,0.64,0.22,1.57,0.39
27.01,0.68,0.21,1.7,0.44
27.02,0.75,0.23,1.89,0.48
28,0.85,0.26,2.2,0.54
29,0.89,0.3,2.29,0.52
30,0.8,0.24,2.22,0.5
31.01,0.9,0.29,2.31,0.57
31.02,0.87,0.29,2.2,0.52
32,0.84,0.29,2.07,0.51
33.01,0.86,0.28,2.34,0.53
33.02,0.87,0.27,2.32,0.55
34.02,1.1,0.37,2.85,0.67
35.01,1.19,0.38,3.11,0.68
35.02,1.07,0.34,2.48,0.61
36.01,1.26,0.41,2.99,0.75
36.02,1.2,0.32,3.22,0.82
37.01,0.93,0.3,2.18,0.5
37.02,1.05,0.34,2.57,0.61
38,1.04,0.34,2.39,0.57
39.01,0.94,0.27,2.58,0.6
39.02,0.93,0.28,2.38,0.59
40.01,0.93,0.28,2.24,0.72
40.02,0.93,0.27,2.4,0.56
41.01,0.77,0.24,2.08,0.46
