"CT","mx_mean","mx_lb","mx_ub","mx_se"
1.01,5.56,3.5,8.46,1.36
1.02,4.17,2.2,7.25,1.29
2.01,3.68,1.93,6.26,1.13
2.04,4.13,2.51,6.52,1.05
3.01,4.76,2.62,8.02,1.4
3.02,5.79,3.05,9.9,1.86
4.01,5.36,3.11,8.75,1.41
5,6.41,3.85,10.01,1.64
6.01,4.18,2.22,7.01,1.28
6.02,6.71,3.65,11.5,2.01
7.01,4.4,2.49,7.46,1.26
7.02,3.24,1.72,5.58,0.99
8.01,32.07,13.61,62.57,12.65
8.02,3.21,1.8,5.35,0.91
9,3.35,1.95,5.36,0.92
10.02,4.77,2.78,7.87,1.3
11,5.1,2.96,8.36,1.42
13.01,4.55,2.53,7.61,1.26
13.03,4.63,2.46,7.95,1.42
13.04,4.01,2.1,7.44,1.35
14.02,4.62,2.54,7.66,1.37
15.01,5.15,2.55,8.98,1.69
15.02,4.08,2.37,6.88,1.16
16.01,5.16,2.87,9.08,1.59
16.05,4.54,2.56,7.48,1.29
17.01,4.39,2.63,6.98,1.16
17.02,3.48,1.98,5.8,0.98
18.02,3.73,2.23,5.76,0.93
19,3.99,2.15,6.84,1.2
20,4.21,2.66,6.4,0.96
21,3.74,2.09,6.43,1.11
23,3.28,1.81,5.5,0.97
24,3.07,1.67,5.29,0.93
25,3.47,1.85,5.75,1.01
26,4.06,2.31,7.02,1.22
27.01,3.62,1.89,6.34,1.13
27.02,3.28,1.69,5.82,1.05
28,3.27,1.73,5.8,1.02
29,3.73,2.03,6.17,1.06
30,4.3,2.45,7.13,1.17
31.01,3.83,2.12,6.59,1.12
31.02,5.66,3.15,9.29,1.58
32,5.5,3.33,8.74,1.36
33.01,4.91,2.7,8.4,1.42
33.02,4.75,2.72,7.55,1.26
34.02,6.24,3.81,9.81,1.56
35.01,3.51,1.92,5.97,1.09
35.02,5.4,3.22,8.51,1.38
36.01,3.99,2.24,6.63,1.15
36.02,4.62,2.26,8.23,1.55
37.01,7.23,4.16,11.72,1.98
37.02,6.87,3.96,10.88,1.79
38,6.81,4.15,10.89,1.74
39.01,5.78,3.39,9.24,1.48
39.02,5.98,3.19,10.5,1.82
40.01,6.48,3.3,11.33,2.26
40.02,5.32,2.96,9.05,1.56
41.01,4.13,2.22,6.97,1.26
41.02,9.51,5.9,15.16,2.33
42,4.53,2.48,7.46,1.29
43.02,4.81,2.55,8.74,1.54
44,5.85,3.01,10.07,1.81
45.01,6.86,3.51,12.49,2.24
45.02,4.31,2.43,7.33,1.28
46,4.71,2.66,7.98,1.37
47.01,4.69,2.54,7.94,1.4
48,6,3.38,9.84,1.69
49.01,5.86,3.74,8.92,1.36
49.02,4.96,2.44,9.3,1.77
50.02,9.42,5.9,14.2,2.2
50.03,9.39,5.69,14.1,2.2
50.04,10.12,5.72,16.96,2.9
51.01,7.41,4.14,12.61,2.12
51.02,5.08,2.92,8.48,1.43
52.01,6.05,3.76,9.42,1.51
52.02,5.91,3.48,9.12,1.49
53.01,4.84,2.62,8.22,1.47
53.02,4.89,2.4,8.88,1.71
54.01,19.53,13.61,27.91,3.65
54.02,5.08,2.93,8.44,1.44
55.01,5.97,3.33,10.06,1.8
55.02,12.05,6.79,19.24,3.29
56.02,8.4,4.6,14.32,2.4
57.02,13.77,8.53,21.6,3.3
59.06,33.14,21.16,49.85,7.1
59.07,5.39,3.19,8.62,1.44
59.09,12.38,7.09,20.58,3.39
59.1,10.72,6.21,16.94,2.71
59.11,8.46,5.43,12.82,1.85
60.02,8.18,4.82,13.26,2.31
61,9.55,5.12,16.25,2.94
62,9.44,5.31,15.84,2.69
64,10.96,7.12,15.9,2.26
65,6.81,4.43,10.18,1.53
67.01,11.02,6.14,18.15,3.11
68,8.21,4.6,13.48,2.24
69.02,3.11,1.87,4.81,0.78
100.01,6.22,3.23,10.96,2.03
100.02,5.98,3.29,10.19,1.74
101.03,9.87,5.41,16.15,2.89
101.04,8.24,4.38,14.64,2.62
101.06,7.5,4.29,12.33,2.01
103,7.66,4.35,12.34,2.12
104,5.87,3.22,9.89,1.68
110.02,5.78,2.1,13.15,2.86
110.03,4.1,1.7,8.23,1.7
110.04,5.15,2.42,10.09,1.97
111.02,4.88,2.56,8.61,1.51
111.05,5.06,2.53,9.36,1.73
111.07,5.81,3.17,9.87,1.71
112,5.16,2.51,9.4,1.78
113,3.53,1.81,6.14,1.15
114.01,4.05,1.73,8.56,1.83
114.02,3.48,1.65,6.41,1.28
115,3.67,1.93,6.41,1.17
116,4.94,2.6,8.98,1.62
117,5.76,3.19,9.53,1.69
118,6.32,3.69,9.9,1.67
120,3.74,1.82,6.92,1.35
121,4.36,2.14,8.04,1.61
122,4.17,2.18,7.29,1.32
130.03,8.54,4.49,15.33,2.79
131,4.89,2.96,7.67,1.23
132,6.19,2.97,12.05,2.37
133.01,3.2,1.25,6.92,1.45
133.02,2.67,1.26,5.04,0.98
134,4.5,2.48,7.64,1.36
135,5.42,2.89,9.77,1.78
140.02,3.35,1.94,5.34,0.88
140.03,4.03,2.35,6.65,1.06
140.04,3.28,1.64,5.8,1.16
141.01,4.52,2.5,7.24,1.28
142.01,3.09,1.65,5.54,1.03
142.02,3.43,1.73,6.12,1.19
142.03,2.67,1.33,4.95,0.95
143.01,3.31,1.71,6.06,1.12
143.02,2.37,1.43,3.87,0.63
143.03,3.3,1.79,5.89,1.06
144.04,2.81,1.31,5.39,1.05
144.06,2.19,1.22,3.62,0.61
145.01,2.52,1.44,4.09,0.66
145.02,2.4,1.13,4.27,0.84
146,3.61,1.99,5.92,1.05
147.01,2.7,1.51,4.37,0.75
147.09,2.86,1.55,4.82,0.84
148,3.38,1.88,5.67,0.93
149.02,4.48,2.06,8.04,1.6
149.05,2.71,1.36,5.19,0.97
149.08,3.07,1.66,5.08,0.9
149.09,2.89,1.47,5.19,0.99
150,3.6,1.95,6.13,1.07
151.03,4.37,2.31,7.58,1.31
151.05,3.82,2.1,6.38,1.1
151.07,4.37,2.64,6.81,1.06
151.08,3.33,1.8,5.69,1.02
160.01,3.66,1.49,7.67,1.59
160.02,3.24,1.68,5.93,1.1
160.03,2.89,1.4,5.3,1.02
160.04,4.86,2.33,9.04,1.75
161.02,4.16,2.09,7.35,1.43
161.03,3.27,1.6,5.88,1.09
161.05,4.25,2.1,7.63,1.48
161.06,4.04,2.11,7.28,1.28
161.08,19.21,6.63,44.82,9.78
161.09,6.39,3.19,11.75,2.11
162.01,3.11,1.83,4.95,0.83
162.02,3.73,1.95,6.61,1.19
162.03,5.69,3.2,9.58,1.7
162.04,3.2,1.72,5.67,0.97
163.01,4.36,2.21,7.61,1.44
163.04,5.02,2.77,8.09,1.4
163.05,5.67,3.11,9.48,1.64
163.06,5.68,3.06,9.4,1.7
163.07,4.34,2.39,7.43,1.31
163.08,5.84,3.1,9.95,1.82
170.03,7.65,4.03,13.59,2.37
170.04,4.35,2.38,7.35,1.32
170.05,6.39,3.17,12.27,2.28
170.07,6.65,3.65,10.96,1.82
180.01,4.18,1.94,7.77,1.47
180.04,5.82,3.5,8.78,1.4
181.03,8.01,4.21,14.12,2.48
181.05,6.18,3.7,9.63,1.58
181.07,3.96,1.68,7.94,1.61
181.08,4.87,1.96,10.18,2.17
181.09,3.59,1.91,6.19,1.09
181.11,5.33,2.62,9.77,1.87
181.12,4.83,2.36,8.88,1.75
181.13,4.45,2.59,7.03,1.15
181.14,6.69,3.43,11.95,2.24
181.16,5.35,2.65,9.62,1.82
182.01,5.7,3.5,8.87,1.35
182.04,4.82,2.96,7.57,1.18
182.05,5.44,3.25,8.86,1.45
183.01,6.78,3.68,11.47,2.07
183.03,6.96,3.89,11.35,2
183.05,4.66,2.87,7.66,1.19
183.06,11.34,6.92,18.17,2.89
183.07,7.06,3.81,11.79,2
184.02,12.41,7.34,19.59,3.15
184.06,7.06,3.85,11.7,2.03
184.07,7.2,4.05,12.5,2.09
184.08,6.67,3.55,11.7,2.22
184.09,6.37,3.37,11.3,2.06
184.1,6.39,3.54,10.61,1.92
184.11,5.33,2.79,9.16,1.65
184.12,7.13,3.77,12.55,2.34
184.13,6.07,3.02,11.1,2.04
184.14,5.22,2.6,9.24,1.7
184.15,5.01,2.51,8.81,1.64
184.16,7.32,4.01,12.71,2.32
185.05,9.13,5.4,14.64,2.41
185.07,4.17,2.33,7.26,1.21
185.08,4.06,1.91,7.35,1.45
185.09,6.11,3.6,9.59,1.62
185.1,6.93,3.71,12.08,2.13
185.11,5.95,3.33,10.28,1.82
185.12,5.38,3.14,8.77,1.51
185.15,7.52,4.25,12.71,2.17
185.16,8.7,4.85,14.87,2.64
185.17,3.06,1.53,5.58,1.08
185.18,4.59,2.32,7.9,1.43
185.19,3.81,1.96,6.98,1.21
185.2,4.07,2.11,7.16,1.28
185.21,5.34,3.23,8.65,1.44
186.01,7.99,4.48,13.08,2.28
186.02,8.1,4.51,13.43,2.31
186.05,5.63,3.26,9.01,1.48
186.06,5.11,2.88,8.26,1.41
186.07,8.16,4.73,14.09,2.41
186.08,8,4.69,12.46,2.01
187.03,5.94,3.41,9.79,1.64
187.04,7.65,4.74,12,1.87
187.06,5.43,2.97,9.16,1.56
187.11,6.03,3.09,10.91,2.01
187.12,6.45,3.52,11.51,1.96
187.13,7.49,4.07,12.2,2.15
187.14,5.64,2.56,11.56,2.3
187.15,5.62,2.99,9.34,1.73
188.01,4.72,2.51,7.67,1.38
188.04,6.17,3.58,9.79,1.57
188.05,5.26,2.75,9.36,1.71
188.07,4.65,2.36,8.75,1.62
188.08,4.41,1.95,8.9,1.81
189.03,6.65,3.82,11.26,1.89
189.05,8.34,4.91,13.08,2.16
189.06,7.71,4.06,13.51,2.48
189.08,6.85,3.86,10.93,1.8
189.09,5.12,2.48,9.63,1.77
189.1,4.36,2.46,7.35,1.24
190.03,7.98,5.29,11.67,1.68
190.04,6.56,3.64,10.74,1.85
190.05,9.41,4.16,18.73,3.78
191.03,8.69,5.05,14.49,2.41
191.04,8.48,4.75,14.08,2.38
191.05,16.35,9.27,27.15,4.66
192,8.64,5.45,12.99,2.03
200,5.43,2.93,9.21,1.66
201,5.24,2.65,8.98,1.65
202,6.55,3.88,10.28,1.65
203,7.41,4.04,12.98,2.21
204.01,7.65,3.85,12.88,2.38
204.02,10.22,6.1,16.31,2.62
205.02,8.62,5.04,14.34,2.35
207,11.27,5.84,19.37,3.48
208,6.03,3.44,9.94,1.66
209,5.03,2.96,8.22,1.34
210,8.81,5.8,12.99,1.9
220,4.72,2.66,8.19,1.41
221.01,5.1,2.36,9.71,1.87
221.03,5.63,3.03,10.09,1.82
221.04,5.96,3.71,9.11,1.42
222.01,3.85,2.15,6.55,1.11
222.02,3.88,1.97,6.7,1.27
223.01,6.49,3.93,10.1,1.63
223.02,6.43,3.73,10.67,1.75
224.02,6.84,3.63,11.75,2.08
225.01,4.53,2.37,7.97,1.43
