"CT","mx_mean","mx_ub","mx_lb","mx_se"
1.01,56.66,81.29,37.47,11.26
1.02,65.15,101.61,40.59,15.55
2.01,38.62,65.06,21.3,11.33
2.04,44.28,65.03,28.87,9.42
3.01,39.17,68.7,20.15,12.66
3.02,50.16,79.85,30.05,13.06
4.01,55.7,81.2,36.49,11.31
5,25.07,43.54,13.07,7.94
6.01,25.94,45.29,13.79,8.13
6.02,41.14,66.92,24.28,10.9
7.01,30.22,52.83,16.28,9.25
7.02,30.72,53.95,16.17,9.81
8.01,42.05,82.11,18.04,16.97
8.02,30.22,51.17,16.23,9.03
9,18.48,29.61,10.7,4.93
10.02,33.13,52.07,19.57,8.28
11,32.66,53.33,19.06,8.88
13.01,36.5,58.53,21.76,9.47
13.03,45.26,74.89,25.04,12.93
13.04,39.51,67.7,20.58,12.2
14.02,31.44,52.44,17.65,8.96
15.01,37.87,63.17,20.67,11.07
15.02,40.06,60.94,25.54,9.16
16.01,50.51,83.24,28.49,14.29
16.05,51.58,83.59,29.53,14.06
17.01,38.22,60.95,21.97,10.12
17.02,41.13,67.65,23.21,11.42
18.02,39.21,61.53,24.53,9.5
19,50.9,81.64,29.7,13.09
20,35.75,50.61,24.01,6.83
21,34.18,59.35,18.07,10.34
23,37.39,58.03,23.07,9.14
24,21.26,37.4,11.15,6.88
25,38.34,58.98,23.47,9.19
26,22.58,37.32,12.4,6.48
27.01,36.33,56.95,21.57,9.19
27.02,16.98,26.71,10.41,4.19
28,33.58,57.83,17.43,10.54
29,47.74,72.73,29.86,11.16
30,37.56,62.57,20.84,10.69
31.01,33.91,57.74,18.22,10.27
31.02,31.89,56.04,16.55,10.19
32,37.14,60.56,21.63,10.22
33.01,34.68,59.3,18.21,10.61
33.02,29.02,49.75,16.28,8.4
34.02,45.72,72.98,27.36,11.59
35.01,42.84,70.85,23.73,12.02
35.02,43.38,66.84,25.39,10.84
36.01,46.16,73.11,26.7,12.03
36.02,34.42,60.36,18.51,10.82
