"CT","mx_mean","mx_lb","mx_ub","mx_se"
1.01,2.1,0.34,7.51,1.86
1.02,2.45,0.4,8.91,2.47
2.01,2.42,0.29,8.83,2.7
2.04,2.03,0.34,6.82,1.71
3.01,2.85,0.42,10.28,2.67
3.02,3.24,0.44,15.02,3.54
4.01,2.69,0.49,8.69,2.33
5,3.49,0.57,12.09,3.52
6.01,2.06,0.29,7.82,2.14
6.02,2.88,0.39,10.93,3.06
7.01,2,0.26,7.99,2.29
7.02,2.26,0.27,9.1,4.05
8.01,2.32,0.24,8.59,2.5
8.02,1.72,0.25,6.17,1.67
9,2.01,0.31,7.44,1.99
10.02,2.5,0.35,9.91,2.67
11,2.82,0.44,9.8,2.57
13.01,2.72,0.49,8.74,2.48
13.03,2.41,0.38,8,2.15
13.04,2.29,0.33,8.97,2.51
14.02,2.15,0.27,8.06,2.36
15.01,2.47,0.35,9.27,2.89
15.02,2.37,0.41,7.82,2.42
16.01,1.91,0.29,6.4,1.74
16.05,2.35,0.35,8.14,2.43
17.01,5.97,0.8,24.07,7.09
17.02,2.15,0.33,7.47,2.15
18.02,2.65,0.47,8.36,3.2
19,4.27,0.65,14.4,4.36
20,4.26,0.79,14.67,4.09
21,2.89,0.41,11.19,5.06
23,2.04,0.29,7.61,2.08
24,2.03,0.3,7.57,1.96
25,1.72,0.25,5.87,1.69
26,1.75,0.25,5.84,1.82
27.01,2.23,0.32,8.14,2.78
27.02,2.23,0.31,8.55,2.24
28,3.26,0.5,12.09,3.46
29,35.53,10.34,88.12,20.64
30,3.01,0.45,10.68,3.26
31.01,3.91,0.65,14.3,3.8
31.02,2.91,0.46,10.25,3.09
32,2.48,0.42,8.31,2.44
33.01,4.77,0.72,16.29,4.8
33.02,2.35,0.4,8.48,2.32
34.02,3.14,0.48,11.25,3.25
35.01,2.6,0.35,9.69,2.82
35.02,2.83,0.43,9.88,2.96
36.01,3.1,0.45,11.73,3.34
36.02,4.37,0.51,16.68,5.28
37.01,3.04,0.47,10.02,3.07
37.02,2.87,0.41,10.66,2.95
38,3.27,0.54,10.75,3.16
39.01,3.91,0.63,14.09,4.12
39.02,3.17,0.47,12.27,3.3
40.01,3.2,0.45,11.83,3.06
40.02,3.53,0.5,12.67,3.61
41.01,2.85,0.44,11.5,3.21
41.02,2.4,0.36,9.08,2.89
42,2.61,0.33,9.45,5.41
43.02,1.93,0.25,7.1,2.05
44,3.65,0.49,13.75,3.89
45.01,2.94,0.43,10.21,3.01
45.02,2.79,0.46,9.53,2.78
46,2.63,0.39,10.14,2.78
47.01,5.89,0.75,24.58,8.22
48,2.25,0.35,7.47,2.19
49.01,2.39,0.39,7.68,2.32
49.02,1.92,0.21,7.74,2.27
50.02,2.73,0.44,9.3,2.42
50.03,3.13,0.57,10.76,2.86
50.04,3.11,0.41,12.31,3.57
51.01,3.04,0.47,11.03,3.45
51.02,2.3,0.36,7.53,2.23
52.01,2.83,0.47,9.76,2.79
52.02,2.84,0.41,11.26,2.94
53.01,6.32,0.93,22.29,7.85
53.02,2.34,0.28,9.51,2.83
54.01,2.88,0.59,9.51,2.48
54.02,2.37,0.36,8.86,2.4
55.01,2.94,0.38,11.87,3.38
55.02,6.62,0.85,25.96,8.88
56.02,6.18,0.99,21.6,7.3
57.02,3.17,0.47,11.07,2.97
59.06,3.5,0.44,14.86,4.22
59.07,3.69,0.62,12.5,3.13
59.09,2.95,0.35,12.46,3.4
59.1,3.12,0.38,11.52,3.27
59.11,3.71,0.75,11.91,2.93
60.02,4.98,0.66,18.12,5.04
61,4.79,0.41,20.95,7.39
62,3.41,0.4,12.95,4.3
64,3.03,0.42,10.32,3.41
65,3.89,0.7,14.12,3.47
67.01,3.4,0.46,13.85,4.01
68,3.04,0.33,12.16,3.2
69.02,1.48,0.31,5.05,1.27
100.01,1.89,0.11,8.33,2.88
100.02,3.84,0.33,18.26,4.95
101.03,2.99,0.2,15.19,4.41
101.04,2.06,0.11,10.27,3.05
101.06,1.87,0.13,9.66,2.55
103,1.8,0.15,7.92,2.54
104,1.33,0.09,5.55,2.41
110.02,1.67,0.05,9.3,3.02
110.03,1.73,0.08,9.65,3.38
110.04,2.12,0.11,11.17,3.5
111.02,1.44,0.09,6.75,2.66
111.05,1.37,0.13,5.52,2.51
111.07,1.23,0.18,4.69,1.3
112,1.52,0.21,5.23,1.49
113,1.36,0.17,5.3,1.65
114.01,1.31,0.13,5.83,1.64
114.02,1.07,0.11,4.38,1.28
115,1.25,0.16,4.85,1.34
116,1.38,0.19,5.46,1.61
117,1.82,0.27,6.32,2.2
118,2.87,0.5,8.77,2.38
120,1.69,0.2,6.74,1.88
121,1.47,0.19,6.06,1.97
122,1.44,0.23,5.09,1.34
130.03,1.56,0.16,5.68,2.39
131,1.3,0.18,4.88,1.37
132,1.38,0.15,6.48,1.88
133.01,1.94,0.19,7.95,2.67
133.02,1.34,0.15,6.25,1.59
134,1.25,0.18,4.44,1.34
135,1.5,0.22,6.21,2.12
140.02,2.16,0.37,7.04,1.84
140.03,1.97,0.37,6.88,1.75
140.04,2.03,0.26,7.63,2.08
141.01,1.74,0.24,6.21,2.02
142.01,1.61,0.2,6.56,2.15
142.02,1.75,0.21,8.11,2.02
142.03,1.45,0.16,6.03,1.77
143.01,3.07,0.42,12.19,3.32
143.02,1.66,0.27,5.4,1.59
143.03,2.22,0.3,8.24,2.29
144.04,2.28,0.29,8.98,2.89
144.06,1.94,0.27,7.11,2.67
145.01,1.66,0.29,6.06,1.52
145.02,2.02,0.23,8.28,2.44
146,2.54,0.38,8.45,2.45
147.01,2.88,0.45,11.3,2.88
147.09,2.62,0.34,9.52,3.3
148,2.16,0.35,8.56,2.24
149.02,1.66,0.18,7.03,1.89
149.05,6.05,0.7,27.37,7.57
149.08,2.58,0.41,9.61,2.68
149.09,1.9,0.27,8.03,1.95
150,2.05,0.31,7.52,2.15
151.03,2.2,0.29,8.43,2.17
151.05,1.69,0.25,6.14,1.95
151.07,2.12,0.34,6.68,2.61
151.08,1.78,0.26,7.14,2.08
160.01,1.62,0.12,7.46,2.43
160.02,1.71,0.21,7.01,2.26
160.03,1.57,0.15,6.8,2.32
160.04,1.68,0.2,7.33,2.01
161.02,2.8,0.37,10.62,3.05
161.03,2.6,0.31,9.42,3.28
161.05,2.68,0.4,10.93,2.85
161.06,3.1,0.43,10.7,2.93
161.08,2.29,0.2,9.38,4.18
161.09,1.89,0.31,6.15,1.68
162.01,2.35,0.4,8.17,2.18
162.02,2.06,0.32,7.43,2.08
162.03,2.5,0.39,8.64,2.44
162.04,2.51,0.43,9.08,2.74
163.01,2.3,0.33,9,3.14
163.04,2.53,0.35,8.88,2.44
163.05,2.4,0.34,9.15,2.77
163.06,2.56,0.37,10.03,2.76
163.07,2.91,0.46,10.11,3.01
163.08,2.7,0.36,9.51,2.68
170.03,1.69,0.24,6.23,1.83
170.04,1.54,0.19,5.6,1.59
170.05,1.74,0.19,6.84,1.98
170.07,1.97,0.27,8.03,2.16
180.01,1.73,0.26,5.77,2.01
180.04,1.6,0.28,5.02,1.54
181.03,1.56,0.21,5.88,1.71
181.05,1.5,0.24,5.05,1.56
181.07,1.84,0.19,8.64,2.18
181.08,2.36,0.25,9.7,3.61
181.09,2,0.24,8.25,2.38
181.11,1.81,0.2,7.87,3.02
181.12,2.18,0.25,9.18,3.2
181.13,1.54,0.23,5.86,1.58
181.14,1.9,0.21,9.05,2.44
181.16,1.68,0.18,7.34,2.25
182.01,1.99,0.32,7.08,1.92
182.04,3.01,0.53,10.51,2.85
182.05,2.11,0.37,6.76,1.9
183.01,1.83,0.29,6.23,1.95
183.03,1.81,0.27,6.75,1.86
183.05,2.03,0.39,6.4,1.59
183.06,2.45,0.41,8.18,2.28
183.07,1.85,0.27,6.98,1.81
184.02,3.76,0.78,12.04,3.08
184.06,1.95,0.32,6.49,1.84
184.07,3.14,0.47,10.36,3.06
184.08,2.27,0.33,8.52,2.76
184.09,7.48,1.42,26.16,6.87
184.1,2.4,0.33,9.2,2.55
184.11,2.13,0.32,7.1,2.2
184.12,2.91,0.56,10.44,2.75
184.13,2.21,0.35,8.23,2.38
184.14,1.98,0.27,7.67,2.29
184.15,3.43,0.55,12.97,3.33
184.16,5.52,0.84,19.5,5.61
185.05,3.39,0.58,11.93,3.04
185.07,2.07,0.34,7.44,1.93
185.08,2.41,0.33,8.98,2.46
185.09,2.89,0.42,10.03,2.54
185.1,3.21,0.47,11.08,3.3
185.11,5.29,0.8,17.48,6.34
185.12,3.25,0.55,10.5,2.95
185.15,4.07,0.76,12.85,3.78
185.16,4.61,0.74,15.62,4.34
185.17,6.33,0.74,27.22,9.03
185.18,3.07,0.5,11.36,3.11
185.19,3.06,0.44,10.05,3.29
185.2,6.12,0.99,20.41,5.93
185.21,3.51,0.63,11.61,2.91
186.01,3.97,0.67,12.76,3.67
186.02,2.94,0.44,10.18,3.02
186.05,2.8,0.51,9.74,2.44
186.06,3.51,0.61,12.9,3.16
186.07,4.68,0.74,16.12,4.6
186.08,2.74,0.46,9.16,2.68
187.03,5.59,0.92,19.42,5.83
187.04,3.7,0.72,12.24,3.25
187.06,2.28,0.35,8.81,2.36
187.11,2.26,0.34,7.77,2.21
187.12,2.5,0.33,9.11,2.6
187.13,2.71,0.44,8.99,2.65
187.14,3.17,0.33,13.89,4.41
187.15,2.55,0.4,9.14,2.78
188.01,1.75,0.24,6.31,1.98
188.04,2.39,0.4,8.5,2.6
188.05,1.91,0.26,7.5,2.07
188.07,2.02,0.29,6.89,1.9
188.08,2.65,0.25,13.13,3.78
189.03,2.7,0.42,9.23,2.84
189.05,4.89,0.86,17.94,4.53
189.06,3.53,0.52,13.05,3.75
189.08,3.39,0.58,11.07,3.11
189.09,2.37,0.28,9.35,3.01
189.1,2.42,0.38,8.84,2.6
190.03,3.21,0.75,10.37,2.81
190.04,3.45,0.53,12.43,3.96
190.05,4.3,0.45,17.07,6.84
191.03,3.59,0.64,13.1,3.44
191.04,4.1,0.71,13.9,3.78
191.05,6.46,1.11,24.4,7.51
192,3.36,0.64,10.85,2.94
200,2.28,0.35,8.21,2.32
201,2.72,0.36,9.81,2.62
202,2.61,0.42,9.07,2.64
203,3.45,0.49,13.46,3.66
204.01,2.83,0.37,10.7,2.99
204.02,2.48,0.41,8.32,2.19
205.02,2.07,0.26,7.2,2.03
207,3.77,0.42,15.76,4.93
208,2.35,0.32,8.34,2.39
209,2.36,0.39,8.73,2.32
210,2.87,0.56,8.79,2.52
220,2.32,0.36,8.41,2.81
221.01,7.14,0.79,28.94,9.05
221.03,3.52,0.49,13.62,3.89
221.04,1.85,0.34,5.8,1.7
222.01,1.98,0.29,6.82,1.79
222.02,2.19,0.33,8.02,2.19
223.01,3.44,0.6,11.25,3.1
223.02,1.94,0.28,6.8,1.94
224.02,2.27,0.37,7.89,2.22
225.01,2.33,0.3,8.49,2.4
225.02,2.07,0.29,7.55,2.39
226.02,3.02,0.44,10.62,3.11
226.04,2.44,0.36,9.65,2.32
228.02,2.7,0.34,10.62,3.55
228.04,2.19,0.37,8.52,2.18
229,2.54,0.46,9.39,2.3
230.01,2.04,0.32,7.62,2.13
230.02,2.78,0.43,11.51,2.89
231,1.84,0.27,6.04,1.76
232,2.1,0.28,8.7,2.37
233,1.91,0.26,6.69,2.67
234,2.12,0.35,7.26,1.97
235.02,2.02,0.34,6.86,1.78
235.03,2.39,0.28,9.77,2.62
236,2.44,0.38,9.49,3.15
237,6.09,1,19.56,5.47
238.01,2.6,0.36,8.82,2.8
238.02,2.12,0.37,7.74,2.35
239.02,2.85,0.37,10.94,3.43
240.01,2.69,0.41,9.93,2.48
240.02,2.45,0.36,9.22,3.03
241,2.11,0.27,7.72,2.65
242,2.56,0.33,9.59,3.18
243.01,2.43,0.34,8.76,2.52
243.02,2.03,0.3,6.53,1.81
250.02,1.38,0.23,4.47,1.27
251.01,1.81,0.22,6.13,2
260.04,2.47,0.24,12.23,3.43
260.05,1.86,0.23,6.98,2.44
260.06,1.45,0.16,5.28,1.91
260.07,1.64,0.19,5.84,2.02
260.08,2.85,0.36,10.9,3.4
281.01,2.23,0.23,9.19,2.66
281.02,1.88,0.28,6.45,1.87
282.01,4.05,0.53,16.47,4.71
282.02,2.72,0.36,9.64,2.52
283,3.22,0.55,10.99,3.36
284.01,2.09,0.35,8.16,2.3
284.02,2.34,0.34,8.2,2.21
285.01,2.58,0.41,10.05,2.54
285.02,1.82,0.32,6.21,1.64
286.02,1.36,0.29,4.17,1.09
287.01,3.51,0.57,11.58,3.26
287.06,1.69,0.2,7.08,1.89
287.09,1.87,0.18,8.07,3.3
287.11,1.52,0.22,5.43,1.51
290.02,2.29,0.4,7.41,2.57
290.04,1.59,0.3,5.55,1.43
290.05,2.63,0.33,10.62,3.29
291.01,3.14,0.54,10.21,3.05
291.02,4.57,0.73,15.76,4.47
292.01,1.94,0.38,6.56,1.78
292.03,1.76,0.23,6.81,1.84
292.04,2.01,0.25,7.77,2.33
400.04,2.32,0.38,8.72,2.11
400.05,1.7,0.25,5.83,1.59
400.06,2.41,0.26,9.61,2.96
401.01,3.85,0.52,13.77,4.06
401.02,2.35,0.38,7.74,2.15
402.02,2.23,0.34,8.14,2.4
402.03,3.24,0.38,13.68,4.02
403.01,1.6,0.25,5.26,1.42
403.04,2.15,0.31,7.44,2.04
403.05,2.14,0.27,8.84,2.28
404.01,2.01,0.3,8.67,2.48
404.02,1.98,0.33,6.74,1.81
410.02,1.74,0.31,6.23,2.18
410.04,2.06,0.3,7.78,2.35
410.05,1.72,0.21,7.36,2.01
410.06,1.9,0.24,7.35,2.05
501.01,2.23,0.48,6.91,1.82
501.02,2.14,0.3,8.33,2.7
501.03,2.47,0.3,8.98,2.64
502.01,4.38,0.67,15.85,4.44
502.02,1.89,0.25,7.6,1.99
502.03,1.95,0.28,7.46,2.15
502.06,1.91,0.28,7.07,2.12
502.07,2.24,0.36,7.99,2.3
503.01,3.08,0.42,11.98,3.76
503.03,5.07,1,16.51,4.16
503.07,7.81,0.89,27.68,10.48
503.09,2.42,0.32,9.06,2.87
504.03,2,0.3,6.57,1.84
504.05,1.49,0.24,4.89,1.4
504.08,1.93,0.25,7.42,2.58
504.09,2.38,0.45,7.47,1.9
504.1,3.12,0.44,12.36,3.36
505.01,2.08,0.37,7.02,1.86
506.01,2.35,0.25,9.15,3.04
506.02,2.66,0.34,10.31,3.19
