"CT","mx_mean","mx_lb","mx_ub","mx_se"
1.01,7.52,4.58,11.15,1.79
1.02,6.59,3.66,10.53,1.82
2.01,6.02,3.3,10.38,1.78
2.04,8.11,5.15,12.75,1.95
3.01,7.29,4.04,12.71,2.17
3.02,11.63,6.35,20.45,3.53
4.01,10.94,6.83,17.05,2.56
5,7.76,4.26,12.77,2.2
6.01,5.33,2.92,9.09,1.55
6.02,9.42,5.03,16.01,2.81
7.01,6.24,3.53,10.79,1.78
7.02,5.48,3.08,9.21,1.62
8.01,29.25,9.77,66.31,15.07
8.02,5.2,2.96,8.5,1.44
9,5.36,3.18,8.66,1.41
10.02,5.95,3.52,9.41,1.54
11,7.03,4.09,11.24,1.88
13.01,6.4,3.73,9.98,1.59
13.03,6.47,3.41,11,1.99
13.04,7.47,3.99,13.05,2.3
14.02,7.17,4.19,11.35,1.94
15.01,5.99,3.23,10.07,1.91
15.02,7.97,4.86,12.32,1.97
16.01,6.51,3.5,10.99,2
16.05,6.42,3.49,11.23,1.94
17.01,6.79,3.94,10.96,1.82
17.02,5.72,3.07,9.72,1.74
18.02,5.96,3.6,9.2,1.45
19,8.02,4.6,13.17,2.26
20,6.31,4.08,9.04,1.29
21,7.71,4.39,12.47,2.11
23,5.54,3.13,9.18,1.51
24,4.48,2.45,7.75,1.35
25,5.25,2.9,8.94,1.55
26,6.31,3.59,10.31,1.74
27.01,6.36,3.64,10.62,1.76
27.02,6.42,3.7,9.77,1.57
28,8.18,4.55,14.21,2.47
29,11.15,6.91,16.78,2.54
30,7.01,4.04,11.25,1.97
31.01,7.44,4.09,12.64,2.17
31.02,6.74,3.75,11.04,1.91
32,7.52,4.36,12.4,2.1
33.01,6.59,3.51,11.08,1.9
33.02,6.37,3.61,10.29,1.76
34.02,7.21,4.32,11.92,1.9
35.01,5.84,3.22,10.22,1.76
35.02,7.53,4.35,12.12,2.01
36.01,5.66,3.21,9.93,1.7
36.02,5.57,2.79,9.89,1.88
37.01,6.49,3.6,11.25,1.95
37.02,6.43,3.38,10.7,2.01
38,10.13,5.93,15.62,2.58
39.01,7.36,4.14,12.61,2.16
39.02,11.73,7.05,18.13,3.04
40.01,10.54,5.52,18.71,3.54
40.02,7.5,4.24,12.77,2.17
41.01,9.4,5.36,15.05,2.48
41.02,8.63,5.11,13.52,2.15
42,5.49,3.13,9,1.48
43.02,5.94,3.15,10.4,1.91
44,5.71,2.98,9.91,1.8
45.01,6.51,3.07,11.93,2.24
45.02,8.07,4.64,13.49,2.3
46,8.35,4.39,13.91,2.51
47.01,11.01,6.07,17.98,3.07
48,7.82,4.61,12.8,2.13
49.01,9.03,5.35,14.41,2.33
49.02,6.96,3.66,12.18,2.21
50.02,8,4.7,12.58,2.1
50.03,8.55,4.92,13.94,2.37
50.04,11.35,5.79,20.38,3.75
51.01,5.45,3.14,8.82,1.59
51.02,7.19,4.11,11.87,2
52.01,5.6,3.26,9.09,1.5
52.02,4.97,2.75,8.1,1.39
53.01,6.36,3.32,11.57,2.07
53.02,6.07,2.95,11.36,2.16
54.01,9.58,6,14.1,2.1
54.02,5.31,3.03,8.89,1.57
55.01,7.07,3.47,13.05,2.46
55.02,7.38,3.47,14.4,2.78
56.02,9.33,4.8,16.6,3.04
57.02,7.51,4.63,11.91,1.9
59.06,12.78,6.71,22.45,3.95
59.07,11.06,6.44,18.6,3.09
59.09,11.95,5.87,22.76,4.13
59.1,8.14,4.33,13.4,2.43
59.11,5.72,3.38,9.13,1.52
60.02,10.36,5.38,18.9,3.53
61,8.06,3.52,16.28,3.33
62,6.31,3.3,10.84,1.95
64,7.62,4.61,12.07,1.9
65,7.16,4.09,11.88,1.94
67.01,7.11,3.64,12.72,2.33
68,5.2,2.65,9.31,1.75
69.02,5.98,3.66,9.13,1.41
100.01,14.87,8.39,24.84,4.29
100.02,8.14,4.4,14.63,2.62
101.03,8.76,4.61,15.08,2.69
101.04,11.03,6.4,18.22,3.12
101.06,9.68,5.66,15.83,2.6
103,6.84,3.89,11.44,1.92
104,7.11,4.09,11.8,2.13
110.02,10.96,4.49,22.48,4.76
110.03,7.66,3.44,14.58,2.89
110.04,7.95,3.91,15.18,2.92
111.02,6.66,3.56,11.31,2.11
111.05,12.2,6.67,20.38,3.66
111.07,9.7,5.15,16.77,3.09
112,8.43,4.44,14.55,2.65
113,8.47,4.72,13.3,2.31
114.01,6.1,2.76,12.2,2.43
114.02,7.8,3.67,14.02,2.82
115,7.2,4.17,11.69,1.96
116,6.52,3.47,11.29,1.97
117,5.65,3.15,9.04,1.53
118,6.87,4.01,11.25,1.79
120,5.19,2.65,9.08,1.69
121,5.23,2.57,9.7,1.85
122,5.11,2.69,8.79,1.54
130.03,9.98,5.77,16.36,2.59
131,6.93,4.59,9.75,1.36
132,6.09,3.03,11.46,2.22
133.01,6.72,3.01,13.47,2.67
133.02,5.21,2.61,9.05,1.68
134,8.02,4.74,13.07,2.16
135,5.06,2.75,8.52,1.52
140.02,6.72,4.04,10.42,1.63
140.03,6.51,3.94,10.16,1.62
140.04,5.57,2.67,10.72,2.01
141.01,6.84,3.77,10.98,1.87
142.01,7.71,4.22,13.2,2.35
142.02,6.07,3.06,10.95,2.17
142.03,5.24,2.76,9.35,1.66
143.01,6.1,3.32,10.2,1.81
143.02,7.59,4.8,11.37,1.69
143.03,7.41,3.98,12.26,2.22
144.04,9.25,4.89,16.59,3.05
144.06,6.08,3.5,9.97,1.66
145.01,6.83,4.07,10.64,1.64
145.02,5.4,2.63,10.23,1.98
146,5.45,3,9.28,1.64
147.01,6.23,3.48,10.65,1.81
147.09,6.98,4.05,11.09,1.81
148,10.88,6.91,16.08,2.39
149.02,5.38,2.58,10.29,2.01
149.05,8.12,4.11,14.2,2.65
149.08,5.88,3.33,9.76,1.64
149.09,6.76,3.65,11.97,2.16
150,7.13,3.84,11.92,2.09
151.03,8.14,4.5,13.87,2.46
151.05,8.5,4.95,14.06,2.29
151.07,7.83,4.95,12.14,1.9
151.08,6.57,3.55,11.09,2
160.01,4.99,2.2,10.66,2.21
160.02,5.66,3.16,9.42,1.68
160.03,10.27,5.75,17.99,3.03
160.04,6.88,3.73,11.84,2.11
161.02,9.09,4.95,15.31,2.66
161.03,11.27,6.21,19.27,3.31
161.05,8.69,4.39,15.08,2.79
161.06,6.67,3.84,11,1.94
161.08,23.39,8.24,55.91,12.27
161.09,17.21,9.51,28.31,4.86
162.01,9.96,5.63,16.27,2.71
162.02,10.03,5.28,17.39,3.11
162.03,10.55,6.19,17.2,2.87
162.04,9.33,5.24,15.2,2.59
163.01,8.47,4.35,14.64,2.7
163.04,8.37,4.46,13.65,2.37
163.05,8.55,4.76,14.6,2.6
163.06,8.2,4.45,13.99,2.46
163.07,9.94,5.81,16.79,2.81
163.08,8.14,4.29,14.75,2.66
170.03,9.66,6.06,15.02,2.28
170.04,11.69,7.16,17.87,2.76
170.05,8.4,4.9,13.91,2.31
170.07,14.74,9.42,22.28,3.27
180.01,16.25,8.86,27.51,4.79
180.04,10.73,6.22,17.66,2.83
181.03,7.92,4.2,13.7,2.47
181.05,11.03,7.54,15.54,2.18
181.07,8.23,3.93,15.42,3.01
181.08,8.41,3.72,16.66,3.2
181.09,10.09,6.04,15.89,2.59
181.11,8.34,4.75,13.51,2.39
181.12,7.77,3.92,14.42,2.68
181.13,7.92,4.98,11.93,1.8
181.14,11.76,6.44,20.42,3.62
181.16,13.82,8.17,21.88,3.55
182.01,10.54,6.53,15.9,2.45
182.04,9.4,5.4,15.13,2.47
182.05,9.85,5.83,15.83,2.52
183.01,9.23,4.71,15.8,2.83
183.03,11.19,6.55,17.87,2.94
183.05,10.3,6.04,16.51,2.8
183.06,12.94,7.58,19.85,3.17
183.07,8.58,4.55,14.52,2.53
184.02,12.9,7.74,20.17,3.33
184.06,6.53,3.38,10.95,1.94
184.07,10.97,6.39,17.86,2.85
184.08,7.28,3.78,13.08,2.39
184.09,9.1,4.84,16.25,2.91
184.1,9.27,4.99,15.75,2.86
184.11,7.03,3.75,12.04,2.2
184.12,8.8,4.59,15.5,2.84
184.13,11.81,6.09,20.8,3.83
184.14,8.26,4.08,14.92,2.83
184.15,8.81,4.53,14.93,2.78
184.16,8.01,4.28,14.33,2.54
185.05,9.07,5.27,14.63,2.43
185.07,9.04,5.21,15.16,2.61
185.08,7.92,4.01,14.19,2.68
185.09,9.42,5.67,15.36,2.5
185.1,7.63,4.14,12.96,2.35
185.11,8.4,4.69,14.31,2.51
185.12,8.01,4.38,13.67,2.25
185.15,9.11,5.18,14.56,2.57
185.16,9.02,5.06,15.36,2.76
185.17,8.47,4.19,14.76,2.77
185.18,9.33,5.27,16.25,2.94
185.19,10.1,5.23,17.29,3.11
185.2,9.16,4.71,15.27,2.75
185.21,9.29,5.44,15.35,2.54
186.01,9.12,4.86,15.65,2.74
186.02,11.92,6.76,19.83,3.41
186.05,9.18,5.21,14.81,2.51
186.06,9.4,5.27,15.42,2.68
186.07,9.52,5.1,16.12,2.78
186.08,13.67,8.04,22.26,3.68
187.03,9.27,5.31,15.43,2.67
187.04,17.99,11.27,27.99,4.09
187.06,8.87,5.3,14.05,2.32
187.11,8.68,4.58,15.7,2.78
187.12,7.91,4.47,13.53,2.29
187.13,8.62,4.84,13.85,2.36
187.14,12.3,6.73,21.46,3.76
187.15,13.02,7.68,21.57,3.43
188.01,8.28,4.49,14.68,2.61
188.04,9.2,5.49,14.84,2.44
188.05,7.99,4.29,13.34,2.35
188.07,7.49,3.73,13.69,2.56
188.08,9.45,4.21,18.22,3.73
189.03,10.56,5.81,17.35,2.95
189.05,8.52,5.35,13.05,2.06
189.06,14.59,7.33,25.39,4.82
189.08,11.37,6.31,18.72,3.24
189.09,7.97,4.1,14.71,2.69
189.1,7.88,4.33,12.64,2.22
190.03,17.92,12.14,24.92,3.26
190.04,13.14,7.39,21.95,3.83
190.05,11.83,5.33,22.86,4.64
191.03,9.31,5.12,15.5,2.66
191.04,24.28,14.75,37.58,5.76
191.05,11.87,6.48,21.35,3.69
192,10.02,6.34,15.08,2.33
200,7.12,3.75,12.55,2.3
201,6.72,3.52,12.13,2.31
202,7.85,4.64,12.98,2.13
203,6.16,3.26,10.51,1.99
204.01,8.19,3.75,15.32,2.97
204.02,7.3,4.12,12.2,2.02
205.02,8.54,5.05,13.99,2.26
207,9.81,4.91,17.35,3.22
