"CT","mx_mean","mx_lb","mx_ub","mx_se"
1.01,101.02,75.56,135.97,15.39
1.02,70.79,46.03,102.85,14.68
2.01,34.32,20.14,54.37,8.9
2.04,149.45,114.19,190.32,19.41
3.01,57.02,33.76,93.05,15.22
3.02,107.78,73.78,153.64,21.15
4.01,133.23,100.58,173.08,18.27
5,40.24,23.06,66.32,11.07
6.01,40.32,23.43,62.92,10.12
6.02,265.06,193.21,350.86,40.74
7.01,66.24,42.26,98.91,14.23
7.02,79.53,50.48,119.58,18.23
8.01,76.88,37.05,138.69,26.15
8.02,52.85,32.5,82.52,12.9
9,44.1,29.04,64.81,9.17
10.02,125.65,89.64,172.08,21.24
11,52.48,35.09,77.42,11.06
13.01,51.39,33.51,74.05,10.71
13.03,63.52,38.96,100.94,15.33
13.04,56.41,34.07,90.31,14.32
14.02,46.29,29.5,67.83,10.19
15.01,44.86,26.7,70.81,11.71
15.02,85.09,62.63,114.03,13.31
16.01,34.84,19.65,57.5,9.96
16.05,33.21,19.92,52.74,8.33
17.01,39.43,25.37,58.67,8.63
17.02,47.69,29.27,74.1,11.64
18.02,47.31,32.13,66.6,8.68
19,106.17,72.37,150.85,19.45
20,120.84,94.33,149.81,14.01
21,82.42,53.46,122.25,18.54
23,89.01,61.81,128.94,16.76
24,60.65,38.48,88.87,13.17
25,113.98,78.42,158.82,20.68
26,64.71,42.25,95.3,13.76
27.01,49.09,32.13,71.09,9.79
27.02,113.38,82.35,146.82,16.6
28,75.88,47.34,118.58,18.33
29,189.89,143.48,248.26,26.59
30,43.64,26.55,68.46,10.81
31.01,60.96,38,94.51,14.81
31.02,39.21,22.62,63.52,10.79
32,92.06,60.82,135.55,19.2
33.01,57.67,33.76,90.51,14.44
33.02,55.07,36.19,79.61,11.15
34.02,76.68,53.21,107.35,13.62
35.01,57.25,36.56,87.73,13.52
35.02,104.46,74.65,140.62,17.61
36.01,61.13,40.42,90.25,12.22
36.02,42.74,25.44,66.43,10.69
37.01,46.62,26.56,78.75,13.47
37.02,70.38,40.37,115.87,20.43
38,88.52,59.3,126.43,17.4
39.01,55.85,31.46,97.31,16.49
39.02,204.17,154.4,268.97,30
40.01,53.62,24.7,101.44,20.18
40.02,47.08,28.84,74.49,11.5
41.01,123.84,84.02,177.58,23.19
41.02,45.95,30.12,67.85,9.71
42,42.31,25.02,67.28,10.29
43.02,74.31,44.98,114.48,18.06
44,44.57,27.88,67.59,10.21
45.01,76.62,44.37,123.22,20.29
45.02,74.79,45.59,117.46,18.59
46,65.02,37.03,103.82,16.6
47.01,164.75,114.87,222.77,27.96
48,52.2,31.62,81.43,13.09
49.01,77.77,49.03,118.47,17.95
49.02,99.01,70.14,135.69,17.13
50.02,51.27,31.27,78.08,12.06
50.03,74.31,42.82,118.61,20.09
50.04,62.88,33.95,106.76,19.13
51.01,43.29,25.22,70.5,11.96
51.02,104.74,71.72,149.51,19.24
52.01,88.07,62.84,119.72,15.04
52.02,82.74,56.17,117.18,15.63
53.01,45.69,28.87,68.63,10.21
53.02,51.25,28.8,85.83,15.29
54.01,42.05,29.26,58.27,7.42
54.02,56.77,35.28,85.89,12.96
55.01,37.81,21.13,62.61,11.04
55.02,54.85,31,89.04,14.89
56.02,74.11,41.34,128.9,22.17
57.02,53.23,35.85,76.64,10.43
59.06,121.34,83.27,167.67,22.02
59.07,131.05,97.53,176.54,20.28
59.09,53.52,26.38,95.44,18.28
59.1,63.71,33.24,107.85,19.47
59.11,60.8,38.94,91.61,13.51
60.02,38.08,21.39,64.44,11.6
61,43.99,24.91,71.11,12.31
62,45.61,28.99,69.08,10.19
64,37.76,24.33,56.86,8.36
65,140.46,103.83,186.82,21.36
67.01,41.86,22.68,71.2,12.54
68,38.83,22.98,62.48,10.45
69.02,82.4,60.41,107.81,12.64
100.01,256.39,190.83,337.93,38.66
100.02,37.53,22.13,60.27,9.86
101.03,37.36,21.91,60.11,9.59
101.04,34.69,22.15,53.38,8.17
101.06,32.98,20.99,48.26,7.16
103,27.19,16.8,41.2,6.26
104,37.45,23.58,58.96,9.21
110.02,64.52,34.69,107.42,19.1
110.03,51.05,25.23,89.09,16.16
110.04,58.73,31.85,101.61,17.93
111.02,55.86,36.12,81.5,11.67
111.05,221.79,163.35,291,32.69
111.07,51.02,27.02,89.03,16.95
112,54.28,31.77,87.08,14.13
113,87.8,61.15,120.4,15
114.01,57.84,28.69,102.1,19.81
114.02,84.9,51.56,127.81,20.02
115,211.31,158.97,274.2,30.33
116,41.58,24.68,66.4,11
117,46.93,30.99,66.48,9.5
118,43.08,29.55,60.73,8
120,34.19,20.23,54.03,9.03
121,51.67,30.42,81.55,13.39
122,48.3,27.53,77.23,12.45
130.03,93.31,69.53,121.05,13.41
131,57.92,44.96,73.45,7.37
132,56.89,34.33,90.04,14.13
133.01,47.97,27.65,78.95,13.45
133.02,48.47,30.2,73.98,10.93
134,134.59,99.01,185.16,21.9
135,55.66,35.13,80.93,11.87
140.02,43.77,28.54,63.54,9.13
140.03,54.03,31.58,85.8,13.92
140.04,35.42,17.64,62.87,12.48
141.01,54.52,37.56,76.6,10.24
142.01,40.95,24.24,67.15,11.13
142.02,53.33,31.02,84.9,14.77
142.03,56.51,37.2,83.81,11.77
143.01,36.36,20.61,59.82,10.24
143.02,90.73,65.26,122.33,14.64
143.03,34.38,19.87,56.04,9.58
144.04,86.6,57.53,127.84,18.11
144.06,52.02,33.84,77.71,10.98
145.01,29.73,18.19,45.03,6.94
145.02,34.87,17.73,60.7,11.26
146,41.14,24.6,66.18,11.26
147.01,27.92,17.7,43.78,6.48
147.09,42.26,28.77,59.31,7.86
148,135.69,102.19,177.92,19.08
149.02,33.34,17.79,55.82,10.22
149.05,30.37,14.41,60.26,11.35
149.08,33.89,21.46,51.09,7.57
149.09,54.22,30.18,94.26,16.33
150,58.84,27.16,114.56,22.8
151.03,43.95,22.86,80.48,14.3
151.05,103.63,71.98,146.18,18.93
151.07,38.48,26.65,52.88,6.96
151.08,30.77,17.87,49.56,8.24
160.01,85.25,52.12,130.97,20.14
160.02,52.35,35.67,73.26,10.07
160.03,122.88,91.08,165.71,18.82
160.04,56.7,38.4,79.97,11.11
161.02,59.7,37.2,88.76,13.32
161.03,107.26,72.44,149.45,20.18
161.05,58.02,36.84,88.55,13.12
161.06,69.68,45.78,100.39,13.91
