"CT","mx_mean","mx_lb","mx_ub","mx_se"
1.01,12.05,8.02,17.79,2.51
1.02,12.46,7.42,19.56,3.17
2.01,13.56,8.05,21.93,3.57
2.04,14.96,9.98,21.93,3.25
3.01,15.71,8.86,25.48,4.36
3.02,21.12,12.29,33.88,5.69
4.01,19.51,12.92,28.44,3.86
5,13.03,7.69,21.03,3.4
6.01,9.05,4.91,14.79,2.43
6.02,20.36,12.14,32.3,5.13
7.01,9.12,5.18,14.98,2.45
7.02,8.17,4.61,13.57,2.33
8.01,25.06,8.66,53.8,12.38
8.02,6.59,3.73,10.5,1.74
9,6.98,4.23,11.16,1.77
10.02,13.44,8.59,20.33,3.01
11,10.76,6.59,16.73,2.68
13.01,9.91,6.01,15,2.31
13.03,13.45,7.58,21.6,3.58
13.04,11.44,6.24,19.61,3.44
14.02,9.41,5.59,14.73,2.35
15.01,11.46,6.23,18.91,3.45
15.02,10.46,6.58,15.99,2.38
16.01,11.64,6.65,19.41,3.27
16.05,11.83,6.82,18.77,3.1
17.01,9.56,5.88,15.05,2.31
17.02,13.71,8.08,21.8,3.51
18.02,11.73,7.59,17.3,2.49
19,10.5,6.22,17.09,2.73
20,11.17,7.68,15.55,2.06
21,9.19,5.3,14.9,2.55
23,7.14,4.23,11.65,1.9
24,4.94,2.76,8.5,1.51
25,8.96,5.16,14.6,2.39
26,5.69,3.24,9.33,1.57
27.01,6.09,3.45,9.93,1.7
27.02,9.83,5.98,14.57,2.25
28,10.34,5.6,17.61,3.1
29,15.72,9.77,23.06,3.63
30,11.2,6.57,18.36,2.98
31.01,12.37,7.13,20.23,3.44
31.02,10.12,5.81,16.55,2.76
32,13.57,8.3,21.23,3.32
33.01,12.01,6.86,19.6,3.24
33.02,12.68,7.61,19.67,3.15
34.02,14.58,9.15,22.34,3.3
35.01,14.88,8.85,24.44,3.98
35.02,18.78,11.54,27.38,4.18
36.01,19.02,12.25,29.92,4.41
36.02,12.22,6.53,20.47,3.68
37.01,12.63,7.15,20.89,3.5
37.02,13.81,7.73,22.82,3.95
38,14.74,8.91,23.04,3.64
39.01,11.11,6.31,18.38,3.07
39.02,20.65,13.14,30.7,4.66
40.01,9.14,4.6,16.41,3.2
40.02,10.07,5.68,16.49,2.88
41.01,8.84,5.28,14.34,2.34
41.02,6.51,3.77,10.43,1.68
42,5.42,3.02,9.02,1.5
43.02,5.73,3.12,9.89,1.84
44,6.87,3.66,11.51,2.06
45.01,6.02,2.8,11.16,2.18
45.02,5.44,2.96,9.41,1.67
46,5.76,2.91,10.02,1.84
47.01,8.44,4.43,14.16,2.49
48,6.98,3.91,11.65,1.99
49.01,10.21,6.29,16.21,2.55
49.02,11.78,6.49,20,3.56
50.02,15.19,9.38,22.86,3.53
50.03,15.37,9.01,24.17,4
50.04,21.55,11.8,36.67,6.38
51.01,13.06,7.74,21.05,3.63
51.02,16.79,10.41,25.82,3.98
52.01,14.5,9.02,22.13,3.26
52.02,12.06,7.03,19.17,3.03
53.01,11.64,6.65,19.23,3.25
53.02,12.88,6.67,23.15,4.12
54.01,19.05,12.78,27.18,3.8
54.02,13.85,8.26,21.77,3.66
55.01,16.4,9.26,27.7,4.8
55.02,14.13,6.96,24.78,4.7
56.02,17.34,8.89,31.23,5.48
57.02,19.02,12.2,28.53,4.21
59.06,38.08,23.85,58.46,9
59.07,15.8,9.6,25.06,3.97
59.09,22.59,11.25,41.14,7.66
59.1,15.39,8.27,25.09,4.38
59.11,10.74,6.6,17.19,2.7
60.02,15.41,8.35,26.37,4.9
61,10.24,4.59,20.09,3.93
62,8.16,4.27,14.02,2.53
64,12.57,7.97,19.03,2.86
65,13.46,8.49,20.82,3.09
67.01,13.54,6.83,23.97,4.4
68,8.23,4.31,14.3,2.61
69.02,7.15,4.36,10.87,1.69
100.01,28.66,18,43.57,6.73
100.02,19.75,11.44,33.14,5.66
101.03,14.86,7.78,24.66,4.59
101.04,15.69,9.32,25.98,4.3
101.06,12.69,7.64,19.72,3.24
103,12.42,7.46,19.62,3.14
104,12.33,7.53,20.12,3.21
110.02,13.42,5.75,26.3,5.65
110.03,7.75,3.44,15.96,3.05
110.04,11.15,5.56,20.53,3.85
111.02,10.82,5.93,18.17,3.02
111.05,13.73,8.02,22.17,3.74
111.07,17.5,10.16,28.59,4.81
112,14.18,8.02,23.7,4.21
113,14.84,8.84,22.69,3.62
114.01,17.29,7.67,34.2,6.59
114.02,20.45,11.09,34.85,6.18
115,19.33,12.57,28.72,4.19
116,9.54,5.44,16.05,2.74
117,9.07,5.1,14.37,2.45
118,10.91,6.65,16.85,2.6
120,6.23,3.02,11.12,2.13
121,7.81,3.91,14.01,2.69
122,6.51,3.43,11.21,1.99
130.03,10.79,6.48,17.3,2.77
131,6.36,4.03,9.58,1.36
132,4.83,2.21,9.27,1.88
133.01,4.32,1.81,9.22,1.9
133.02,4.6,2.27,8.28,1.55
134,7.43,4.42,12.08,2.03
135,5.32,2.82,9.27,1.66
140.02,10.29,6.62,15.48,2.27
