"CT","mx_mean","mx_lb","mx_ub","mx_se"
1.01,22.1,14.73,31.97,4.51
1.02,26.94,16.79,42.06,6.48
2.01,16.72,8.87,27.95,5
2.04,34.59,23.07,49.76,6.71
3.01,22.7,11.85,38.95,7.12
3.02,28.51,16.5,46.25,7.92
4.01,33.91,23.21,48.65,6.42
5,18.29,9.82,31.46,5.32
6.01,17.95,10.03,30.39,5.12
6.02,42.12,26.29,64.42,9.53
7.01,23.22,13.31,38.98,6.47
7.02,33.13,18.27,55.16,9.56
8.01,25.3,10.48,52.52,11.07
8.02,23.85,13.73,37.54,6.24
9,20.42,12.56,31.45,4.92
10.02,19.94,12.61,30.55,4.8
11,16.97,10.07,26.39,4.21
13.01,18.3,10.56,29.7,4.65
13.03,13.76,7.44,23.51,4.04
13.04,22.97,13.04,38.14,6.68
14.02,16.45,9.52,27.62,4.61
15.01,13.05,6.88,23.42,4.16
15.02,22.26,14.65,32.25,4.62
16.01,16.61,9.24,27.7,4.73
16.05,15.94,9,26.44,4.46
17.01,17.13,9.92,27.48,4.43
17.02,16.7,9.86,27.24,4.36
18.02,23.46,15.1,36.06,5.5
19,30.34,18.96,46.38,7.09
20,28.83,20.6,39.35,5.05
21,20.97,12.17,34.79,5.99
23,35.84,22.63,54.45,8.21
24,26.97,16.08,43.29,6.91
25,40.18,25.63,60.01,9.08
26,18.27,10.96,29.69,4.79
27.01,22.51,13.94,33.9,5.21
27.02,27.7,18.46,39.99,5.49
28,24.6,13.81,39.38,6.83
29,59,39.28,86.31,11.32
30,20.66,11.9,33.6,5.54
31.01,21.44,11.99,35.67,6.05
31.02,20.87,11.43,35.92,6.24
32,19.4,11.85,31.04,5.03
33.01,17.27,9.6,28.93,5.04
33.02,17.34,10.17,27.96,4.47
34.02,22.66,14.31,34.45,5.08
35.01,21.73,12.48,35.01,5.93
35.02,26.48,16.35,38.49,5.68
36.01,26.51,16.05,40.5,6.25
36.02,19.72,10.57,33.74,5.81
37.01,24.95,13.2,42.14,7.33
37.02,19.2,9.75,33.11,6.09
38,31.5,19.1,47.9,7.47
39.01,19.6,10.81,34.52,5.89
39.02,56.96,37.83,82.7,11.65
40.01,20.52,10.22,35.1,6.74
40.02,23.6,13.79,39.37,6.26
41.01,35.93,23.19,55.16,8.31
41.02,24.89,15.43,38.25,6.04
42,23.28,13.37,39.05,6.78
43.02,15.94,8.49,27.35,5.07
44,17.67,9.98,29.67,4.86
45.01,17.58,9.22,31.38,5.8
45.02,23.08,13.47,38.15,6.39
46,24.64,13.88,40.01,7.12
47.01,36.76,23.07,57.59,8.87
48,20.88,11.94,32.52,5.44
49.01,35.48,20.58,56.62,9.65
49.02,26.75,16.29,40.6,6.26
50.02,21.95,12.89,34.41,5.7
50.03,33.41,19.52,53.25,9.02
50.04,26.48,13.29,48.85,9.02
51.01,21.03,11.94,34.67,6.12
51.02,36,23.01,53.68,8.08
52.01,35.48,22.83,52.51,7.76
52.02,29.14,17.33,44.87,7.14
53.01,23.47,13.89,37.33,6.16
53.02,23.55,11.95,40.35,7.26
54.01,41.38,28.55,58.07,7.35
54.02,31.73,18.45,49.72,7.88
55.01,28.52,16.42,49.33,8.64
55.02,26.32,14.11,46.05,8.13
56.02,48.51,27.86,78.41,12.88
57.02,25.76,16.31,38.85,5.82
59.06,98.94,68.39,141.88,19.09
59.07,25.33,15.71,38.47,5.92
59.09,27.22,13.37,48.84,9.49
59.1,38.3,20.26,64.66,11.66
59.11,32.27,20.21,49.45,7.34
