"CT","mx_mean","mx_lb","mx_ub","mx_se"
1.01,1.26,0.51,2.55,0.56
1.02,1.41,0.51,2.92,0.69
2.01,1.45,0.5,3.42,0.76
2.04,2.68,1.25,5.38,1.13
3.01,1.94,0.71,4.43,0.98
3.02,2.08,0.65,5.07,1.22
4.01,2.01,0.82,4.27,0.9
5,2.22,0.82,4.8,1.08
6.01,2.85,1.05,6.45,1.38
6.02,2.73,0.92,6.3,1.42
7.01,2.26,0.84,5.12,1.08
7.02,2.76,1.09,6.3,1.35
8.01,6.78,0.46,28.94,10.74
8.02,1.73,0.66,3.6,0.8
9,1.65,0.67,3.54,0.74
10.02,2.45,0.99,5.07,1.1
11,2.02,0.79,4.26,0.95
13.01,1.73,0.7,3.46,0.72
13.03,2.33,0.81,5.23,1.21
13.04,1.87,0.66,4.63,1.05
14.02,1.76,0.67,3.72,0.78
15.01,1.42,0.47,3.19,0.82
15.02,1.27,0.51,2.68,0.59
16.01,1.69,0.59,3.67,0.96
16.05,1.55,0.53,3.71,0.79
17.01,1.48,0.6,3.15,0.68
17.02,2,0.7,4.59,1.02
18.02,1.83,0.76,3.72,0.75
19,2.25,0.86,4.87,1.09
20,2.5,1.24,4.5,0.85
21,2.02,0.76,4.25,0.94
23,2.26,0.9,5.06,1.03
24,2.26,0.81,5.53,1.17
25,1.77,0.62,4.08,0.91
26,1.73,0.63,3.68,0.82
27.01,2.03,0.74,4.47,0.97
27.02,2.53,1.01,5.05,1.05
28,2.29,0.8,5.71,1.28
29,4.72,1.98,9.2,1.93
30,2.25,0.86,5,1.12
31.01,3.76,1.32,9.02,2.06
31.02,2.28,0.84,5,1.08
32,1.84,0.74,4.12,0.89
33.01,1.85,0.65,4.33,0.93
33.02,1.88,0.7,3.94,0.93
34.02,2.26,0.91,5.02,1.05
35.01,2.06,0.74,4.85,1.09
35.02,1.92,0.76,3.94,0.88
36.01,1.89,0.69,4.44,1
36.02,2.26,0.65,5.65,1.33
37.01,1.95,0.7,4.5,0.99
37.02,1.71,0.58,3.77,0.89
38,2.25,0.85,4.79,1
39.01,2.5,0.96,5.46,1.2
39.02,3.2,1.23,6.62,1.51
40.01,2.52,0.84,6.46,1.49
40.02,2.06,0.77,4.94,1.1
41.01,2.34,0.9,5.03,1.06
41.02,2.3,0.93,4.85,1.01
42,1.89,0.72,3.99,0.87
43.02,2.21,0.74,5.35,1.24
44,2.03,0.64,5.05,1.22
45.01,1.86,0.49,4.6,1.15
45.02,1.98,0.72,4.66,1
46,2.03,0.67,4.71,1.07
47.01,2.11,0.67,5.2,1.2
48,3.34,1.39,7.65,1.58
49.01,1.91,0.76,3.92,0.83
49.02,1.98,0.51,5.89,1.38
50.02,1.45,0.53,3.1,0.67
50.03,1.86,0.67,4.12,0.9
50.04,1.73,0.55,4.17,1.01
51.01,1.47,0.56,3.4,0.77
51.02,1.86,0.7,4.13,0.91
52.01,1.77,0.72,3.71,0.83
52.02,2.03,0.74,4.32,0.96
53.01,1.38,0.42,3.43,0.87
53.02,1.89,0.55,4.79,1.15
54.01,1.71,0.67,3.63,0.78
54.02,1.46,0.51,3.25,0.75
55.01,1.62,0.47,4.27,1.04
55.02,1.63,0.36,4.93,1.26
56.02,1.57,0.45,4.13,1.03
57.02,1.6,0.61,3.66,0.82
59.06,3.08,0.71,8.99,2.21
59.07,2.19,0.73,5.51,1.2
59.09,3.05,0.8,8.67,1.98
59.1,2.59,0.86,5.73,1.34
59.11,1.86,0.72,4.06,0.92
60.02,2.95,0.88,7.52,2
61,3.97,0.95,12.36,2.94
62,1.85,0.58,4.57,1.08
64,2.07,0.85,4.32,0.91
65,1.95,0.69,4.48,0.95
67.01,2.51,0.74,6.35,1.51
68,2.63,0.84,6.35,1.5
69.02,1.63,0.68,3.31,0.67
100.01,3.36,1.22,7.51,1.74
100.02,2.29,0.75,6.26,1.4
101.03,2.28,0.74,5.69,1.3
101.04,2.14,0.76,5.21,1.21
101.06,2.06,0.72,4.76,1.09
103,1.46,0.56,3.33,0.73
104,2.46,0.91,5.59,1.26
110.02,2.18,0.38,7.26,3.23
110.03,2,0.5,6.32,1.5
110.04,1.98,0.51,5.74,1.43
111.02,2.5,0.78,6.28,1.41
111.05,2.26,0.68,6.09,1.4
111.07,2.81,0.95,6.78,1.54
112,2.17,0.74,5.11,1.19
113,2.47,0.85,5.41,1.2
114.01,2.43,0.62,7.15,1.7
114.02,2.5,0.69,6.09,1.62
115,2.71,1.05,5.69,1.19
116,1.91,0.68,4.47,0.98
117,1.43,0.52,2.99,0.66
118,1.6,0.58,3.54,0.8
120,1.83,0.57,4.46,1.01
121,2.48,0.68,6.72,1.71
122,1.81,0.63,4.06,0.91
130.03,2.5,0.82,5.61,1.32
131,1.34,0.6,2.47,0.51
132,1.88,0.49,4.93,1.36
133.01,1.5,0.33,4.74,1.24
133.02,1.39,0.39,3.58,0.86
134,1.95,0.72,4.47,1.03
135,1.58,0.52,3.6,0.85
140.02,1.63,0.71,3.31,0.68
140.03,1.74,0.74,3.33,0.73
140.04,2.35,0.68,6.66,1.53
141.01,1.83,0.63,3.97,0.93
142.01,2.26,0.74,5.66,1.22
142.02,3.66,1.16,9.52,2.28
142.03,1.72,0.54,4.23,0.99
143.01,3.29,1.14,7.9,1.86
143.02,2.28,1.02,4.43,0.91
143.03,2.16,0.77,4.6,1.09
144.04,1.88,0.54,5.03,1.23
144.06,1.82,0.69,3.98,0.88
145.01,1.76,0.72,3.51,0.7
145.02,1.9,0.57,4.72,1.13
146,2.07,0.73,4.54,1.08
147.01,2.42,0.91,5.44,1.22
147.09,2.16,0.83,4.41,0.97
148,3.54,1.54,6.7,1.35
149.02,1.89,0.54,5.2,1.36
149.05,3.31,1.05,7.93,1.83
149.08,2.21,0.83,5,1.07
149.09,2.39,0.83,5.57,1.34
150,2.05,0.77,4.33,0.94
151.03,2.37,0.87,5.5,1.17
151.05,1.83,0.68,4.26,0.91
151.07,2.49,1.04,5.41,1.12
151.08,1.77,0.59,4.08,0.92
160.01,1.73,0.36,6.26,1.64
160.02,1.51,0.5,3.6,0.87
160.03,2.9,0.98,6.97,1.56
160.04,2,0.62,4.67,1.1
161.02,1.74,0.57,4.18,0.98
161.03,2.22,0.72,5.34,1.26
161.05,1.86,0.53,4.8,1.16
161.06,1.56,0.56,3.61,0.81
161.08,5.64,0.46,26.22,7.24
161.09,2.58,0.5,7.93,2.01
162.01,1.84,0.72,3.85,0.83
162.02,1.99,0.61,4.76,1.15
162.03,2.06,0.78,4.55,1.02
162.04,2.29,0.84,5.19,1.13
163.01,1.89,0.57,4.36,1.05
163.04,1.72,0.59,3.5,0.81
163.05,1.76,0.61,3.91,0.95
163.06,1.82,0.66,4.12,0.93
163.07,1.73,0.62,3.95,0.87
163.08,2.18,0.67,5.53,1.28
170.03,1.29,0.51,2.93,0.62
170.04,1.81,0.73,3.9,0.82
170.05,1.8,0.63,4.04,0.94
170.07,2.03,0.81,4.28,0.93
180.01,1.45,0.42,3.5,0.91
180.04,1.65,0.66,3.53,0.74
181.03,1.71,0.54,4.06,0.94
181.05,1.53,0.7,3.02,0.61
181.07,1.74,0.44,4.89,1.29
181.08,2.45,0.55,7.61,1.98
181.09,2.68,1.02,6.09,1.28
181.11,1.37,0.46,3.25,0.77
181.12,2.1,0.64,5.68,1.32
181.13,1.44,0.61,3.03,0.62
181.14,1.35,0.41,3.58,0.81
181.16,1.54,0.47,3.82,0.86
182.01,2.01,0.94,3.78,0.74
182.04,2.29,0.94,4.89,0.96
182.05,2.24,0.97,4.68,0.92
183.01,2.65,0.88,6.16,1.41
183.03,2.57,0.93,5.65,1.26
183.05,2.19,0.87,4.76,1.02
183.06,2.55,1,5.4,1.15
183.07,2.27,0.75,5.22,1.18
184.02,2.43,0.91,5.17,1.17
184.06,2.6,0.91,5.83,1.32
184.07,2.37,0.89,5.41,1.17
184.08,2.32,0.76,5.73,1.39
184.09,2.41,0.79,6.62,1.49
184.1,3.15,1.01,7.18,1.69
184.11,2.28,0.77,5.29,1.25
184.12,2.81,0.91,6.78,1.57
184.13,2.74,0.85,6.5,1.58
184.14,2.57,0.83,6.31,1.45
184.15,2.34,0.76,5.33,1.24
184.16,3.03,1.05,7.3,1.64
185.05,1.94,0.75,3.89,0.87
185.07,3.13,1.15,7.36,1.65
185.08,2.45,0.8,5.7,1.38
185.09,1.87,0.8,3.97,0.85
185.1,1.86,0.66,4.28,0.99
185.11,1.67,0.58,3.72,0.9
185.12,2.45,0.92,5.55,1.17
185.15,2.16,0.77,4.89,1.13
185.16,2.24,0.83,5.25,1.2
185.17,2.94,0.83,7.5,1.94
185.18,2.69,0.93,6.36,1.57
185.19,2.26,0.76,5.35,1.15
185.2,2.25,0.78,4.87,1.13
185.21,2.07,0.82,4.54,0.97
186.01,2.07,0.64,4.93,1.1
186.02,1.99,0.68,4.55,1.09
186.05,2.26,0.83,4.85,1.09
186.06,1.87,0.68,4.07,0.9
186.07,1.9,0.64,4.42,0.99
186.08,1.89,0.73,4.13,0.93
187.03,2.6,1.03,5.85,1.29
187.04,2.48,0.99,5.03,1.05
187.06,2.54,0.98,5.42,1.19
187.11,2.22,0.7,5.41,1.25
187.12,2.06,0.75,4.91,1.09
187.13,2.4,0.91,5.42,1.15
187.14,2.54,0.72,6.55,1.65
187.15,2.33,0.86,5.42,1.17
188.01,2.67,0.88,6.52,1.5
188.04,2.33,0.96,4.95,1.04
188.05,2.15,0.76,4.69,1.04
188.07,2.2,0.64,5.72,1.37
188.08,2.44,0.59,7.06,1.82
189.03,2.72,1.01,6.34,1.37
189.05,2.2,0.87,4.7,1.04
189.06,2.37,0.74,5.88,1.48
189.08,2.36,0.84,5.54,1.2
189.09,2.26,0.71,6.04,1.47
189.1,2.3,0.82,4.87,1.11
190.03,2.69,1.23,5.04,1.01
190.04,2.68,0.84,6.35,1.51
190.05,3.11,0.75,9.23,2.19
191.03,1.89,0.62,4.48,0.99
191.04,2.34,0.78,5.95,1.27
191.05,2.27,0.76,5.65,1.31
192,1.99,0.88,3.96,0.81
200,1.82,0.59,4.46,1.09
201,1.54,0.53,3.86,0.9
202,1.68,0.65,3.7,0.82
203,1.71,0.53,4.08,0.99
204.01,2.25,0.54,6.54,1.55
204.02,1.82,0.65,4.02,0.88
205.02,1.48,0.53,3.44,0.76
207,2.22,0.63,5.63,1.47
208,1.72,0.61,4.05,0.86
209,2.29,0.9,4.85,1.07
210,2.26,1.01,4.44,0.88
220,1.25,0.46,3.06,0.68
221.01,1.47,0.44,3.64,0.86
221.03,1.49,0.47,3.8,0.91
221.04,1.57,0.66,3.3,0.69
222.01,1.41,0.49,3.23,0.72
222.02,1.45,0.43,3.69,0.88
223.01,1.48,0.55,3.39,0.75
223.02,1.62,0.61,3.62,0.77
224.02,1.78,0.64,4.17,0.93
225.01,1.72,0.51,4.4,0.98
225.02,1.61,0.63,3.75,0.8
226.02,1.75,0.55,4.56,1.09
226.04,1.57,0.49,4.01,0.9
228.02,1.92,0.6,4.68,1.11
228.04,2.15,0.88,4.48,0.95
229,2.76,1.31,5.26,1.05
230.01,1.68,0.66,3.87,0.84
230.02,1.72,0.66,3.76,0.79
231,1.72,0.67,3.7,0.77
232,1.68,0.64,3.57,0.82
233,2.02,0.79,4.2,0.91
234,3.57,1.4,7.53,1.67
235.02,2.15,0.9,4.49,0.95
235.03,3.27,0.95,8.63,2.17
236,1.86,0.7,4.25,0.9
237,2.14,0.75,5.09,1.18
238.01,1.83,0.61,4.35,0.96
238.02,2.3,0.94,4.77,1.03
239.02,2.21,0.74,4.9,1.24
240.01,2.32,0.94,4.79,1
240.02,2.69,0.98,5.91,1.35
241,2.79,0.91,7.22,1.64
242,2.03,0.69,4.7,1.1
243.01,1.88,0.63,4.26,0.99
243.02,1.8,0.67,4.31,0.92
250.02,1.65,0.71,3.26,0.68
251.01,2.33,0.6,6.58,1.75
260.04,2.35,0.4,8.12,2.17
260.05,1.98,0.52,5.65,1.29
260.06,1.71,0.46,4.69,1.15
260.07,3.02,0.84,7.96,2.1
260.08,1.9,0.64,4.48,1.09
281.01,3.29,0.76,9.21,2.3
281.02,2.64,0.87,5.94,1.38
282.01,3.23,0.98,8.02,1.88
282.02,2.63,0.83,6.94,1.59
283,3.58,1.53,7.49,1.54
284.01,2.94,1.09,6.54,1.47
284.02,2.05,0.67,4.99,1.12
285.01,2.73,0.97,6.06,1.39
285.02,2.28,0.93,4.42,0.95
286.02,2,0.99,3.61,0.69
287.01,2.34,0.69,5.7,1.3
287.06,2.42,0.83,5.19,1.16
287.09,2.77,0.61,7.78,2.05
287.11,1.93,0.63,4.7,1.11
290.02,2.39,0.94,4.96,1.06
290.04,2.06,0.8,4.37,0.94
290.05,2.2,0.58,6.24,1.62
291.01,2.49,0.79,6.05,1.39
291.02,2.17,0.67,5.36,1.3
292.01,2.3,0.92,4.61,1
292.03,2.22,0.7,5.57,1.31
292.04,3.15,0.75,8.71,2.22
400.04,2.6,0.78,7.17,1.61
400.05,2.62,0.94,5.98,1.37
400.06,3.24,0.78,9.1,2.27
401.01,2.8,1,6.52,1.41
401.02,3.08,1.3,6.57,1.33
402.02,2.1,0.75,4.71,1.02
402.03,2.42,0.78,5.81,1.35
403.01,2.36,1.01,4.61,0.98
403.04,2.02,0.71,4.87,1.12
403.05,2.36,0.58,6.96,1.64
404.01,2.53,0.84,5.85,1.36
404.02,2.06,0.8,4.61,1
410.02,1.96,0.8,3.91,0.82
410.04,2.06,0.76,4.68,1.04
410.05,2.42,0.74,5.45,1.42
410.06,2.24,0.63,5.7,1.31
501.01,5.9,2.93,10.48,1.94
501.02,4.36,1.42,10.31,2.4
501.03,3.9,1.29,10.04,2.3
502.01,2.12,0.71,4.78,1.16
502.02,1.76,0.55,4.38,1.01
502.03,2.33,0.72,5.83,1.39
502.06,2.66,1.02,5.84,1.26
502.07,2.63,1.07,5.6,1.17
503.01,2.21,0.65,5.59,1.3
503.03,2.04,0.92,4.15,0.85
503.07,2.77,1.01,6.4,1.4
503.09,3.5,1.09,8.64,2.1
504.03,2.51,1,5.7,1.25
504.05,3.71,1.66,7.3,1.61
504.08,2.58,0.86,6.34,1.37
504.09,3.05,1.32,6.49,1.36
504.1,5.96,1.88,14.6,3.57
505.01,2.83,1.14,6.03,1.25
506.01,3.23,0.81,9.31,2.78
506.02,3.65,1.09,9.3,2.3
