"CT","mx_mean","mx_ub","mx_lb","mx_se"
1.01,32.12,48.75,19.42,7.56
1.02,31.72,52.61,18.07,8.91
2.01,26.86,48.5,13.76,9.01
2.04,30.83,47.66,18.75,7.51
3.01,35.44,64,17.59,12.19
3.02,62.01,100.71,35.98,16.92
4.01,56.59,84.84,35.42,12.73
5,30.93,55.1,15.65,10.22
6.01,28.88,50.73,14.85,9.38
6.02,64.05,105.01,37.6,17.25
7.01,25.23,45.51,12.9,8.42
7.02,43.39,76.63,22.38,14.16
8.01,33.85,69.33,13.24,14.77
8.02,38.08,65.88,19.8,12
9,21.07,34.9,11.8,5.95
10.02,31.36,51.07,17.43,8.73
11,25.23,42.54,13.62,7.67
13.01,38.8,64.58,22.21,10.72
13.03,29.44,51.6,15.06,9.42
13.04,36.5,65,18.13,12.08
14.02,28.07,48.81,15,8.79
15.01,31.19,53.3,16.29,9.9
15.02,27.5,43.96,16.34,7.18
16.01,27.32,47.66,14.1,8.81
16.05,33.98,58.27,17.86,10.63
17.01,35.12,58.38,19.2,10.22
17.02,35.46,60.2,18.9,10.63
18.02,33.32,54.76,19.55,9.04
19,44.77,73.43,25.12,12.42
20,35.9,53.41,22.88,7.74
21,28.36,52.22,13.99,9.69
23,45.84,73.37,27.23,12.13
24,33.01,57.75,17.49,10.6
25,35.53,57.33,20.69,9.43
26,31.33,51.67,16.97,8.97
27.01,26.8,44.3,15.1,7.5
27.02,21.57,34.69,12.92,5.67
28,34.44,61.31,17.26,11.52
29,62.48,97.24,37.7,15.5
30,32.29,56.72,16.98,10.09
31.01,23.8,43.38,11.61,8.15
31.02,39.41,70.55,20.43,12.9
32,40.63,68.48,22.83,11.87
33.01,33.52,59.12,17.27,10.83
33.02,35.9,61.48,20.02,10.59
34.02,42.27,69.3,23.96,11.51
35.01,31.25,54.61,16.18,9.76
35.02,27.84,45.13,15.25,7.85
36.01,37.32,62.66,20.38,10.76
36.02,50.94,91.42,27.37,16.17
37.01,32.28,59.56,15.33,11.42
37.02,34.1,62.45,16.18,12.04
38,48.04,78.39,26.58,13.21
39.01,34.97,63.72,17.16,12.07
39.02,53.14,82.41,31.67,13.11
40.01,26.07,48.8,12.21,9.69
40.02,25.06,43.46,13.3,7.63
