"CT","mx_mean","mx_ub","mx_lb","mx_se"
1.01,33.74,56.18,19.2,9.31
1.02,43.37,73.35,22.82,13.32
2.01,34.72,62.13,17.11,11.47
2.04,32.63,53.29,18.88,8.72
3.01,51.08,93.54,25.31,17.34
3.02,38.98,73.84,18.89,13.91
4.01,58.58,92.84,35.21,14.89
5,32.28,59.14,15.2,11.19
6.01,34.19,61.04,17.68,11.57
6.02,49.46,84.53,26.74,14.84
7.01,33.33,61.11,16.04,11.41
7.02,33.86,65.07,16.79,12.97
8.01,26.12,53.63,10.54,11.23
8.02,29.87,52.17,15.46,9.49
9,29.74,51.12,15.52,9.3
10.02,33.05,56.46,17.86,10.07
11,32.04,55.15,16.88,9.9
13.01,35.8,61.36,19.53,10.86
13.03,31.2,56.67,14.88,10.64
13.04,45.78,84.22,22.43,16.09
14.02,35.91,64.05,18.9,11.56
15.01,31.51,57.05,15.94,10.6
15.02,34.79,56.4,19.55,9.54
16.01,38.55,68.79,19.39,12.42
16.05,32.1,57.16,16.34,10.65
17.01,39.65,69.64,21.31,12.16
17.02,32.09,56.04,16.53,10.43
18.02,36.95,60.79,20.82,10.34
19,51.65,86.84,28.4,15.07
20,37.62,58.68,23.05,9.33
21,33.23,59.35,16.78,10.9
23,30.2,53.43,15.49,9.76
24,19.53,35.71,9.53,6.88
25,19.91,35.61,10.08,6.73
26,28.2,49.98,14.51,9.42
27.01,34.99,59.04,19.36,10.35
27.02,34.62,56.76,19.5,9.63
28,43.97,79.02,21.8,14.45
29,131.76,204.37,78.81,32.19
30,47.93,82.14,25.24,14.81
31.01,38.09,67.18,18.83,12.61
31.02,39.65,70.07,19.2,13.16
32,55.14,92.83,30.86,16.24
33.01,45,78.31,22.66,14.56
33.02,47.61,79.77,26.39,13.64
34.02,63.48,102.14,37.38,16.7
35.01,33.03,59.34,15.9,11.66
35.02,34.12,56.72,18.74,9.84
36.01,53.79,89.22,30.44,14.86
36.02,30.33,54.55,14.99,10.55
37.01,41.16,73.45,20.32,14.08
37.02,37.5,68.41,17.86,13.07
38,60.55,104.39,33.29,18.04
39.01,36.42,65.48,17.3,12.91
39.02,92.59,151.88,53.82,25.41
40.01,31.59,61.21,13.64,12.41
40.02,49.92,90.87,24.93,16.86
41.01,46.36,77.76,23.79,14.32
41.02,31.29,54.76,15.92,10.21
42,30.21,52.87,15.24,9.94
43.02,21.07,40.8,9.71,7.96
44,17.11,33.4,7.74,6.61
45.01,24.16,47.5,10.47,9.54
45.02,27.4,51.25,13.41,9.75
46,31.58,58.98,14.57,11.45
47.01,59.87,102.02,32.11,18.01
48,40.06,70.53,20.29,12.78
49.01,46.67,82.45,24.83,14.95
49.02,27.23,47.73,13.19,8.96
50.02,47.88,81.68,25.42,14.49
50.03,44.53,77.52,22.93,14.26
50.04,51.67,98.75,24.52,19.2
51.01,33.56,60.69,16.65,11.44
51.02,46.63,79.04,25.58,13.91
52.01,41.1,66.46,23.2,11.34
52.02,47.26,80.07,25.19,14.44
53.01,36.76,64.02,19.31,11.58
53.02,29.94,56.55,13.63,11.26
54.01,46.7,72.44,28.75,11.1
54.02,43.13,76.86,22.52,13.95
55.01,39.45,71.57,19.72,13.48
55.02,40.62,74.83,19.96,14.19
56.02,49.45,90.94,23.89,17.57
57.02,50.08,83.05,27.19,14.18
59.06,93.37,155.23,52.55,26.24
59.07,45.07,77.56,23.74,13.67
59.09,41.25,79,18.7,15.88
59.1,36.93,71.17,16.74,14.25
59.11,45.79,75.85,24.9,13.18
60.02,29.25,55.5,13.51,10.87
61,29.41,60.9,12.07,12.71
62,22.77,43.11,10.68,8.39
64,32.58,55.92,16.94,10.2
65,39.45,65.54,22.52,11.04
67.01,23.83,45.38,10.6,9.02
68,33.1,62.06,16.29,11.76
69.02,13.61,23.53,7.38,4.17
100.01,83.9,138.88,46.47,24.26
100.02,44.75,78.06,23.2,14.22
101.03,40.98,74.57,20.45,13.84
101.04,39.46,71.29,20.11,13.14
101.06,31.57,54.37,16.65,9.75
103,38.8,67.23,21.24,11.88
104,31.8,57.19,16.3,10.36
110.02,22.03,47.94,8.53,10.04
110.03,43.74,87.59,18.41,18.38
110.04,27.49,58.85,11.39,12.36
111.02,41.95,72.41,22.77,12.92
111.05,62.7,107.7,34.79,19.01
111.07,56.78,102.71,28.16,19.58
112,37.66,69.54,18.05,13.1
113,44.86,76.34,25.17,13.12
114.01,30.94,65.01,12.39,13.74
114.02,63.4,111.94,31.52,20.93
115,59.4,98.19,33.93,16.54
116,32.84,61.68,16.65,11.62
117,33.2,55.01,18.11,9.63
118,30.38,50.47,16.59,8.93
120,29.45,53.93,14.31,10.11
121,46.08,82.55,23.22,15.55
122,32.67,61.37,15.76,11.77
130.03,49.76,78.38,29.51,12.84
131,50.92,75.63,32.44,11.25
132,21.66,41.14,10.05,8.1
133.01,35.75,68.85,16.75,14.01
133.02,20.89,36.4,10.03,6.87
134,42.65,71.56,24.14,12.13
135,33.39,58.52,17.09,10.74
140.02,38.98,65.35,20.88,11.57
140.03,32.26,55.64,16.46,10.15
140.04,43.61,84.44,19.44,16.59
141.01,43.79,72.99,23.8,12.88
142.01,35.61,65.94,17.09,12.68
142.02,51.8,94.41,24.74,18.45
142.03,27.56,49.9,14.06,9.33
143.01,33.25,59.64,16.24,11.41
143.02,43.74,71.29,25.53,11.85
143.03,30.68,56.37,15.25,10.89
144.04,59.42,101.18,31.67,18.17
144.06,37.26,64.35,20.02,11.76
145.01,33,55.13,17.34,9.85
145.02,22.04,42.99,9.15,9.08
146,43.69,76.29,23.28,13.82
147.01,27.86,49.27,14.3,8.96
147.09,43.57,73.35,24.22,12.71
148,67.91,106.2,41.01,16.81
149.02,33.71,66.02,15.06,13.29
149.05,48.71,93.31,21.37,19.18
149.08,31.52,55.9,16.6,10.11
149.09,32.53,61.72,15.37,12
150,36.55,70.55,16.63,13.99
151.03,42.01,79.49,20.35,15.29
151.05,50.88,84.07,28.1,14.59
151.07,38.86,61.07,22.84,9.81
151.08,31.53,56.48,15.62,10.51
160.01,25.04,48.56,11.4,9.92
160.02,27.25,48.1,14.23,8.51
160.03,49.98,83.8,27.52,14.73
160.04,57.07,97.21,30.51,17.29
161.02,47,85.36,23.95,15.81
161.03,65.97,109.85,35.84,19.12
161.05,32.08,59.63,15.17,11.57
161.06,45.19,77.35,23.92,14.06
161.08,22.16,50.81,7.95,11.29
161.09,37.72,63.14,21.51,10.68
162.01,46.32,80.28,23.87,14.41
162.02,30.71,56.78,14.61,10.82
162.03,41.6,73.98,21,13.37
162.04,43.42,79.99,22.57,14.42
163.01,41.22,78.32,18.29,15.22
163.04,34.43,62.43,16.78,11.72
163.05,48.2,86.37,23.93,16.02
163.06,40.24,79.27,18.98,15.51
163.07,39.45,70.32,19.11,13.59
163.08,38.09,73.29,17.46,14.33
170.03,47.36,77.36,27.44,12.75
170.04,59.19,95.48,34.42,16.24
170.05,39.82,68.58,21.1,12.34
170.07,64.81,102.98,38.6,16.35
180.01,42.22,74.33,20.96,13.92
180.04,32.54,55.67,17.57,9.86
181.03,37.09,68.56,17.86,13.12
181.05,45.72,71.31,27.85,11.19
181.07,31.58,61.15,14.19,12.08
181.08,37.77,72.32,17.07,14.88
181.09,31.89,54.5,17.14,9.72
181.11,48.2,81.45,26.9,14.22
181.12,36.58,72.8,16.25,14.82
181.13,35.31,56.92,20.75,9.46
181.14,50.75,88.74,26.19,15.99
181.16,12.24,23.75,5.85,4.67
182.01,38.53,65.88,19.7,12.21
182.04,48.63,85.7,25.4,15.65
182.05,38.77,67.12,20.68,11.95
183.01,66.48,119.82,35.91,21.18
183.03,69.51,116.35,38.21,20.74
183.05,34.89,59.51,18.52,10.46
183.06,54.64,94.09,28.96,16.57
183.07,31.04,55.43,15.51,10.17
184.02,50.76,83.03,27.82,14.15
184.06,43.57,80.94,21.37,15.16
184.07,53.37,88.76,28.8,15.25
184.08,35.16,66.35,16.31,13.06
184.09,41.52,79,19.47,15.5
