"CT","mx_mean","mx_lb","mx_ub","mx_se"
1.01,5.25,2.75,9.99,1.88
1.02,9.78,4.73,17.82,3.56
2.01,8.43,3.45,16.82,3.45
2.04,11.21,6.33,18.47,3.09
3.01,9.41,3.61,19.81,4.33
3.02,15.72,7.46,30.19,5.93
4.01,15.09,9.05,23.81,3.66
5,6.29,2.72,12.59,2.6
6.01,5.21,2.08,10.73,2.31
6.02,13.8,6.79,24.99,4.77
7.01,7.81,3.41,16.32,3.36
7.02,14.74,6.42,29.96,6.43
8.01,6.62,1.59,17.98,4.94
8.02,5.44,2.15,11.35,2.52
9,5,2.25,9.37,1.91
10.02,7.81,3.84,14.46,2.82
11,6.78,3.28,12.89,2.54
13.01,6.04,2.63,11.91,2.39
13.03,7.9,3.41,15.8,3.22
13.04,5.67,2.08,12.31,2.85
14.02,5.96,2.47,12.2,2.61
15.01,7.46,2.97,16.48,3.56
15.02,9.05,4.96,15.85,2.78
16.01,10.63,4.83,20.64,4.04
16.05,6.75,2.83,13.5,2.81
17.01,7.25,3.33,14.26,2.72
17.02,8.24,3.53,16.51,3.12
18.02,9.41,4.98,17.02,3.05
19,11.62,5.48,22.83,4.2
20,10.98,6.84,16.74,2.66
21,7.73,3.36,16.01,3.3
23,6.74,3.19,12.73,2.57
24,4.16,1.66,9.11,2.02
25,4.68,2.06,9.41,1.87
26,5.39,2.37,10.89,2.17
27.01,4.76,2.14,9.13,1.9
27.02,14.03,8.16,22.87,3.79
28,16.82,7.77,32.04,6.27
29,34.88,20.84,55.56,8.6
30,8.61,3.82,16.76,3.28
31.01,11.07,4.77,21.36,4.36
31.02,9.35,3.94,18.69,3.93
32,9.35,4.54,17.93,3.46
33.01,9.43,4.14,18.84,3.84
33.02,7.63,3.25,14.79,2.91
34.02,9.15,4.75,16.73,3.16
35.01,7.14,3.01,15.22,3.19
35.02,8.02,4.17,14.79,2.7
36.01,6.08,2.66,11.74,2.41
36.02,4.45,1.38,10.53,2.37
37.01,7.94,3.27,16.05,3.32
37.02,10.79,4.71,21.35,4.38
38,14.27,7.03,24.51,4.65
39.01,11.24,5.03,22.15,4.54
39.02,49.55,30.07,78.12,12.42
40.01,10.38,4.03,22.05,4.87
40.02,9.06,3.84,18.3,3.73
41.01,12.21,6.38,22.26,4.11
41.02,11.15,5.61,20.15,3.84
42,5.11,2.03,10.86,2.32
43.02,3.89,1.34,8.97,2.04
44,5,1.89,11.53,2.46
45.01,8.03,3,18.15,4.14
45.02,5.88,2.45,12.73,2.62
46,6.08,2.48,12.59,2.71
47.01,18.94,9.78,35.07,6.43
48,6.42,2.8,12.25,2.57
49.01,20.36,10.29,37.76,7.05
49.02,7.74,3.05,15.67,3.25
50.02,14.04,7.14,23.99,4.57
50.03,20.05,10.03,36.64,6.95
50.04,18.69,7.66,41.08,8.06
51.01,11.91,5.26,23.43,4.74
51.02,11.48,5.68,21.15,4.01
52.01,9.29,4.83,17.13,3.13
52.02,8.75,4.04,17.02,3.42
53.01,8.28,3.48,16.02,3.26
53.02,8.38,2.73,18.81,4.35
54.01,27.42,17.56,40.65,6.06
54.02,9.73,4.38,19.32,3.8
55.01,16.19,7.43,32,6.93
55.02,16.67,7.21,32.74,6.66
56.02,16.39,7.04,31.4,6.45
57.02,14.92,7.34,26.66,5.13
59.06,70.12,44.23,109.58,16.98
59.07,12.33,6.35,22.86,4.24
59.09,19.23,8.14,38.4,8.06
59.1,20.9,9.18,40.73,8.07
59.11,19.09,10.77,31.55,5.36
60.02,8.63,3.6,18.38,3.75
61,7.01,2.23,18.59,4.08
62,5.75,2.17,12.26,2.71
64,8.24,4.08,14.91,2.84
65,13.6,8.05,21.58,3.67
67.01,19.93,9.21,38.32,7.51
68,6.96,2.8,15.45,3.13
69.02,7.69,4.12,13.16,2.35
100.01,25.18,11.79,48.72,9.61
100.02,9.58,3.04,22.12,5
101.03,7.86,2.35,19.32,4.49
101.04,9,2.98,23.72,5.27
101.06,7.34,2.5,16.52,3.86
103,6.73,2.45,15.58,3.41
104,7.97,2.69,19.02,4.25
110.02,12.3,2.38,38.24,9.78
110.03,11.04,2.04,34.98,8.92
110.04,11.7,2.78,35.05,9.17
111.02,7.36,2.59,18.44,4.21
111.05,28.5,15.75,47.21,8.88
111.07,13.15,5.09,29.89,6.5
112,9.17,3.53,18.62,4.13
113,11.36,5.89,21.2,3.83
114.01,15.27,4.35,39.71,8.95
114.02,16.8,6.92,34.4,7.07
115,14.74,7.92,24.83,4.47
116,7.41,3.04,16.01,3.41
117,6.53,2.88,12.79,2.71
118,6.08,2.82,10.98,2.14
120,4.36,1.42,10.09,2.37
121,6.56,2.32,15.43,3.61
122,4.17,1.42,9.21,2.11
130.03,22.41,13.63,35.11,5.71
131,9.28,5.69,14.34,2.18
132,6.08,1.87,14.78,3.31
133.01,12.54,4.36,29.53,6.5
133.02,6.78,2.5,15.24,3.39
134,8.72,4.35,16.48,3.06
135,4.27,1.69,9.4,1.99
140.02,6.04,2.77,11.52,2.2
140.03,10.15,4.8,18.92,3.79
140.04,9.95,3.32,24.66,5.4
141.01,8.09,3.68,15.5,3
142.01,5.98,2.19,13.86,2.92
142.02,5.96,1.84,15.57,3.73
142.03,4.91,1.93,10.83,2.33
143.01,4.69,1.72,10.24,2.28
143.02,9.09,4.72,15.81,3
143.03,6.44,2.48,14.24,3.03
144.04,9.48,4.24,19.09,3.87
144.06,5.59,2.3,11.59,2.43
145.01,3.92,1.71,8.09,1.6
145.02,7.04,2.37,16.68,4.08
146,4.53,1.86,9.74,2.04
147.01,5.14,2.15,10.63,2.15
147.09,5.47,2.58,11.02,2.29
148,10.09,5.7,16.89,2.89
149.02,9.58,3.16,21.75,5.06
149.05,5.54,1.82,13.93,3.17
149.08,4.11,1.54,8.74,1.99
149.09,5.55,2.02,13.12,2.93
150,6.07,2.27,13.73,3.21
151.03,6.96,2.62,14.53,3.35
151.05,5.73,2.51,11.9,2.47
151.07,5.32,2.79,9.3,1.71
151.08,4.91,1.83,10.87,2.46
160.01,8,2.31,20.78,4.83
160.02,6.63,3,13.33,2.64
160.03,14.2,7.07,25.54,4.98
160.04,10.26,4.47,20.08,4.3
161.02,12.54,5.72,25.69,5.14
161.03,16.14,7.46,30,5.94
161.05,8.48,3.31,18.67,4.07
161.06,12.38,5.58,25.07,4.77
161.08,62.84,27.68,125.57,27.93
161.09,36.27,23.03,55.63,8.52
162.01,11.26,5.31,21.54,4.29
162.02,11.35,4.89,23.9,5.06
162.03,9.27,3.94,18.06,3.77
162.04,12.37,5.3,25.79,5.29
163.01,9.7,3.68,21.06,4.69
163.04,11.29,4.59,23.98,5.14
163.05,11.94,4.61,24.24,5.05
163.06,10.74,4.19,24.99,5.46
163.07,11.21,4.72,21.96,4.87
163.08,8.98,3.32,20.22,4.61
170.03,6.94,3.4,13.18,2.57
170.04,7.09,3.45,12.87,2.51
170.05,5.74,2.27,12,2.51
170.07,15.58,8.99,26.2,4.41
180.01,10.55,4.47,20.46,4.34
180.04,7.68,3.77,14.07,2.66
181.03,7.57,3.14,15.92,3.33
181.05,6.4,3.46,10.9,1.96
181.07,8.45,2.81,19.38,4.31
181.08,5,1.44,13.35,3.28
181.09,5.97,2.55,11.92,2.56
181.11,7.81,3.24,16.39,3.45
181.12,5.71,1.71,15.47,3.81
181.13,4.7,2.32,8.6,1.64
181.14,6.81,2.67,14.79,3.01
181.16,9,4.06,17.73,3.74
182.01,10.81,5.11,20.03,3.99
182.04,13.46,5.98,26.48,5.19
182.05,10.33,4.57,20.07,4.02
183.01,15,6.56,29.69,6.05
183.03,19.57,9.97,36,6.66
183.05,10.34,4.83,19.97,3.89
183.06,14.61,6.95,27.42,5.3
183.07,16.13,7.37,31.3,6.31
184.02,12.02,6.11,21.45,3.95
184.06,10.66,4.28,21.86,4.81
184.07,8.83,4.09,17.71,3.37
184.08,7.81,2.73,17.1,3.88
184.09,13.74,5.32,30.62,6.77
184.1,12.84,4.96,27.32,5.89
184.11,15.34,5.9,32.15,6.48
184.12,14.61,5.93,31.65,6.44
184.13,8.91,3.24,19.75,4.59
184.14,8.12,2.44,21.84,5.03
184.15,10.39,3.97,23.11,5.25
184.16,14.57,6.18,31.74,6.6
185.05,10.74,4.45,22.33,4.88
185.07,9.1,3.87,18.45,3.85
185.08,9.54,3.15,22.02,5.06
185.09,12.71,5.56,26.8,5.27
185.1,9.16,3.23,19.87,4.35
185.11,12.71,5.33,25.6,5.23
185.12,14.86,6.9,29.49,6.04
185.15,11.37,4.87,22.71,4.73
185.16,9.27,3.51,20.5,4.55
185.17,9.47,3.26,21.24,4.77
185.18,11.57,4.89,23.95,5.36
185.19,8.54,3.02,19.93,4.44
185.2,10.16,3.63,23.08,4.95
185.21,11.77,5.68,22.52,4.29
186.01,10.43,4.42,20.78,4.3
186.02,10.59,4.64,21.31,4.31
186.05,10.09,4.54,18.95,3.94
186.06,11.33,4.59,22.82,4.93
186.07,10.98,4.37,24.34,5.04
186.08,12.81,5.39,26.34,5.57
187.03,10.93,4.95,22.36,4.49
187.04,15.4,7.78,27.19,5.19
187.06,7.2,3.42,13.82,2.65
187.11,7.22,2.78,16.21,3.68
187.12,8.78,3.43,19.21,4.01
187.13,9.56,3.85,19.44,4.12
187.14,11.18,4.53,25.56,5.29
187.15,19.18,10.11,33.4,6.12
188.01,8.45,3.14,18.5,4.2
188.04,13.43,6.26,25.01,5.13
188.05,13.93,5.1,32.54,7.16
188.07,10.4,3.71,26.04,5.82
188.08,8.95,2.42,23.55,6.36
189.03,13.12,5.24,27.14,5.81
189.05,9.26,4.46,16.19,3.08
189.06,15.69,6.15,32.38,6.73
189.08,14.33,5.68,29.7,5.99
189.09,8,2.42,19.56,4.64
189.1,8.93,3.6,19.93,4.42
190.03,19.75,12.41,30.35,4.63
190.04,11.47,5.31,22.84,4.8
190.05,17.29,4.65,44.76,11.47
191.03,14.37,6.26,28.93,6.18
191.04,23.6,11.24,43.65,8.37
191.05,16.32,6.62,34.34,7.29
192,15.32,7.39,28.17,5.48
200,16.91,7.14,37.04,7.31
201,9.98,3.56,22.06,4.89
202,10.59,5.41,19.45,3.59
203,15.21,6.63,32.41,6.48
204.01,11.98,4.64,25.61,5.55
204.02,13.08,5.96,24.07,4.86
205.02,9.47,4.86,17.56,3.16
207,20.34,7.21,47.8,10.18
208,17.13,8.83,30.05,5.4
209,23.29,13.76,36.81,5.85
210,20.74,12.48,32.82,5.15
220,9.54,3.33,22.7,5.07
221.01,8.68,2.77,20.7,4.7
221.03,4.26,1.37,9.98,2.3
221.04,9.66,5.61,15.95,2.6
222.01,5.49,2.16,11.7,2.69
222.02,6.3,2.45,14.21,3.23
223.01,7.98,3.35,16.88,3.49
223.02,11.42,4.75,23.11,4.89
224.02,15.08,8.19,26.8,4.89
225.01,9.24,3.69,20.4,4.4
225.02,8.26,3.43,16.33,3.33
226.02,6.71,2.48,15.91,3.51
226.04,5.86,2.07,13.2,2.89
228.02,5.15,1.69,12.06,2.81
228.04,9.53,5.19,16.69,3.02
229,11.35,6.68,17.89,2.93
230.01,7.95,3.3,16.23,3.27
230.02,7.12,3.36,13.64,2.71
231,6.31,3.3,11.03,2.13
232,8.83,3.47,19.08,3.98
233,7.94,3.69,15.04,2.88
234,18.14,9.64,32.32,5.86
235.02,8.96,4.28,17.19,3.24
235.03,16.3,6.97,34.8,7.11
236,8.4,3.51,17.57,3.68
237,7.65,3.39,14.3,2.86
238.01,5.5,2,12.21,2.79
238.02,9.79,5.35,16.61,2.97
239.02,9.73,3.27,22.86,5.1
240.01,6.98,3.02,12.83,2.52
240.02,5.67,2.33,11.98,2.6
241,8.85,4.07,16.86,3.47
242,5.96,2.31,12.88,2.74
243.01,5.26,2.08,11.51,2.56
243.02,8.29,3.34,17.04,3.64
250.02,8.19,3.69,15.45,3.11
251.01,11.13,3.38,28.02,6.65
260.04,17.59,4.76,50.14,11.65
260.05,9.2,2.96,21.85,5.58
260.06,9.24,3.54,20.6,4.67
260.07,15.05,6.36,30.69,6.32
260.08,16.14,5.5,37.35,9.09
281.01,7.48,2.19,19.24,4.46
281.02,12.25,5.33,24.81,5.12
282.01,18.13,7.61,37.64,7.53
282.02,13.1,5.42,26.14,5.39
283,13.72,7.57,22.93,4.19
284.01,15.45,7.29,30.1,5.82
284.02,7.99,3.14,16.96,3.73
285.01,15.54,6.48,33.29,6.88
285.02,13.3,7.46,23.11,3.93
286.02,6.23,3.66,9.39,1.53
287.01,8.26,2.98,19.4,4.15
287.06,15.23,8.13,27.32,4.86
287.09,6.51,1.68,18.63,4.64
287.11,6.21,2.24,13.08,3.17
290.02,18.79,11.32,30.18,4.95
290.04,6.73,3.12,13.47,2.63
290.05,10.16,2.83,26.05,6.23
291.01,10,3.99,19.46,4.2
291.02,6.65,2.54,15.6,3.34
292.01,5.66,2.59,10.78,2.2
292.03,9.23,3.38,22.18,5.08
292.04,10.5,3.36,26.1,5.83
400.04,14.47,6.67,29.31,5.66
400.05,14.29,6.18,28.74,6.2
400.06,10.6,2.96,27.96,6.41
401.01,25.48,11.96,48.84,9.37
401.02,23.6,13.79,37.93,5.94
402.02,10.8,4.63,20.53,4.11
402.03,14.61,6.65,27.42,5.59
403.01,19.34,10.91,31.15,5.32
403.04,10.03,4,21.7,4.78
403.05,8.35,2.77,21.42,4.94
404.01,16.26,7.08,34.34,7.01
404.02,10.14,4.6,19.6,3.87
410.02,8.57,4.29,15.7,2.9
410.04,9.5,3.68,22.04,5.01
410.05,11.77,4.61,27.13,5.88
410.06,16.48,6.08,37.26,8.35
501.01,13.07,7.54,22.17,3.8
501.02,8.9,3.34,19.5,4.15
501.03,9.38,2.91,21.63,5.09
502.01,14.78,5.72,34.22,7.52
502.02,6.88,2.44,15.44,3.36
502.03,8.22,2.92,18.77,4.68
502.06,12.47,5.67,26.1,5.19
502.07,8.72,4.33,15.5,2.91
503.01,9.94,3.11,24.62,5.82
503.03,8.95,4.64,16.63,3.12
503.07,35.42,19.57,60.82,10.29
503.09,30.64,14.53,56.82,10.75
504.03,9.32,3.85,18.72,4.03
504.05,11.27,5.85,20.58,3.6
504.08,8.76,3.41,19.48,4.35
504.09,11.96,5.32,22.72,4.48
504.1,17.12,6.5,37.79,8.21
505.01,16.22,8.69,28.65,5.3
506.01,9.87,2.8,25.72,6.53
506.02,7.43,2.77,17.22,3.72
