CT,year,sex,ex_mean,ex_lb,ex_ub
1.01,1991,1,76.06,74.01,78.09
1.01,1991,2,84.38,82.32,86.67
1.01,1991,3,80.55,78.84,82.26
1.02,1991,1,77.08,74.62,79.71
1.02,1991,2,82.01,79.36,84.79
1.02,1991,3,79.74,77.69,82.03
2.01,1991,1,79.02,76.33,82.00
2.01,1991,2,82.98,80.23,86.28
2.01,1991,3,81.12,79.17,83.24
2.04,1991,1,76.64,74.67,78.59
2.04,1991,2,81.94,80.16,83.77
2.04,1991,3,79.37,78.06,80.72
3.01,1991,1,77.06,73.94,80.60
3.01,1991,2,84.98,81.94,88.98
3.01,1991,3,81.16,78.74,83.74
3.02,1991,1,75.15,72.67,78.02
3.02,1991,2,76.66,74.72,78.70
3.02,1991,3,75.67,74.11,77.25
4.01,1991,1,74.20,72.27,76.33
4.01,1991,2,77.78,76.16,79.54
4.01,1991,3,75.95,74.72,77.31
5,1991,1,76.98,74.43,80.05
5,1991,2,83.03,79.93,86.69
5,1991,3,80.44,78.36,82.72
6.01,1991,1,80.54,78.08,83.53
6.01,1991,2,89.38,86.04,93.20
6.01,1991,3,85.48,83.27,88.13
6.02,1991,1,74.12,71.80,76.57
6.02,1991,2,78.19,76.14,80.38
6.02,1991,3,76.23,74.66,77.93
7.01,1991,1,78.90,76.72,81.32
7.01,1991,2,84.45,81.72,87.63
7.01,1991,3,81.94,80.22,83.90
7.02,1991,1,78.10,75.87,80.45
7.02,1991,2,78.37,76.50,80.30
7.02,1991,3,78.14,76.70,79.61
8.01,1991,1,81.99,78.18,86.67
8.01,1991,2,86.25,82.17,91.64
8.01,1991,3,84.14,80.99,87.66
8.02,1991,1,78.61,76.30,81.28
8.02,1991,2,80.33,78.14,82.87
8.02,1991,3,79.53,77.92,81.28
9,1991,1,80.25,78.08,82.88
9,1991,2,88.19,85.83,90.82
9,1991,3,85.06,83.37,87.02
10.02,1991,1,78.33,76.37,80.58
10.02,1991,2,85.84,83.33,88.65
10.02,1991,3,81.99,80.53,83.78
11,1991,1,79.61,76.95,82.52
11,1991,2,85.96,83.13,88.99
11,1991,3,82.98,81.03,85.04
13.01,1991,1,76.76,74.32,79.37
13.01,1991,2,83.12,80.66,85.97
13.01,1991,3,79.86,78.03,81.87
13.03,1991,1,77.51,74.97,80.33
13.03,1991,2,83.91,81.06,87.52
13.03,1991,3,80.63,78.71,82.87
13.04,1991,1,78.68,75.57,82.18
13.04,1991,2,82.07,78.96,85.49
13.04,1991,3,80.38,78.09,82.73
14.02,1991,1,77.61,75.14,80.61
14.02,1991,2,82.00,79.47,85.01
14.02,1991,3,79.86,77.96,81.79
15.01,1991,1,79.19,76.85,82.15
15.01,1991,2,83.04,80.40,86.10
15.01,1991,3,81.10,79.23,83.21
15.02,1991,1,75.95,73.72,78.44
15.02,1991,2,83.55,81.26,86.08
15.02,1991,3,80.05,78.36,81.80
16.01,1991,1,75.49,72.77,78.32
16.01,1991,2,82.23,79.30,85.67
16.01,1991,3,78.86,76.78,81.00
16.05,1991,1,76.20,73.49,79.25
16.05,1991,2,84.00,80.66,87.79
16.05,1991,3,80.10,78.02,82.56
17.01,1991,1,77.36,75.17,80.04
17.01,1991,2,83.40,80.64,86.35
17.01,1991,3,80.41,78.63,82.56
17.02,1991,1,78.04,75.64,80.84
17.02,1991,2,80.66,78.04,83.73
17.02,1991,3,79.43,77.56,81.49
18.02,1991,1,75.98,73.95,78.20
18.02,1991,2,83.22,81.03,85.74
18.02,1991,3,79.52,77.96,81.17
19,1991,1,76.65,74.50,78.95
